dataset,subset,model,grid_corr_mean,spatial_corr_mean,rmse,r2_weighted,latent_corr_mean,classification_acc,classification_f1,notes
XP1,all_53_runs,train_mean,0.0000,-0.0035,1.0000,-0.0000,,,,
XP1,all_53_runs,schedule_or_time_ridge,0.4460,0.2726,0.8478,0.2813,0.1017,0.6141,0.6168,"No EEG input; generated fMRI classifies rest/task about as well as real fMRI."
XP1,all_53_runs,eeg_ridge,0.0285,0.0270,3.1799,-9.1118,-0.0056,0.5077,0.4509,"Weak EEG-only reconstruction on paper subject split."
XP1,all_53_runs,eeg_shifted_null,-0.0202,-0.0275,1.4203,-1.0172,-0.0107,0.4889,0.2872,"Circularly shifted training target control."
XP1,all_53_runs,schedule_direct,,,,,,1.0000,1.0000,"Direct rest/task classification from task schedule only."
XP1,nf_29_runs,schedule_or_time_ridge,0.4354,0.2474,0.8507,0.2763,0.1042,0.6869,0.6630,"No EEG input; exceeded real-fMRI classifier accuracy in this subset."
XP1,nf_29_runs,eeg_ridge,0.0350,0.0186,2.8162,-6.9309,-0.0096,0.4714,0.1180,"EEG-only signal is small and classification is poor."
NODDI,rest_16_subjects,time_ridge,0.3210,0.4871,0.8756,0.2334,0.0556,,,"No EEG input; run-position/time features predict held-out rest fMRI structure."
NODDI,rest_16_subjects,eeg_ridge,0.1234,0.0690,1.1101,-0.2323,0.0213,,,"Above shifted null but much weaker than time-only baseline."
NODDI,rest_16_subjects,eeg_shifted_null,-0.1258,-0.0716,1.1244,-0.2642,-0.0324,,,"Circularly shifted training target control."
XP1,all_53_runs_residual,removed_schedule_or_time_component,0.4441,0.2717,0.8485,0.2800,,,, "Direct schedule/time component removed before residual EEG test."
XP1,all_53_runs_residual,residual_eeg_ridge,-0.0039,-0.0041,1.7411,-3.2100,-0.0115,,,"After removing schedule/time, EEG no longer predicts residual fMRI."
XP1,all_53_runs_residual,residual_eeg_shifted_null,-0.0031,-0.0028,1.2794,-1.2734,0.0074,,,"Residual shifted-target control is essentially comparable to EEG."
NODDI,rest_16_subjects_residual,removed_time_component,0.3224,0.4827,0.8768,0.2312,,,, "Direct time/run-position component removed before residual EEG test."
NODDI,rest_16_subjects_residual,residual_eeg_ridge,-0.0187,0.0385,0.9557,-0.1880,-0.0283,,,"After removing time/run-position, EEG does not predict residual fMRI."
NODDI,rest_16_subjects_residual,residual_eeg_shifted_null,-0.0006,0.0116,0.9240,-0.1106,0.0027,,,"Residual shifted-target control is comparable or better than EEG."
