dataset,subject,task,eeg_path,fmri_path,events_path,tr_sec
noddi,32,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/32/export/20130410320002_Segmentation_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/32/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,35,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/35/export/20130424350002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/35/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,36,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/36/export/20130425360002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/36/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,37,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/37/export/20130426370002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/37/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,38,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/38/export/20130105380002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/38/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,39,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/39/export/20130501390002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/39/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,40,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/40/export/20130510400002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/40/05_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,42,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/42/export/20130523420002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/42/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,43,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/43/export/20130529430002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/43/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,44,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/44/export/20130605440002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/44/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,45,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/45/export/20130627450002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/45/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,46,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/46/export/20130703460002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/46/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,47,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/47/export/20130710470002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/47/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,48,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/48/export/20130717480002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/48/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,49,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/49/export/20130918490002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/49/3_nw_mepi_rest_with_cross.nii.gz,,2.16
noddi,50,rest,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/50/export/20131003_500002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/50/3_nw_mepi_rest_with_cross.nii.gz,,2.16
