dataset,subject,task,eeg_path,fmri_path,events_path,tr_sec
xp1,sub-xp101,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp101,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp101,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp101,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp102,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
xp1,sub-xp102,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
xp1,sub-xp102,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp102,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp102,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp103,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
