dataset,n_subject_dirs,n_files,n_eeg_files,n_bold_files,n_bids_paired_runs,n_mni_bold_files,n_mni_paired_runs,n_schaefer_tsv,n_natview_schaefer_runs,n_t1_like,n_archives,status,action,example_eeg,example_bold,example_mni,example_schaefer
Affective_music_listening_OpenNeuro_ds002725,21,865,105,105,105,0,0,0,0,21,0,needs_mni_preprocessing,run fMRIPrep/native-to-MNI registration before Schaefer100 extraction,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-01/eeg/sub-01_task-classicalMusic_eeg.edf,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-01/func/sub-01_task-classicalMusic_bold.nii.gz,,
Auditory_and_Visual_Oddball_EEG_fMRI_OpenNeuro_ds000116_fMRI_only_BIDS,17,210,0,102,0,0,0,0,0,0,0,fmri_only_visible,cannot train EEG-to-fMRI unless matching EEG is located,,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Auditory_and_Visual_Oddball_EEG_fMRI_OpenNeuro_ds000116_fMRI_only_BIDS/sub-01/func/sub-01_task-auditoryoddballwithbuttonresponsetotargetstimuli_run-01_bold.nii.gz,,
Auditory_and_Visual_Oddball_EEG_fMRI_OpenfMRI_ds116_legacy_EEG,0,4,0,0,0,0,0,0,0,0,2,archives_need_unpack_or_loader,"unpack archives or write dataset-specific loader, then re-audit",,,,
Auditory_oddball_pupillometry_EEG_fMRI_Figshare_He_Hong_Sajda,0,2,0,0,0,0,0,0,0,0,1,archives_need_unpack_or_loader,"unpack archives or write dataset-specific loader, then re-audit",,,,
Binocular_rivalry_simultaneous_EEG_fMRI_Dryad_bf1b1,0,1,0,0,0,0,0,0,0,0,1,archives_need_unpack_or_loader,"unpack archives or write dataset-specific loader, then re-audit",,,,
CWL_NITRC_EEG_fMRI_artifact,0,16,0,0,0,0,0,0,0,0,8,archives_need_unpack_or_loader,"unpack archives or write dataset-specific loader, then re-audit",,,,
CineBrain_HuggingFace_Fudan_fMRI,6,28,0,0,0,0,0,0,0,0,13,archives_need_unpack_or_loader,"unpack archives or write dataset-specific loader, then re-audit",,,,
Confidence_perceptual_decisions_OpenNeuro_ds002739,24,196,0,48,0,0,0,0,0,0,0,fmri_only_visible,cannot train EEG-to-fMRI unless matching EEG is located,,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Confidence_perceptual_decisions_OpenNeuro_ds002739/sub-01/func/sub-01_task-main_run-01_bold.nii.gz,,
EEG_fMRI_NODDI_OSF_94c5t,0,8,0,0,0,0,0,0,0,0,3,archives_need_unpack_or_loader,"unpack archives or write dataset-specific loader, then re-audit",,,,
Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336,10,321,54,55,53,0,0,0,0,10,0,needs_mni_preprocessing,run fMRIPrep/native-to-MNI registration before Schaefer100 extraction,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegNF_bold.nii.gz,,
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,17,480,85,85,84,0,0,0,0,17,0,needs_mni_preprocessing,run fMRIPrep/native-to-MNI registration before Schaefer100 extraction,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338/sub-xp201/eeg/sub-xp201_task-1dNF_run-01_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338/sub-xp201/func/sub-xp201_task-1dNF_run-01_bold.nii.gz,,
