dataset,fold,model,n_train,n_test,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted
Affective_music_listening_OpenNeuro_ds002725,1,train_mean,2000,1000,sub-05 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-4.338795116730841e-09,-5.661099811149484e-09,0.2,0.006381625957059441,0.00013549127470469102,-0.0009721613023430109,-0.0009644763777032495
Affective_music_listening_OpenNeuro_ds002725,1,time_ridge,2000,1000,sub-05 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.023085449316422455,0.024070480838418007,0.84,0.006419882211164804,-0.00021390255278674886,-0.0008987176697701216,-0.000891003874130547
Affective_music_listening_OpenNeuro_ds002725,1,eeg_bandpower_ridge,2000,1000,sub-05 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.008723557019839063,0.007973878178745508,0.63,0.010731139468101902,0.019880064763128757,-1.2827322483062744,-1.2764173746109009
Affective_music_listening_OpenNeuro_ds002725,1,eeg_bandpower_shifted_null,2000,1000,sub-05 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.0008732074982253835,0.0037906989455223083,0.56,0.002158731885581801,0.007024066289886832,-0.5417848825454712,-0.5428606271743774
Affective_music_listening_OpenNeuro_ds002725,2,train_mean,2001,999,sub-01 sub-02 sub-03 sub-06 sub-07 sub-12 sub-16,-9.972790615542238e-10,-1.9665304940019723e-09,0.31,0.012141643597478597,0.010921155102550983,-0.00154682039283216,-0.0015496405540034175
Affective_music_listening_OpenNeuro_ds002725,2,time_ridge,2001,999,sub-01 sub-02 sub-03 sub-06 sub-07 sub-12 sub-16,0.005306694538448937,0.005954438587650657,0.61,0.011017415987234935,0.004354729782789946,-0.0015418254770338535,-0.00154530955478549
Affective_music_listening_OpenNeuro_ds002725,2,eeg_bandpower_ridge,2001,999,sub-01 sub-02 sub-03 sub-06 sub-07 sub-12 sub-16,0.029866809501545504,0.032626790925860405,0.84,0.0005683490445764139,-0.0015980333555489779,-0.293057382106781,-0.29267358779907227
Affective_music_listening_OpenNeuro_ds002725,2,eeg_bandpower_shifted_null,2001,999,sub-01 sub-02 sub-03 sub-06 sub-07 sub-12 sub-16,-0.014374776042823214,-0.0202696705237031,0.29,-0.006466332399852674,-0.01609683968126774,-0.2998361885547638,-0.3001571595668793
Affective_music_listening_OpenNeuro_ds002725,3,train_mean,1999,1001,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,-7.120519861236741e-10,-5.689928528340715e-10,0.36,0.006439389096704326,0.014781042002141476,-0.0031426132190972567,-0.003102694172412157
Affective_music_listening_OpenNeuro_ds002725,3,time_ridge,1999,1001,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,0.016028897174328448,0.01328464737161994,0.76,0.006623151420536123,0.012783842161297798,-0.0030919271521270275,-0.0030508560594171286
Affective_music_listening_OpenNeuro_ds002725,3,eeg_bandpower_ridge,1999,1001,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,0.002319511177483946,0.002871031523682177,0.54,0.004011240984262251,0.0018721166998147964,-0.5885608196258545,-0.5905932784080505
Affective_music_listening_OpenNeuro_ds002725,3,eeg_bandpower_shifted_null,1999,1001,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,0.004418157062900718,0.0036379729863256216,0.55,0.007907149604706374,0.007406981196254492,-0.35844993591308594,-0.3566063642501831
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,train_mean,1939,1061,sub-xp203 sub-xp205 sub-xp207 sub-xp210 sub-xp218 sub-xp219,-6.331688643176367e-10,0.0,0.3103448275862069,-0.005537774816580223,-0.018912596628069878,-0.00043865456245839596,-0.0004296319675631821
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,time_ridge,1939,1061,sub-xp203 sub-xp205 sub-xp207 sub-xp210 sub-xp218 sub-xp219,0.04549583070777656,0.03829784318804741,0.8620689655172413,0.01916102061355537,0.02015969529747963,-0.004920360166579485,-0.0048437947407364845
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,eeg_bandpower_ridge,1939,1061,sub-xp203 sub-xp205 sub-xp207 sub-xp210 sub-xp218 sub-xp219,0.006738869502274694,0.008213432505726814,0.5862068965517241,-0.01678552347196828,-0.020775826647877693,-2.1101813316345215,-2.1261935234069824
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,eeg_bandpower_shifted_null,1939,1061,sub-xp203 sub-xp205 sub-xp207 sub-xp210 sub-xp218 sub-xp219,-0.0010204285288887933,-0.0011116579407826066,0.45977011494252873,-0.003511796598610162,-0.005336353555321693,-1.2292219400405884,-1.2187857627868652
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,2,train_mean,1943,1057,sub-xp201 sub-xp202 sub-xp213 sub-xp216 sub-xp217 sub-xp222,-1.446324521887685e-09,-2.0781589782359333e-09,0.25555555555555554,0.0017425474059602154,-0.012216687202453613,-0.0004150655586272478,-0.0004174817295279354
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,2,time_ridge,1943,1057,sub-xp201 sub-xp202 sub-xp213 sub-xp216 sub-xp217 sub-xp222,0.05467307916567531,0.05338532663881779,0.8111111111111111,0.023435581948426654,0.03719368577003479,-0.0009657442569732666,-0.0009243730455636978
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,2,eeg_bandpower_ridge,1943,1057,sub-xp201 sub-xp202 sub-xp213 sub-xp216 sub-xp217 sub-xp222,0.015283699522519277,0.01548027154058218,0.8222222222222222,-0.026555496852208992,-0.021852731704711914,-1.747529149055481,-1.752681016921997
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,2,eeg_bandpower_shifted_null,1943,1057,sub-xp201 sub-xp202 sub-xp213 sub-xp216 sub-xp217 sub-xp222,-0.005624884448479861,-0.004665697226300836,0.4,-0.024480804951889364,-0.024914145469665527,-1.6440715789794922,-1.5853455066680908
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,train_mean,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,-5.802788064871814e-10,-2.018360367728178e-09,0.3448275862068966,0.008817672568575559,0.007598669035360217,-0.0004940046928822994,-0.0004993235343135893
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,time_ridge,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,0.057522995975510825,0.05676941201090813,0.8850574712643678,0.0341309390624988,0.034279653802514076,-0.0012752016773447394,-0.0012135825818404555
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,eeg_bandpower_ridge,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,0.01732417653400408,0.01963605359196663,0.735632183908046,0.03404815850486792,0.029488760977983475,-1.6088367700576782,-1.6167222261428833
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,eeg_bandpower_shifted_null,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,0.02366543664588946,0.026448212563991547,0.7816091954022989,0.005408953935724343,0.016272476874291897,-1.008958339691162,-1.0127302408218384
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,train_mean,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,-6.155697732368155e-10,-4.863641156482856e-10,0.33,0.0019606642287053546,-0.0023518794332630932,-0.000667472486384213,-0.0006690830923616886
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,time_ridge,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,0.08404262871132233,0.06438478827476501,0.79,0.12419481559596898,0.1425056830048561,0.012122465297579765,0.012093430384993553
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,eeg_bandpower_ridge,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,0.01651345279882662,0.013655699323862791,0.74,0.008483815839940689,0.008288313169032335,-0.6697512865066528,-0.6694977283477783
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,eeg_bandpower_shifted_null,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,-0.0016709066988551057,-0.0035350184189155698,0.44,-0.008157300580467564,0.0020984652219340205,-1.022977590560913,-1.023388385772705
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,train_mean,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,-5.516983572263803e-10,-9.371415865544463e-10,0.34,-1.7500227666459976e-05,-0.003062066389247775,-0.0008971738861873746,-0.0008951948257163167
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,time_ridge,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,0.059816146912053225,0.023479015566408634,0.56,0.11537649502395653,0.11035727337002754,0.007932232692837715,0.007992292754352093
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,eeg_bandpower_ridge,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,-0.003000153075554408,-0.001042836403939873,0.47,-0.005913437610084657,-0.009368118364363909,-0.6888860464096069,-0.6869134306907654
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,eeg_bandpower_shifted_null,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,-0.01794222503733181,-0.017260060645639896,0.24,-0.006081167372365599,-0.0011907291191164404,-0.586819589138031,-0.5854782462120056
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,train_mean,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,3.743283446558928e-10,0.0,0.38,0.0006347950110211968,0.00218262302223593,-0.0005392652819864452,-0.0005409913137555122
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,time_ridge,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,0.015980482418090105,0.004368253750726581,0.52,0.11020033320051152,0.110493965446949,-0.011944635771214962,-0.01207141112536192
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,eeg_bandpower_ridge,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,0.009962535017257324,0.010787960607558489,0.65,0.008759913781104842,-0.002707284060306847,-1.1425267457962036,-1.1381224393844604
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,eeg_bandpower_shifted_null,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,-0.02033950975514017,-0.021792825311422348,0.18,-0.0052176048122346405,-0.0071661570109426975,-0.6172826290130615,-0.6154189109802246
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,train_mean,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,1.3808895818674456e-09,2.2403106036961162e-09,0.39,0.0011042270480983562,0.004919527564197779,-0.00046935916179791093,-0.0004680024867411703
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,time_ridge,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,0.012710336399031803,0.014167298097163439,0.62,0.0022860633624942283,-0.0002788944111671299,-0.00043128550169058144,-0.00042993732495233417
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,eeg_bandpower_ridge,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,0.011688783919089474,0.008971854113042355,0.71,0.016744541952351807,0.019033709540963173,-0.28865525126457214,-0.2887609302997589
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,eeg_bandpower_shifted_null,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,0.020296399671642575,0.0228262422606349,0.79,-0.005971704121915823,-0.0023522130213677883,-0.15189212560653687,-0.15205946564674377
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,2,train_mean,2000,1000,sub-01 sub-05 sub-07 sub-13 sub-16 sub-17 sub-19 sub-21 sub-25 sub-26 sub-33,1.82409564150918e-09,1.4402328218920957e-09,0.38,0.004276247508752931,0.013194853905588388,-0.0006348490715026855,-0.0006346539012156427
