dataset,subject_dirs,session_dirs,n_files,n_dirs,size_gb,eeg_like_files,nifti_like_files,bold_like_files,vhdr,edf,set,bdf,nii_gz,json,tsv
Affective_music_listening_OpenNeuro_ds002725,21,0,865,84,14.907,105,126,105,0,105,0,0,126,316,316
Auditory_and_Visual_Oddball_EEG_fMRI_OpenNeuro_ds000116_fMRI_only_BIDS,17,0,210,34,3.102,0,102,102,0,0,0,0,102,3,103
Auditory_and_Visual_Oddball_EEG_fMRI_OpenfMRI_ds116_legacy_EEG,0,0,4,0,3.657,0,0,0,0,0,0,0,0,0,0
Auditory_oddball_pupillometry_EEG_fMRI_Figshare_He_Hong_Sajda,0,0,2,0,3.857,0,0,0,0,0,0,0,0,0,0
Binocular_rivalry_simultaneous_EEG_fMRI_Dryad_bf1b1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
CWL_NITRC_EEG_fMRI_artifact,0,0,16,0,4.893,0,0,0,0,0,0,0,0,0,0
CineBrain_HuggingFace_Fudan_fMRI,6,0,28,6,96.399,0,0,0,0,0,0,0,0,0,0
Confidence_perceptual_decisions_OpenNeuro_ds002739,24,0,196,72,45.168,0,48,48,0,0,0,0,48,2,48
EEG_fMRI_NODDI_OSF_94c5t,0,0,8,0,7.343,0,0,0,0,0,0,0,0,0,0
Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336,10,0,321,40,18.047,108,65,55,54,0,0,0,65,79,13
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,17,0,480,68,26.024,170,102,85,85,0,0,0,102,112,9
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,24,2,2549,189,112.262,521,237,189,187,0,0,0,236,845,757
NIMH_Vanderbilt_ME_REST_TASK_multi_echo_EEG_fMRI_Figshare_28225415,0,0,430,0,13.421,0,126,0,0,0,0,0,126,0,0
NatView_NKI_EEG_fMRI_Naturalistic_Viewing,62,3,360,302,4.82,40,40,0,0,0,40,0,40,40,120
Schrooten_separate_vs_simultaneous_EEG_fMRI_Zenodo_1507643,0,0,6,0,10.707,0,0,0,0,0,0,0,0,0,0
SevenT_simultaneous_EEG_fMRI_rest_Zenodo_15781280,0,0,18,0,77.7,0,0,0,0,0,0,0,0,0,0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,33,0,1346,132,92.834,510,288,255,255,0,0,0,288,291,0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,20,1,864,102,90.992,261,157,138,119,0,0,0,157,162,140
Synchronous_inner_speech_OpenNeuro_ds006033,3,2,51,20,15.304,10,6,6,5,0,0,0,0,13,15
Value_based_decisions_OpenNeuro_ds002734,22,0,158,66,22.393,0,44,44,0,0,0,0,44,2,44
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,28,0,1795,112,190.8,392,308,280,0,0,392,0,308,700,0
