dataset,fold,n_test_seq,n_train_seq,target_space,target_variance_retained
affective,1,6399,12792,pca32,0.8649922609329224
affective,2,6393,12798,pca32,0.8403373956680298
affective,3,6399,12792,pca32,0.8515719175338745
natview,1,1944,3537,pca32,0.8956195116043091
natview,2,1824,3657,pca32,0.9072269201278687
natview,3,1713,3768,pca32,0.9125981330871582
gradcpt,1,896,1797,pca32,0.8893589973449707
gradcpt,2,947,1746,pca32,0.8728718757629395
gradcpt,3,850,1843,pca32,0.875630795955658
sleep,1,2926,5852,pca32,0.897973358631134
sleep,2,2926,5852,pca32,0.8914093971252441
sleep,3,2926,5852,pca32,0.8957948088645935
speeded,1,2450,4148,pca32,0.8484158515930176
speeded,2,2102,4496,pca32,0.8465667963027954
speeded,3,2046,4552,pca32,0.8531056046485901
experience,1,2515,5034,pca32,0.8884533643722534
experience,2,2479,5070,pca32,0.8744086027145386
experience,3,2555,4994,pca32,0.8745154142379761
xp2,1,1842,3377,pca32,0.8625134229660034
xp2,2,1842,3377,pca32,0.8636400699615479
xp2,3,1535,3684,pca32,0.8612948656082153
natview_neurostorm,1,1944,3537,pca32,0.5159449577331543
natview_neurostorm,2,1824,3657,pca32,0.5273528695106506
natview_neurostorm,3,1713,3768,pca32,0.5328246355056763
