fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
1,real_eeg_ridge,Z_masked100,12792,6399,32,16,0.0015309761211028672,0.001835275732446462,0.002550781763745982,-0.004866809584200382,-1.0552511467884984,0.0014064697609001407,0.006094702297233943,0.008235975287613563,455.0,0.5018905867016477,0.0025402646748248583,affective
1,shifted_null_ridge,Z_masked100,12792,6399,32,16,0.00020324434444773942,0.0006884399335831404,-0.0005792751374101021,-0.0003384863957762718,-0.6848631889768004,0.0014064697609001407,0.005313330207844975,0.00842681477923427,452.0,0.5020519264300471,0.0022669922843435047,affective
1,time_only_ridge,Z_masked100,12792,6399,32,16,0.0015008052499752011,0.001426566916052252,0.00915844739098571,0.011503554880619049,-1.5820521215070826e-05,0.0010939209251445538,0.005625879043600563,0.008171117600985931,449.0,0.5044774386127278,0.004639070293180741,affective
1,train_mean,Z_masked100,12792,6399,32,16,9.966025665538549e-11,-8.11063327610384e-10,0.0049908636911704584,0.0088315075263381,-1.7782756405182454e-06,0.0010939209251445538,0.005469604625722769,0.008090364927966262,458.0,0.5,5.8856689363498815e-19,affective
1,time_residual_eeg_ridge,Z_masked100_time_resid,12792,6399,32,16,0.001498572664331732,0.002068038913421333,0.002063142364249195,-0.0028208796866238117,-1.0530076967603947,0.0014064697609001407,0.006250976715111736,0.008268529128960016,453.0,0.5023420459854171,0.002624248177245309,affective
1,time_residual_shifted_null,Z_masked100_time_resid,12792,6399,32,16,0.0007619633670401527,0.001241913007106632,0.0007091199611090694,-0.0020957067608833313,-0.46154538586817884,0.0010939209251445538,0.005938427879356149,0.008628030727489546,462.0,0.49993922189187473,0.0007187905239702382,affective
1,time_residual_mean,Z_masked100_time_resid,12792,6399,32,16,3.090248236316108e-09,3.931690750746952e-09,-0.007058935322341232,-0.01707375794649124,-1.9008888800797763e-06,0.0010939209251445538,0.005469604625722769,0.008090364927966262,458.0,0.5,-9.29316147844718e-20,affective
2,real_eeg_ridge,Z_masked100,12798,6393,32,16,0.005191009913687594,0.0030649983091279864,0.022285581548628565,0.025911841541528702,-0.09487505657133677,0.0014077897700610043,0.007508212106992022,0.00912639184998485,438.0,0.5160470353610621,0.022630529992400877,affective
2,shifted_null_ridge,Z_masked100,12798,6393,32,16,-0.0033761144745767524,-0.0028095493325963616,-0.011163635296743328,-0.01563206873834133,-0.054016933201456396,0.000782105427811669,0.005005474737994682,0.00798747467565425,455.0,0.5009036879465145,-0.00015555937930290312,affective
2,time_only_ridge,Z_masked100,12798,6393,32,16,-7.627891113770602e-05,-0.00010419402315164916,0.010454288447246982,0.004388861823827028,-1.5645264971997364e-05,0.001564210855623338,0.0070389488503050214,0.009293150721197987,456.0,0.504840654909652,0.005859434941724752,affective
