dataset,fold,n_test_seq,n_train_seq,target_space,target_variance_retained
affective,1,5376,11625,pca32,0.8494926691055298
affective,2,5376,11655,pca32,0.846934974193573
affective,3,5376,11520,pca32,0.846779465675354
natview,1,1356,3535,pca32,0.9021137952804565
natview,2,1231,3690,pca32,0.9025189876556396
natview,3,1394,3527,pca32,0.9034801721572876
gradcpt,1,128,125,pca32,0.9641577005386353
gradcpt,2,106,162,pca32,0.9581611156463623
gradcpt,3,106,162,pca32,0.9569178819656372
sleep,1,2112,5586,pca32,0.8912290334701538
sleep,2,2112,5631,pca32,0.8898979425430298
sleep,3,2112,5586,pca32,0.8930227756500244
speeded,1,2198,3650,pca32,0.8428381681442261
speeded,2,2130,3778,pca32,0.8475293517112732
speeded,3,2208,3715,pca32,0.8428041934967041
experience,1,1906,4902,pca32,0.8762075901031494
experience,2,1824,4939,pca32,0.8767125606536865
experience,3,1852,4896,pca32,0.8762297630310059
xp2,1,1062,3737,pca32,0.8573006987571716
xp2,2,997,3847,pca32,0.8604305386543274
xp2,3,1049,3780,pca32,0.8579033613204956
natview_neurostorm,1,1356,3535,pca32,0.514693558216095
natview_neurostorm,2,1231,3690,pca32,0.5168417692184448
natview_neurostorm,3,1394,3527,pca32,0.5154752731323242
