dataset,dataset_key,inventory_status,subject_dirs,eeg_like_files,bold_like_files,size_gb
Affective_music_listening_OpenNeuro_ds002725,affective,strict_gate_evaluated,0,0,0,0.0
Auditory_and_Visual_Oddball_EEG_fMRI_OpenNeuro_ds000116_fMRI_only_BIDS,Auditory_and_Visual_Oddball_EEG_fMRI_OpenNeuro_ds000116_fMRI_only_BIDS,not_pairable_from_current_inventory,0,0,0,0.0
Auditory_and_Visual_Oddball_EEG_fMRI_OpenfMRI_ds116_legacy_EEG,Auditory_and_Visual_Oddball_EEG_fMRI_OpenfMRI_ds116_legacy_EEG,not_pairable_from_current_inventory,0,0,0,0.0
Auditory_oddball_pupillometry_EEG_fMRI_Figshare_He_Hong_Sajda,Auditory_oddball_pupillometry_EEG_fMRI_Figshare_He_Hong_Sajda,not_pairable_from_current_inventory,0,0,0,0.0
Binocular_rivalry_simultaneous_EEG_fMRI_Dryad_bf1b1,Binocular_rivalry_simultaneous_EEG_fMRI_Dryad_bf1b1,not_pairable_from_current_inventory,0,0,0,0.0
CWL_NITRC_EEG_fMRI_artifact,CWL_NITRC_EEG_fMRI_artifact,not_pairable_from_current_inventory,0,0,0,0.0
CineBrain_HuggingFace_Fudan_fMRI,CineBrain_HuggingFace_Fudan_fMRI,not_pairable_from_current_inventory,0,0,0,0.0
Confidence_perceptual_decisions_OpenNeuro_ds002739,Confidence_perceptual_decisions_OpenNeuro_ds002739,not_pairable_from_current_inventory,0,0,0,0.0
EEG_fMRI_NODDI_OSF_94c5t,EEG_fMRI_NODDI_OSF_94c5t,not_pairable_from_current_inventory,0,0,0,0.0
Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336,Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336,not_pairable_from_current_inventory,0,0,0,0.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,xp2,strict_gate_evaluated,0,0,0,0.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,experience,strict_gate_evaluated,0,0,0,0.0
NIMH_Vanderbilt_ME_REST_TASK_multi_echo_EEG_fMRI_Figshare_28225415,NIMH_Vanderbilt_ME_REST_TASK_multi_echo_EEG_fMRI_Figshare_28225415,not_pairable_from_current_inventory,0,0,0,0.0
NatView_NKI_EEG_fMRI_Naturalistic_Viewing,natview,strict_gate_evaluated,0,0,0,0.0
Schrooten_separate_vs_simultaneous_EEG_fMRI_Zenodo_1507643,Schrooten_separate_vs_simultaneous_EEG_fMRI_Zenodo_1507643,not_pairable_from_current_inventory,0,0,0,0.0
SevenT_simultaneous_EEG_fMRI_rest_Zenodo_15781280,SevenT_simultaneous_EEG_fMRI_rest_Zenodo_15781280,not_pairable_from_current_inventory,0,0,0,0.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,sleep,strict_gate_evaluated,0,0,0,0.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,speeded,strict_gate_evaluated,0,0,0,0.0
Synchronous_inner_speech_OpenNeuro_ds006033,Synchronous_inner_speech_OpenNeuro_ds006033,not_pairable_from_current_inventory,0,0,0,0.0
Value_based_decisions_OpenNeuro_ds002734,Value_based_decisions_OpenNeuro_ds002734,not_pairable_from_current_inventory,0,0,0,0.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,gradcpt,strict_gate_evaluated,0,0,0,0.0
