dataset,name,authors,dataset_doi,license,n_bold_json,n_bold_files,tr_values,echo_values,bold_task_names,n_eeg_json,n_eeg_files,n_eeg_vhdr_files,n_eeg_set_files,n_eeg_edf_files,eeg_sampling_frequency,eeg_reference,eeg_task_names,channel_type_counts,event_onset_min,readme_hint
Affective_music_listening_OpenNeuro_ds002725,A dataset recording joint EEG-fMRI during affective music listening ,Ian Daly; Nicoletta Nicolaou; Duncan Williams; Faustina Hwang; Alexis Kirke; Eduardo Miranda; Slawomir J. Nasuto,10.18112/openneuro.ds002725.v1.0.0,CC0,105,105,2.0,0.03,classicalMusic|genMusic01|genMusic02|genMusic03|washout,105,210,0,0,105,1000,placed on FCz,GeneratedMusic,"{""ECG"": 10, ""EEG"": 310, ""reponse"": 100, ""response"": 10, ""stimuli"": 30}",0.001,"Dataset: Joint EEG-fMRI recording during affective music listening. This dataset was recorded from 21 healthy adult participants viia a joint EEG-fMRI modality while they listened to a set of music stimuli chosen and generated to produce different affective (emotional) reponses. Participants self-reported their felt affective states as they listened to the music. The full experiment description can be found in our paper (Daly et.al., 2019). Data recorded in 2016 Published in 2019 [1] Daly, I., Williams, D., Hwang, F., Kirke, A., Miranda, E. R., & Nasuto, S. J. (2019). Electroencephalography reflects the activity of sub-cortical brain regions during approach-withdrawal behaviour while listening to music. Scientific Reports, 9(1), 9415. https://doi.org/10.1038/s41598-019-45105-2"
Auditory_and_Visual_Oddball_EEG_fMRI_OpenNeuro_ds000116_fMRI_only_BIDS,Auditory and Visual Oddball EEG-fMRI,Jennifer M Walz; Robin I Goldman; Jordan Muraskin; Bryan Conroy; Truman R Brown; Paul Sajda,,,2,102,2.0,0.025,auditory oddball with button response to target stimuli|visual oddball with button response to target stimuli,0,0,0,0,0,,,,{},4.153,"**The EEG component of this dataset is available as part of R1.0.0 at https://legacy.openfmri.org/dataset/ds000116/** Data acquisition methods have been described in detail in Walz et al. (2013, J Neurosci), but we outline them here and provide file information for clarity and ease of use. ———————————————————————————————— ODDBALL PARADIGM ———————————————————————————————— 3 runs each of separate auditory and visual tasks 20% target stimuli (requiring button response), 80% standard stimuli (to be ignored) stimulus duration 200 ms ITI 2-3 sec, uniformly distributed first 2 stimuli constrained to be standards each run consisted of 125 total stimuli AUDITORY target - broadband “laser gun” sound standard - 390 Hz tone VISUAL target - large red circle on isoluminant grey background (3.45 degree v"
Auditory_and_Visual_Oddball_EEG_fMRI_OpenfMRI_ds116_legacy_EEG,,,,,0,0,,,,0,0,0,0,0,,,,{},,
Auditory_oddball_pupillometry_EEG_fMRI_Figshare_He_Hong_Sajda,,,,,0,0,,,,0,0,0,0,0,,,,{},,
Binocular_rivalry_simultaneous_EEG_fMRI_Dryad_bf1b1,,,,,0,0,,,,0,0,0,0,0,,,,{},,
CWL_NITRC_EEG_fMRI_artifact,,,,,0,0,,,,0,0,0,0,0,,,,{},,
CineBrain_HuggingFace_Fudan_fMRI,,,,,0,0,,,,0,0,0,0,0,,,,{},,"--- license: apache-2.0 language: - en tags: - fMRI - EEG - neuroscience - brain-imaging - science - huggingscience size_categories: - 100K<n<1M task_categories: - text-to-video - image-to-video pretty_name: CineBrain --- # [CVPR 2026] CineBrain: A Large-Scale Multi-Modal Brain Dataset During Naturalistic Audiovisual Narrative Processing [![ArXiv](https://img.shields.io/badge/ArXiv-2503.06940-b31b1b.svg?logo=arXiv)](https://arxiv.org/abs/2503.06940) [![Code](https://img.shields.io/badge/Code-Github-black?logo=github)](https://github.com/yanweifu-sii/CineBrain) [![Model](https://img.shields.io/badge/Model-CineSync-faa035.svg?logo=Huggingface)](https://huggingface.co/Fudan-fMRI/CineSync) CineBrain is a large-scale multimodal brain dataset comprising fMRI, EEG, and ECG recordings collected wh"
Confidence_perceptual_decisions_OpenNeuro_ds002739,Simultaneous EEG-fMRI - Confidence in perceptual decisions,Sabina Gherman; Marios G. Philiastides,10.18112/openneuro.ds002739.v1.0.0,CC0,1,48,2,0.03,main,0,0,0,0,0,,,,{},0.0,"OpenNeuro curator note: This dataset was previously accessible at ds001512. The dataset was reuploaded due to privacy considerations. EEG EEG_data contains preprocessed EEG data (see below for preprocessing details). EEG_events contains event times and behavioural data. There is a file for each of the two experimental sessions of each subject. EEG data EEGdata: [number_of_valid_electrodes x data_samples] - EEG activity for all electrodes across time fs: 1000 - sampling frequency (after preprocessing) excludedchannels: [1 x number_of_electrodes] - indices of channels removed from analysis EEG events dotdirection: [1 x number_of_valid_trials] - direction of coherent motion in dot stimulus (1=left, 2=right) choice: [1 x number_of_valid_trials] - subject's direction choice (1=left, 2=right) ac"
EEG_fMRI_NODDI_OSF_94c5t,,,,,0,0,,,,0,0,0,0,0,,,,{},,"These are the raw data associated with two publications. Please cite the articles below. 1. F. Deligianni, D.W. Carmichael, Gary H. Zhang, C.A. Clark and J.D. Clayden (2016). NODDI and tensor-based microstructural indices as predictors of functional connectivity. *PLoS ONE* 11(4):e0153404. 2. F. Deligianni, M. Centeno, D.W. Carmichael and J.D. Clayden (2014). Relating resting-state fMRI and EEG whole-brain connectomes across frequency bands. *Frontiers in Neuroscience* 8:258. **Please note** that in version 2 of the data, the subject with identifier 41 has been removed. This is due to a duplication mistake. There are therefore 16 remaining subjects in the dataset. ## Description These data were acquired as described in Deligianni et al., 2016. The relevant description is reproduced below. "
Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and fMRI acquisition during a motor imagery neurofeedback task: XP1,Giulia Lioi; Claire Cury; Lorraine Perronnet; Marsel Mano; Elise Bannier; Anatole Lecuyer; Christian Barillot,10.18112/openneuro.ds002336.v2.0.2,CC0,61,55,2,0.023,,6,168,54,0,0,5000,FCz,MIpost|MIpre|eegNF|eegfmriNF|fmriNF|motorloc,{},2.0,"———————————————————————————————— ORIGINAL PAPERS ———————————————————————————————— Lioi, G., Cury, C., Perronnet, L., Mano, M., Bannier, E., Lécuyer, A., & Barillot, C. (2019). Simultaneous MRI-EEG during a motor imagery neurofeedback task: an open access brain imaging dataset for multi-modal data integration Authors. BioRxiv. https://doi.org/https://doi.org/10.1101/862375 Mano, Marsel, Anatole Lécuyer, Elise Bannier, Lorraine Perronnet, Saman Noorzadeh, and Christian Barillot. 2017. “How to Build a Hybrid Neurofeedback Platform Combining EEG and FMRI.” Frontiers in Neuroscience 11 (140). https://doi.org/10.3389/fnins.2017.00140 Perronnet, Lorraine, L Anatole, Marsel Mano, Elise Bannier, Maureen Clerc, Christian Barillot, Lorraine Perronnet, et al. 2017. “Unimodal Versus Bimodal EEG-FMRI Ne"
