dataset,file,has_neurostorm,n_windows,roi_ge95_fraction,roi_valid_mean,roi_valid_min,run,sample_step_max,sample_step_median,sample_step_min,sample_time_max,sample_time_min,sfreq,subject,task
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,925,1.0,100.0,100.0,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1859.0,11.0,200.0,sub-01,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-02,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,928,1.0,100.0,100.0,sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1865.0,11.0,200.0,sub-03,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-04,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-05,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-06,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-07,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-08,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-09,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-10,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-11,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-12,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-13,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-14_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-14_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-14,classicalMusic
Affective_music_listening_OpenNeuro_ds002725,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-15_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,False,929,1.0,100.0,100.0,sub-15_ses-nosession_classicalMusic_classicalMusic_run-norun,2.0,2.0,2.0,1867.0,11.0,200.0,sub-15,classicalMusic
