dataset,control,split,fold,n_train,n_test,n_classes,score_name,score,chance,aux_name,aux_score,interpretation
affective,subject_id_from_eeg,within_run_block,1,13245,5253,21,balanced_accuracy,0.9678787473076743,0.047619047619047616,accuracy,0.9672568056348753,above_chance
affective,run_id_from_eeg,within_run_block,1,13245,5253,21,balanced_accuracy,0.9678787473076743,0.047619047619047616,accuracy,0.9672568056348753,above_chance
affective,time_bin_from_eeg,within_run_block,1,13245,5253,8,balanced_accuracy,0.11520301672462882,0.125,accuracy,0.11403007805063774,near_chance
affective,time_frac_from_eeg,within_run_block,1,13245,5253,1,corr,0.2835861536645315,0.0,r2,0.03439599275588989,above_chance
affective,subject_id_from_eeg,within_run_block,2,13377,5161,21,balanced_accuracy,0.9717497775904855,0.047619047619047616,accuracy,0.9711296260414648,above_chance
affective,run_id_from_eeg,within_run_block,2,13377,5161,21,balanced_accuracy,0.9717497775904855,0.047619047619047616,accuracy,0.9711296260414648,above_chance
affective,time_bin_from_eeg,within_run_block,2,13377,5161,8,balanced_accuracy,0.13003892536229236,0.125,accuracy,0.13447006394109667,near_chance
affective,time_frac_from_eeg,within_run_block,2,13377,5161,1,corr,0.329580408395451,0.0,r2,0.09362393617630005,above_chance
affective,subject_id_from_eeg,within_run_block,3,13405,5125,21,balanced_accuracy,0.9664434499312167,0.047619047619047616,accuracy,0.9660487804878048,above_chance
affective,run_id_from_eeg,within_run_block,3,13405,5125,21,balanced_accuracy,0.9664434499312167,0.047619047619047616,accuracy,0.9660487804878048,above_chance
affective,time_bin_from_eeg,within_run_block,3,13405,5125,8,balanced_accuracy,0.13321998490989959,0.125,accuracy,0.13931707317073172,near_chance
affective,time_frac_from_eeg,within_run_block,3,13405,5125,1,corr,0.26065056917823254,0.0,r2,0.02994978427886963,above_chance
affective,time_bin_from_eeg,subject_heldout,1,13007,6499,8,balanced_accuracy,0.1708076770912711,0.125,accuracy,0.17125711647945838,weak
affective,time_frac_from_eeg,subject_heldout,1,13007,6499,1,corr,0.26150910996398025,0.0,r2,-0.23175334930419922,above_chance
affective,time_bin_from_eeg,subject_heldout,2,13001,6505,8,balanced_accuracy,0.16076023619127067,0.125,accuracy,0.16079938508839353,weak
affective,time_frac_from_eeg,subject_heldout,2,13001,6505,1,corr,0.13442513390485814,0.0,r2,-0.22315871715545654,weak
affective,time_bin_from_eeg,subject_heldout,3,13004,6502,8,balanced_accuracy,0.1709504137208378,0.125,accuracy,0.1708705013841895,weak
affective,time_frac_from_eeg,subject_heldout,3,13004,6502,1,corr,0.1477518477413073,0.0,r2,-0.1436372995376587,weak
affective,temporal_autocorr_lag1,no_train,0,0,19485,1,lag_cosine,0.8573157364047105,0.42197451049404,lag_minus_random,0.4353412259106705,temporally_smooth
affective,temporal_autocorr_lag4,no_train,0,0,19422,1,lag_cosine,0.5533884325744859,0.42225281817280197,lag_minus_random,0.13113561440168392,temporally_smooth
affective,temporal_autocorr_lag16,no_train,0,0,19170,1,lag_cosine,0.5161463296515219,0.4210464934900846,lag_minus_random,0.09509983616143725,temporally_smooth
affective,temporal_autocorr_lag64,no_train,0,0,18162,1,lag_cosine,0.48604950911029116,0.42220561276640534,lag_minus_random,0.06384389634388582,temporally_smooth
sleep,subject_id_from_eeg,within_run_block,1,6775,2034,33,balanced_accuracy,0.9711174242424242,0.030303030303030304,accuracy,0.9700098328416913,above_chance
sleep,run_id_from_eeg,within_run_block,1,6775,2034,33,balanced_accuracy,0.9711174242424242,0.030303030303030304,accuracy,0.9700098328416913,above_chance
sleep,time_bin_from_eeg,within_run_block,1,6775,2034,8,balanced_accuracy,0.05313896153427045,0.125,accuracy,0.04031465093411996,near_chance
sleep,time_frac_from_eeg,within_run_block,1,6775,2034,1,corr,0.08905032092469596,0.0,r2,-0.283528208732605,weak
sleep,subject_id_from_eeg,within_run_block,2,7050,1839,33,balanced_accuracy,0.8953598484848485,0.030303030303030304,accuracy,0.879825992387167,above_chance
sleep,run_id_from_eeg,within_run_block,2,7050,1839,33,balanced_accuracy,0.8953598484848485,0.030303030303030304,accuracy,0.879825992387167,above_chance
sleep,time_bin_from_eeg,within_run_block,2,7050,1839,8,balanced_accuracy,0.06383623814183359,0.125,accuracy,0.09951060358890701,near_chance
sleep,time_frac_from_eeg,within_run_block,2,7050,1839,1,corr,0.2513226861979436,0.0,r2,-0.030816316604614258,above_chance
sleep,subject_id_from_eeg,within_run_block,3,7112,1761,33,balanced_accuracy,0.9621212121212122,0.030303030303030304,accuracy,0.9545712663259511,above_chance
sleep,run_id_from_eeg,within_run_block,3,7112,1761,33,balanced_accuracy,0.9621212121212122,0.030303030303030304,accuracy,0.9545712663259511,above_chance
