dataset,control,split,fold,n_train,n_test,n_classes,score_name,score,chance,aux_name,aux_score,interpretation
affective,summary:subject_id_from_eeg,within_run_block,1,13245,5253,21,balanced_accuracy,0.8447497746640446,0.047619047619047616,accuracy,0.8435179897201599,above_chance
affective,summary:run_id_from_eeg,within_run_block,1,13245,5253,21,balanced_accuracy,0.8447497746640446,0.047619047619047616,accuracy,0.8435179897201599,above_chance
affective,summary:time_bin_from_eeg,within_run_block,1,13245,5253,8,balanced_accuracy,0.11558450743232858,0.125,accuracy,0.11574338473253379,near_chance
affective,summary:time_frac_from_eeg,within_run_block,1,13245,5253,1,corr,0.38362015317883996,0.0,r2,0.1412811279296875,above_chance
affective,summary:subject_id_from_eeg,within_run_block,2,13377,5161,21,balanced_accuracy,0.8217189621669709,0.047619047619047616,accuracy,0.8190273202867662,above_chance
affective,summary:run_id_from_eeg,within_run_block,2,13377,5161,21,balanced_accuracy,0.8217189621669709,0.047619047619047616,accuracy,0.8190273202867662,above_chance
affective,summary:time_bin_from_eeg,within_run_block,2,13377,5161,8,balanced_accuracy,0.13391868403042928,0.125,accuracy,0.1404766518116644,near_chance
affective,summary:time_frac_from_eeg,within_run_block,2,13377,5161,1,corr,0.37211641768900183,0.0,r2,0.1343327760696411,above_chance
affective,summary:subject_id_from_eeg,within_run_block,3,13405,5125,21,balanced_accuracy,0.8102144632624247,0.047619047619047616,accuracy,0.8095609756097562,above_chance
affective,summary:run_id_from_eeg,within_run_block,3,13405,5125,21,balanced_accuracy,0.8102144632624247,0.047619047619047616,accuracy,0.8095609756097562,above_chance
affective,summary:time_bin_from_eeg,within_run_block,3,13405,5125,8,balanced_accuracy,0.13101008497807512,0.125,accuracy,0.13502439024390245,near_chance
affective,summary:time_frac_from_eeg,within_run_block,3,13405,5125,1,corr,0.349039160439771,0.0,r2,0.12009137868881226,above_chance
affective,summary:time_bin_from_eeg,subject_heldout,1,13007,6499,8,balanced_accuracy,0.18227890806753594,0.125,accuracy,0.1826434836128635,weak
affective,summary:time_frac_from_eeg,subject_heldout,1,13007,6499,1,corr,0.29104910580614934,0.0,r2,-0.06422340869903564,above_chance
affective,summary:time_bin_from_eeg,subject_heldout,2,13001,6505,8,balanced_accuracy,0.1870296396158465,0.125,accuracy,0.18724058416602612,weak
affective,summary:time_frac_from_eeg,subject_heldout,2,13001,6505,1,corr,0.3548961680503882,0.0,r2,0.08700007200241089,above_chance
affective,summary:time_bin_from_eeg,subject_heldout,3,13004,6502,8,balanced_accuracy,0.15436205993231117,0.125,accuracy,0.15426022762227007,near_chance
affective,summary:time_frac_from_eeg,subject_heldout,3,13004,6502,1,corr,0.21183920450019797,0.0,r2,0.018722712993621826,above_chance
affective,summary:temporal_autocorr_lag1,no_train,0,0,19485,1,lag_cosine,0.9481664361571467,0.6386701222143737,lag_minus_random,0.309496313942773,temporally_smooth
affective,summary:temporal_autocorr_lag4,no_train,0,0,19422,1,lag_cosine,0.819094320794787,0.6361206510663572,lag_minus_random,0.18297366972842977,temporally_smooth
affective,summary:temporal_autocorr_lag16,no_train,0,0,19170,1,lag_cosine,0.7792729337642293,0.6436115806279927,lag_minus_random,0.13566135313623662,temporally_smooth
affective,summary:temporal_autocorr_lag64,no_train,0,0,18162,1,lag_cosine,0.7267012582195876,0.6446078726584469,lag_minus_random,0.08209338556114076,temporally_smooth
affective,spatial:subject_id_from_eeg,within_run_block,1,13245,5253,21,balanced_accuracy,0.9901413690476191,0.047619047619047616,accuracy,0.9899105273177232,above_chance
affective,spatial:run_id_from_eeg,within_run_block,1,13245,5253,21,balanced_accuracy,0.9901413690476191,0.047619047619047616,accuracy,0.9899105273177232,above_chance
affective,spatial:time_bin_from_eeg,within_run_block,1,13245,5253,8,balanced_accuracy,0.13480077366898577,0.125,accuracy,0.13173424709689702,near_chance
affective,spatial:time_frac_from_eeg,within_run_block,1,13245,5253,1,corr,0.4620102009515893,0.0,r2,0.16336989402770996,above_chance
affective,spatial:subject_id_from_eeg,within_run_block,2,13377,5161,21,balanced_accuracy,0.9969478610642879,0.047619047619047616,accuracy,0.9968998256151909,above_chance
affective,spatial:run_id_from_eeg,within_run_block,2,13377,5161,21,balanced_accuracy,0.9969478610642879,0.047619047619047616,accuracy,0.9968998256151909,above_chance
affective,spatial:time_bin_from_eeg,within_run_block,2,13377,5161,8,balanced_accuracy,0.17330896335564117,0.125,accuracy,0.1856229412904476,weak
affective,spatial:time_frac_from_eeg,within_run_block,2,13377,5161,1,corr,0.48349186811501604,0.0,r2,0.21004420518875122,above_chance
affective,spatial:subject_id_from_eeg,within_run_block,3,13405,5125,21,balanced_accuracy,0.9934601244343891,0.047619047619047616,accuracy,0.9931707317073171,above_chance
affective,spatial:run_id_from_eeg,within_run_block,3,13405,5125,21,balanced_accuracy,0.9934601244343891,0.047619047619047616,accuracy,0.9931707317073171,above_chance
affective,spatial:time_bin_from_eeg,within_run_block,3,13405,5125,8,balanced_accuracy,0.18627135354975966,0.125,accuracy,0.1902439024390244,weak
affective,spatial:time_frac_from_eeg,within_run_block,3,13405,5125,1,corr,0.3761409879740146,0.0,r2,0.06667965650558472,above_chance
affective,spatial:time_bin_from_eeg,subject_heldout,1,13007,6499,8,balanced_accuracy,0.16753072936682445,0.125,accuracy,0.16741037082628096,weak
affective,spatial:time_frac_from_eeg,subject_heldout,1,13007,6499,1,corr,-0.063517727504937,0.0,r2,-1.3778157234191895,weak
affective,spatial:time_bin_from_eeg,subject_heldout,2,13001,6505,8,balanced_accuracy,0.16572645020920884,0.125,accuracy,0.1657186779400461,weak
affective,spatial:time_frac_from_eeg,subject_heldout,2,13001,6505,1,corr,0.0582724424133744,0.0,r2,-1.5517051219940186,weak
affective,spatial:time_bin_from_eeg,subject_heldout,3,13004,6502,8,balanced_accuracy,0.19008726077059268,0.125,accuracy,0.19024915410642879,weak
affective,spatial:time_frac_from_eeg,subject_heldout,3,13004,6502,1,corr,0.29935552395101167,0.0,r2,-0.07865440845489502,above_chance
affective,spatial:temporal_autocorr_lag1,no_train,0,0,19485,1,lag_cosine,0.9688661439258305,0.6865318590807024,lag_minus_random,0.2823342848451281,temporally_smooth
affective,spatial:temporal_autocorr_lag4,no_train,0,0,19422,1,lag_cosine,0.8786041106466705,0.6845429822821324,lag_minus_random,0.19406112836453815,temporally_smooth
affective,spatial:temporal_autocorr_lag16,no_train,0,0,19170,1,lag_cosine,0.8463806774037788,0.6887124843581794,lag_minus_random,0.15766819304559931,temporally_smooth
affective,spatial:temporal_autocorr_lag64,no_train,0,0,18162,1,lag_cosine,0.7951978807979929,0.6894177076220154,lag_minus_random,0.10578017317597754,temporally_smooth
