dataset,run,subject,n_windows,n_channels,sfreq,duration_sec,nan_fraction,flat_channel_fraction,high_rms_channel_fraction,rms_median,line60_ratio,alpha_rel_power,alpha_peak_hz,lowfreq_rel_power
affective,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-01,925,25,200.0,1915.0,0.0,0.0,0.0,1.458269715309143,0.6738652586936951,0.6247851290693937,6.0,6.382317397249226
affective,sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-02,929,25,200.0,1898.0,0.0,0.0,0.0,1.2263405323028564,0.7734232544898987,1.0111631563427865,6.0,7.038252087277511
affective,sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-03,928,25,200.0,1918.0,0.0,0.0,0.0,1.2156473398208618,0.5682144165039062,1.0381175227337731,10.75,8.918323586764174
affective,sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-04,929,25,200.0,1901.0,0.0,0.0,0.0,1.2408790588378906,0.699073314666748,1.6110100531191682,9.5,3.3904266460324384
affective,sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-05,929,25,200.0,1891.0,0.0,0.0,0.0,1.3232665061950684,0.7827240228652954,0.5878922671044539,6.25,6.56237195967757
affective,sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-06,929,25,200.0,1899.0,0.0,0.0,0.0,1.4943698644638062,0.818719208240509,0.46769042884721684,6.0,8.317786569954919
affective,sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-07,929,25,200.0,1905.0,0.0,0.0,0.0,1.5511384010314941,0.7531342506408691,0.9555959904693155,6.0,6.380310840779183
affective,sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-08,929,25,200.0,1919.0,0.0,0.0,0.0,1.2753536701202393,0.7319739460945129,0.7200199301411198,6.75,4.915926292130472
affective,sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-09,929,25,200.0,1897.0,0.0,0.0,0.0,1.36166512966156,0.4806472659111023,0.6375349482140145,6.0,6.800734740809741
affective,sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-10,929,25,200.0,1902.0,0.0,0.0,0.0,1.3854700326919556,0.9455893039703369,1.3112877490444494,6.0,5.06168673741606
affective,sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-11,929,25,200.0,1976.0,0.0,0.0,0.0,1.5343635082244873,0.846172571182251,0.4293925265785932,6.25,4.361731958946719
affective,sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-12,929,25,200.0,1895.0,0.0,0.0,0.0,1.9353322982788086,0.6489107012748718,0.9624973109546024,6.0,7.171329493167277
affective,sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-13,929,25,200.0,1899.0,0.0,0.0,0.0,1.6187570095062256,0.6951562166213989,0.7799680641072451,6.0,7.791869723874713
affective,sub-14_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-14,929,25,200.0,1883.0,0.0,0.0,0.0,1.5825752019882202,0.7572174668312073,1.0970874657570884,6.0,7.178573437294726
affective,sub-15_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-15,929,25,200.0,1889.0,0.0,0.0,0.0,1.3975040912628174,0.8295112252235413,0.6296140361467526,6.25,6.845770326306117
affective,sub-16_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-16,929,25,200.0,1897.0,0.0,0.0,0.0,1.363993763923645,0.9260470271110535,1.010513785303187,6.0,5.888534231782189
affective,sub-17_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-17,929,25,200.0,1898.0,0.0,0.0,0.0,1.2725257873535156,0.702732264995575,0.7440561492222859,6.0,5.88838738654551
affective,sub-18_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-18,930,25,200.0,1900.0,0.0,0.0,0.0,1.2065784931182861,0.6620968580245972,1.8818321735846597,8.75,4.6017212815325665
affective,sub-19_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-19,929,25,200.0,1892.0,0.0,0.0,0.0,1.38099205493927,0.8418213129043579,0.49748194607229834,6.0,4.18362704687708
affective,sub-20_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-20,930,25,200.0,1930.0,0.0,0.0,0.0,2.0812885761260986,0.7659725546836853,0.28506372556468074,6.0,10.049959175586658
affective,sub-21_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-21,929,25,200.0,1891.0,0.0,0.0,0.0,1.2053807973861694,0.7272153496742249,0.7143548930894481,6.25,4.924219650312888
natview,sub-01_ses-01_rest,sub-01,282,47,200.0,601.52,0.0,0.0,0.0,10.294143676757812,0.6091522574424744,1.4732494163524061,6.0,5.942812323329278
natview,sub-02_ses-01_rest,sub-02,283,48,200.0,607.94,0.0,0.0,0.0,5.161467552185059,0.7087884545326233,2.456391417990951,8.25,4.787250981611911
natview,sub-03_ses-01_rest,sub-03,280,45,200.0,595.515,0.0,0.0,0.0,9.07303524017334,0.6863226294517517,1.784592033741718,9.5,6.139941944809375
natview,sub-04_ses-01_rest,sub-04,283,46,200.0,638.24,0.0,0.0,0.0,7.4672532081604,0.6273507475852966,3.3627273841526035,9.5,2.7325880108268885
natview,sub-05_ses-01_rest,sub-05,256,46,200.0,546.25,0.0,0.0,0.0,13.453561782836914,0.6694285273551941,1.0128256296431704,6.0,8.250496524847595
natview,sub-06_ses-01_rest,sub-06,280,40,200.0,595.495,0.0,0.0,0.0,8.04114055633545,0.6944146752357483,1.325267999714105,6.0,6.19458323769303
natview,sub-07_ses-01_rest,sub-07,283,44,200.0,860.42,0.0,0.0,0.0,6.786684036254883,0.5726312398910522,1.6076854334212973,6.0,4.509540910692912
natview,sub-08_ses-01_rest,sub-08,265,48,200.0,564.41,0.0,0.0,0.0,7.798582077026367,0.7504462003707886,2.242180121232168,6.0,3.522500354458292
natview,sub-09_ses-01_rest,sub-09,234,34,200.0,500.25,0.0,0.0,0.0,6.778818130493164,0.6914930939674377,1.2233380890884031,6.0,5.807284154813489
natview,sub-10_ses-01_rest,sub-10,250,49,200.0,533.05,0.0,0.0,0.0,7.125045299530029,0.6475511789321899,1.2633336784555305,10.0,6.62251600211284
natview,sub-11_ses-01_rest,sub-11,272,48,200.0,579.11,0.0,0.0,0.0,10.386968612670898,0.6264949440956116,1.342093290584968,6.0,6.485297141780592
natview,sub-12_ses-01_rest,sub-12,271,45,200.0,577.515,0.0,0.0,0.0,6.162600040435791,0.627521276473999,1.57164075646181,9.5,4.5370307455951036
natview,sub-13_ses-01_rest,sub-13,280,39,200.0,597.35,0.0,0.0,0.0,6.619019985198975,0.615425705909729,1.5417537957273726,6.0,3.800573877447885
natview,sub-14_ses-01_rest,sub-14,272,49,200.0,578.99,0.0,0.0,0.0,9.947481155395508,0.5469456911087036,1.8544922571796023,6.0,4.809109266496803
natview,sub-15_ses-01_rest,sub-15,261,48,200.0,555.94,0.0,0.0,0.0,8.486621856689453,0.76539146900177,1.8084858749144055,9.5,6.6180024716895955
natview,sub-16_ses-01_rest,sub-16,247,42,200.0,526.79,0.0,0.0,0.0,6.137274742126465,0.7322137951850891,1.1339392183608081,6.0,4.7937249931612795
