fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,2960,1953,within_run_block_1,64,16,0,nan,nan,nan,nan,-0.0007328847116701009,0.0,0.0,0.02227555073940797,46.0,0.5,0.0
1,time_ridge,real,2960,1953,within_run_block_1,15,16,0,-0.014514600130496547,-0.00977386999875307,-0.02223049169352349,-0.020217353478074074,-0.013769242454726438,0.00819252432155658,0.044034818228366614,0.05132667000858934,46.0,0.48363456968036145,-0.01921402251786853
1,ridge,real,2960,1953,within_run_block_1,64,16,0,-0.033707529481034726,-0.03487950563430786,-0.026700285840503556,-0.040733419358730316,-0.017725574278061762,0.011776753712237584,0.05734767025089606,0.05629250932533816,47.0,0.4918918132946962,-0.008291541745646865
1,pls,real,2960,1953,within_run_block_1,64,16,8,-0.018591103224025574,-0.015281699132174253,-0.016337509514608432,-0.014234261587262154,-0.040642133194112695,0.008704557091653867,0.05478750640040963,0.05404607868408509,44.0,0.4967244590743478,-0.0019277695462740628
1,cca_shared,real,2960,1953,within_run_block_1,64,16,8,-0.02718452046974562,-0.022149489261209965,-0.01960964455083433,-0.020118800923228264,-1.109605129175427,0.011264720942140297,0.055299539170506916,0.056305585192433984,44.0,0.5029124221877913,0.002853871734894474
1,ridge,shifted_null,2960,1953,within_run_block_1,64,16,0,-5.22878544870764e-05,-0.004306968068704009,-0.009414336635805135,-0.007249778602272272,-0.013365363811661313,0.01228878648233487,0.049667178699436765,0.055552253924140385,46.0,0.48959073627627275,-0.015336865187639293
1,pls,shifted_null,2960,1953,within_run_block_1,64,16,8,-0.00590761931380257,-0.016197011806070805,-0.0036505575552182173,-0.004861206281930208,-0.0315499218644435,0.015360983102918587,0.05069124423963134,0.05856425228234451,46.0,0.4941994159859838,-0.009974594475131179
1,cca_shared,shifted_null,2960,1953,within_run_block_1,64,16,8,-0.009788763127289712,-0.002084811218082905,-0.008566270953932342,-0.005437283311039209,-1.0142221444692736,0.01228878648233487,0.059907834101382486,0.05719521143035596,45.0,0.4954911556187368,-0.003820563511062881
2,train_mean,real,3032,1945,within_run_block_2,64,16,0,nan,nan,nan,nan,-0.001275510031838234,0.0,0.0,0.02236624813321249,46.0,0.5,0.0
2,time_ridge,real,3032,1945,within_run_block_2,15,16,0,-0.0018195867742178962,-0.013529511634260416,-0.02804099916918012,-0.018445365130901337,-0.008540130795988254,0.009254498714652956,0.04884318766066838,0.05312756580793883,47.0,0.48108309683050154,-0.025268694762538946
