fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,3426,1945,within_run_block_1,128,64,0,nan,nan,nan,nan,-0.001382848561451544,0.0,0.0,0.022365793771753278,48.5,0.5,0.0
1,time_ridge,real,3426,1945,within_run_block_1,15,64,0,-0.012316676525188086,-0.01363765960559249,-0.009176771073128698,-0.010133662261068821,-0.004019724841620276,0.008740359897172237,0.049357326478149104,0.052472515747139924,46.0,0.4847742638998615,-0.015170563529582227
1,ridge,real,3426,1945,within_run_block_1,128,64,0,-0.01222229190071289,-0.013425691518932581,-0.0038595136036560095,0.0024985666386783123,-0.0124411347554223,0.012853470437017995,0.061696658097686374,0.059250021164051835,43.0,0.5073934475376299,0.006827746213659019
1,pls,real,3426,1945,within_run_block_1,128,64,16,-0.006266487940592924,-0.006009138887748122,0.006212455410914912,0.008865226991474628,-0.023465607775265962,0.011311053984575836,0.056555269922879174,0.05849139811633106,43.0,0.5083213272293121,0.01067890316060263
1,cca_shared,real,3426,1945,within_run_block_1,128,64,16,-0.009942862325260649,0.0008064794528763741,-0.012245084855697719,-0.010626946575939655,-1.0606789090455,0.013367609254498715,0.0596401028277635,0.059136898705392696,44.0,0.5031704119852636,0.002730383095781634
1,ridge,shifted_null,3426,1945,within_run_block_1,128,64,0,0.004251972959536943,0.006766163045540452,-0.014044549434210424,-0.016671057790517807,-0.013753232925357795,0.007712082262210797,0.04987146529562982,0.053314049507313395,46.0,0.4888853493170198,-0.017240978941828612
1,pls,shifted_null,3426,1945,within_run_block_1,128,64,16,0.004038837627149405,0.0036276212194934487,-0.01090428037442486,-0.01711970753967762,-0.02681256071210547,0.014910025706940874,0.0596401028277635,0.05900223699947016,46.0,0.49314962570678095,-0.009108053265420475
1,cca_shared,shifted_null,3426,1945,within_run_block_1,128,64,16,0.005994170026497159,0.0010902208377956413,0.0035194750305876893,0.001886273268610239,-1.052109330062963,0.008226221079691516,0.05398457583547558,0.05478777969915452,44.0,0.5030393095265596,0.004192116570456054
2,train_mean,real,3426,1929,within_run_block_2,128,64,0,nan,nan,nan,nan,-0.0015387086856473164,0.0,0.0,0.022548195197591814,48.5,0.5,0.0
2,time_ridge,real,3426,1929,within_run_block_2,15,64,0,-0.004273725571692921,-0.006315379869192839,-0.024117745978686465,-0.030623450875282288,-0.01740919474212954,0.00673924313115604,0.04302747537584241,0.04854322718061409,47.0,0.4765014485826957,-0.026201139816842123
