channels,feature_dim,path,run,subject,windows
59,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-01_ses-01_rest.npz,sub-01_ses-01_rest,sub-01,282
60,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-02_ses-01_rest.npz,sub-02_ses-01_rest,sub-02,283
56,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-03_ses-01_rest.npz,sub-03_ses-01_rest,sub-03,280
58,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-04_ses-01_rest.npz,sub-04_ses-01_rest,sub-04,283
58,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-05_ses-01_rest.npz,sub-05_ses-01_rest,sub-05,256
51,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-06_ses-01_rest.npz,sub-06_ses-01_rest,sub-06,280
56,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-07_ses-01_rest.npz,sub-07_ses-01_rest,sub-07,283
60,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-08_ses-01_rest.npz,sub-08_ses-01_rest,sub-08,265
45,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-09_ses-01_rest.npz,sub-09_ses-01_rest,sub-09,234
61,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-10_ses-01_rest.npz,sub-10_ses-01_rest,sub-10,250
60,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-11_ses-01_rest.npz,sub-11_ses-01_rest,sub-11,272
57,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-12_ses-01_rest.npz,sub-12_ses-01_rest,sub-12,271
50,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-13_ses-01_rest.npz,sub-13_ses-01_rest,sub-13,280
61,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-14_ses-01_rest.npz,sub-14_ses-01_rest,sub-14,272
60,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-15_ses-01_rest.npz,sub-15_ses-01_rest,sub-15,261
54,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-16_ses-01_rest.npz,sub-16_ses-01_rest,sub-16,247
55,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-17_ses-01_rest.npz,sub-17_ses-01_rest,sub-17,237
56,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-18_ses-01_rest.npz,sub-18_ses-01_rest,sub-18,281
46,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-19_ses-01_rest.npz,sub-19_ses-01_rest,sub-19,193
58,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-20_ses-01_rest.npz,sub-20_ses-01_rest,sub-20,283
60,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-21_ses-01_rest.npz,sub-21_ses-01_rest,sub-21,235
59,600,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-22_ses-01_rest.npz,sub-22_ses-01_rest,sub-22,283
