fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,0,nan,nan,nan,nan,-0.00017432390418692378,0.0,0.0,0.00772157625038408,136.5,0.5,0.0
1,time_ridge,real,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,15,64,0,0.01867432495510002,0.014514404814690351,0.014975117155121863,0.013083999510854483,0.0005017454961282475,0.006782945736434108,0.025193798449612403,0.028018371363709993,124.0,0.5140832277254861,0.02146730578934813
1,ridge,real,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,0,0.0010708268300732016,-0.0011405442201066762,0.0060508903257809905,0.009802664630115032,-0.00967454447435001,0.0048449612403100775,0.01986434108527132,0.024579159984748543,129.0,0.5014746253647808,0.00419445403572794
1,pls,real,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,16,-0.002699668484638096,-0.00787865393795073,0.009747492226393279,0.006176849361509085,-0.024191643728426193,0.005329457364341085,0.02422480620155039,0.026152112223621238,130.0,0.5001898106215826,0.00902556586475744
1,cca_shared,real,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,16,-0.002750602667219937,-0.0013860648032277822,0.0005647727541309207,0.00967717869207263,-1.5858284713463755,0.0048449612403100775,0.01937984496124031,0.02393721554824688,128.0,0.5002751520986778,-0.001527830589278589
1,ridge,shifted_null,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,0,0.004049804550959379,0.004952804651111364,-0.019218734765926518,-0.022501200437545776,-0.013675254063884035,0.003875968992248062,0.020348837209302327,0.023463146809256284,130.0,0.4953457551135161,-0.005271983549716671
1,pls,shifted_null,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,16,0.0007572725371574052,-0.00011425209231674671,-0.009007647605795336,-0.013428933452814817,-0.027635381240615597,0.0048449612403100775,0.024709302325581394,0.026457489075622447,131.0,0.4998381525205968,-0.00024560914922094055
1,cca_shared,shifted_null,3747,2064,sub-11 sub-17 sub-19 sub-08 sub-18 sub-05 sub-13 sub-06,128,64,16,0.0006200248972163536,-0.0019778989371843636,-0.0006998227605478416,0.004227864323183894,-1.5870529724660591,0.00436046511627907,0.022286821705426358,0.02447396576094642,128.0,0.5002019642162816,-0.0003189572180126148
2,train_mean,real,3882,1929,sub-12 sub-07 sub-03 sub-01 sub-16 sub-02 sub-22,128,64,0,nan,nan,nan,nan,-5.5031128108451455e-05,0.0,0.0,0.007231348474131419,141.5,0.5,0.0
2,time_ridge,real,3882,1929,sub-12 sub-07 sub-03 sub-01 sub-16 sub-02 sub-22,15,64,0,0.010924868588062964,0.004872603341937065,0.02250383562871718,0.01668449304997921,0.0010217340085797444,0.00414722654224987,0.023846552617936754,0.02540140258231392,132.0,0.5253690995781249,0.02302017587024536
2,ridge,real,3882,1929,sub-12 sub-07 sub-03 sub-01 sub-16 sub-02 sub-22,128,64,0,0.0036778467635940615,0.0028708549216389656,0.0036622568035894975,0.005276552867144346,-0.011794687025568518,0.005702436495593572,0.02280974598237429,0.02490804178659118,138.0,0.4980659498696893,-0.001967106267240134
