fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,3897,1914,within_run_random_1,128,64,0,nan,nan,nan,nan,-0.0014228615668490097,0.0,0.0,0.022725124506505014,45.5,0.5,0.0
1,time_ridge,real,3897,1914,within_run_random_1,15,64,0,0.016366478072086466,0.016383010894060135,0.02354331285689718,0.017388738691806793,-0.00027973825642679806,0.018808777429467086,0.06739811912225706,0.06747856421284124,42.0,0.5183443148266635,0.02410798325008975
1,ridge,real,3897,1914,within_run_random_1,128,64,0,0.017017309271295744,0.020735543221235275,0.016744712278517662,0.015473400242626667,-0.0055208490252818265,0.015151515151515152,0.07784743991640543,0.06812854019150763,41.0,0.5302783248884867,0.03118740624617893
1,pls,real,3897,1914,within_run_random_1,128,64,16,0.01594176760022492,0.017722707241773605,0.009878822228026576,0.00566114904358983,-0.017409912289971574,0.01619644723092999,0.0741901776384535,0.06773975259585104,42.0,0.5177476414235577,0.01719992662291171
1,cca_shared,real,3897,1914,within_run_random_1,128,64,16,0.03122434482065728,0.029751076363027096,0.02775918668286507,0.02751797530800104,-0.9456039860292262,0.02089864158829676,0.08307210031347963,0.07448010868852854,39.0,0.5413547248091523,0.038594164603794744
1,ridge,shifted_null,3897,1914,within_run_random_1,128,64,0,0.0009743307778080634,0.00360602920409292,-0.0026756471887757084,-0.005424379371106625,-0.009103578476230334,0.012016718913270637,0.05851619644723093,0.05736005832371052,45.0,0.49318480724134506,-0.0065231849045416825
1,pls,shifted_null,3897,1914,within_run_random_1,128,64,16,0.003245582994168217,0.004725846345536411,-0.004420109074322689,-0.009950734674930573,-0.020270999480619833,0.013584117032392894,0.05590386624869383,0.05869691806282561,45.5,0.4934129439638166,-0.005622210055882961
1,cca_shared,shifted_null,3897,1914,within_run_random_1,128,64,16,0.003786361456150189,0.0071362468879669905,0.005477626129582572,0.006921372143551707,-1.0007738761726679,0.009926854754440962,0.06269592476489028,0.05821537343838303,44.0,0.5016229055911821,0.0022879989003317513
2,train_mean,real,3897,1914,within_run_random_2,128,64,0,nan,nan,nan,nan,-0.0006646034766382147,0.0,0.0,0.022725124506505014,45.5,0.5,0.0
2,time_ridge,real,3897,1914,within_run_random_2,15,64,0,0.018659456378372852,0.019784262403845787,0.016762416604854013,0.018088419921696186,-0.0001736385580719535,0.012539184952978056,0.0741901776384535,0.0653962077658017,42.0,0.5180544997740885,0.021125046224358734
2,ridge,real,3897,1914,within_run_random_2,128,64,0,0.024741920038650278,0.023522558622062206,0.02587289569599795,0.022786149755120277,-0.0034003585749962095,0.02037617554858934,0.08098223615464994,0.07550288702415382,39.0,0.5375296101635474,0.03474790675609452
2,pls,real,3897,1914,within_run_random_2,128,64,16,0.025806585888858535,0.02620844356715679,0.029982009071084528,0.03063212614506483,-0.009747833593601651,0.015151515151515152,0.07889237199582028,0.06846014238762135,40.0,0.53131539381891,0.03293480305053186
2,cca_shared,real,3897,1914,within_run_random_2,128,64,16,0.050245124628418125,0.05418265052139759,0.0441452827058466,0.04021894745528698,-0.9334592878665797,0.018808777429467086,0.08672936259143156,0.07538367768244496,38.0,0.5580773382744589,0.05374246306474233
2,ridge,shifted_null,3897,1914,within_run_random_2,128,64,0,0.0033183733305577334,0.0026184733724221587,0.009170384689149288,0.008241990115493536,-0.007893730169471924,0.009926854754440962,0.05642633228840126,0.056667770955088966,44.0,0.4974899500927179,-0.0017510073238574076
2,pls,shifted_null,3897,1914,within_run_random_2,128,64,16,0.0031956420380083728,0.000937703502131626,-0.0018206537231209793,-0.01211215415969491,-0.021614209245077953,0.01044932079414838,0.05329153605015674,0.055522974452578526,46.0,0.4905037992313434,-0.007601454471652684
2,cca_shared,shifted_null,3897,1914,within_run_random_2,128,64,16,0.00820587589078059,0.006031822878867388,0.010631412610422835,0.013464022893458605,-1.0070690400737434,0.012539184952978056,0.06165099268547544,0.05980880051135296,43.0,0.5061522767633595,0.006121571997869996
3,train_mean,real,3897,1914,within_run_random_3,128,64,0,nan,nan,nan,nan,-0.001016386080314291,0.0,0.0,0.022725124506505014,45.5,0.5,0.0
3,time_ridge,real,3897,1914,within_run_random_3,15,64,0,0.016971527840496492,0.016537201590836048,0.02682404875761514,0.031216287054121494,0.0002649618626475725,0.017763845350052248,0.08411703239289446,0.0717431666731541,39.0,0.5366517524002231,0.03127601595704404
3,ridge,real,3897,1914,within_run_random_3,128,64,0,0.020140776163316332,0.023009805008769035,0.02137040757340459,0.02410357166081667,-0.004479380439104785,0.01567398119122257,0.07628004179728318,0.06945837729945589,39.0,0.5367297722627296,0.03465513323489018
3,pls,real,3897,1914,within_run_random_3,128,64,16,0.021124981893080985,0.02123241312801838,0.029904757871745298,0.03247968666255474,-0.01026927368806696,0.014106583072100314,0.07262277951933124,0.06701132415611703,39.0,0.5378476423095729,0.03512155905539977
3,cca_shared,real,3897,1914,within_run_random_3,128,64,16,0.04058455473568756,0.03147371206432581,0.03615725016150667,0.0394783616065979,-0.9273728267154697,0.014106583072100314,0.08254963427377221,0.07084952087272513,38.0,0.5508384841006602,0.04899800465114821
3,ridge,shifted_null,3897,1914,within_run_random_3,128,64,0,0.0007016372092039092,0.0029154912335798144,0.011147056554557023,0.011893633287400007,-0.008104783076294808,0.0109717868338558,0.06060606060606061,0.05883597189413971,44.0,0.5043420740695016,0.002762327792821126
3,pls,shifted_null,3897,1914,within_run_random_3,128,64,16,-0.0022375495873347973,0.0005010759632568806,0.008867433704844557,0.0011146508622914553,-0.021424549345620436,0.009404388714733543,0.05851619644723093,0.05692534550297975,45.0,0.4984356137260366,0.00378791643807728
