fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,11633,6485,within_run_block_1,64,16,0,nan,nan,nan,nan,-0.00048643226400590933,0.0,0.0,0.006455576321641577,156.5,0.5,0.0
1,time_ridge,real,11633,6485,within_run_block_1,15,16,0,-0.02291414127103053,-0.02070901170372963,-0.010682412254429771,-0.016790270805358887,-0.000927427222875421,0.0026214340786430224,0.014494988434849653,0.01933214216672149,158.0,0.4892690854377993,-0.009527384141553399
1,ridge,real,11633,6485,within_run_block_1,64,16,0,0.0027342417524778284,0.001052520179655403,0.02774503925309464,0.027331024408340454,0.0014958756305029075,0.0038550501156515036,0.019121048573631456,0.023105226000465738,148.0,0.5151466104943876,0.029599040083381233
1,pls,real,11633,6485,within_run_block_1,64,16,8,0.005274783916178194,0.004460346258156278,0.02764897786289568,0.023596281185746193,0.00042460378248088126,0.0041634541249036235,0.01927525057825752,0.02267607734010113,148.0,0.5131966139429118,0.02828385962759164
1,cca_shared,real,11633,6485,within_run_block_1,64,16,8,0.00867980983457528,0.0026546187000349164,0.01084789311373373,0.012930094264447689,-0.9290261267037283,0.0035466461063993833,0.016653816499614494,0.021432538506981017,151.0,0.5092086215281404,0.012275601449907036
1,ridge,shifted_null,11633,6485,within_run_block_1,64,16,0,0.001377313423290616,1.1794938473030925e-05,0.004740310559705061,0.0005688831442967057,-0.005408847161560537,0.004317656129529684,0.015882806476484195,0.02098500951596618,155.0,0.499812602674507,0.001540781755522581
1,pls,shifted_null,11633,6485,within_run_block_1,64,16,8,-0.00023959477039170451,0.001231908769113943,0.0007510706815259523,-0.009636624716222286,-0.008181728008434641,0.002313030069390902,0.016037008481110254,0.02023427024592714,158.0,0.49729754326515135,-0.0016882599080561406
1,cca_shared,shifted_null,11633,6485,within_run_block_1,64,16,8,0.0010788961662910879,0.0036730559077113867,-0.00035393338556174883,-0.0006380525301210582,-0.9150930970996489,0.003238242097147263,0.017270624518118737,0.021043303991527425,154.0,0.5009607236359643,0.0008668283554859357
2,train_mean,real,11552,6486,within_run_block_2,64,16,0,nan,nan,nan,nan,-0.0005390370535598432,0.0,0.0,0.0064545843162476715,156.5,0.5,0.0
2,time_ridge,real,11552,6486,within_run_block_2,15,16,0,-0.02234000804310199,-0.025495992973446846,-0.030519226070130454,-0.03658742643892765,-0.0012555348654934573,0.002466851680542707,0.015263644773358002,0.01849633050680773,167.0,0.473367344366396,-0.03280311683947533
