channels,dataset,feature_dim,path,run,subject,target_dim,target_kind,windows
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-01,100,schaefer100,925
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-02,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-03,100,schaefer100,928
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-04,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-05,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-06,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-07,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-08,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-09,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-10,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-11,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-12,100,schaefer100,929
31,Affective_music_listening_OpenNeuro_ds002725,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun,sub-13,100,schaefer100,929
