dataset,split,method,mode,latent_r,rank_pct,diag_off,top5,n_train,n_test
sleep,subject_y32,ridge,real,-0.002071237383916,0.49999730400086273,0.002078764099676567,0.0171465545131025,6182.0,3091.0
sleep,subject_y32,ridge,shifted_null,-0.00019149086589699245,0.49729899400717903,-0.003153457113461667,0.015528955030734334,6182.0,3091.0
sleep,subject_y32,pls,real,-0.0010240882420475001,0.5006027483785492,0.0028450188568596335,0.017254394478593702,6182.0,3091.0
sleep,subject_y32,pls,shifted_null,-0.0011190171506474667,0.4979685646500593,-0.0023623519769519334,0.016499514720155234,6182.0,3091.0
sleep,subject_y32,cca_shared,real,-0.0014391615878063,0.5010248648149004,0.0006520702209753333,0.017793594306049765,6182.0,3091.0
sleep,subject_y32,cca_shared,shifted_null,-0.0011036627891674333,0.49996225601207805,4.927510579789991e-05,0.017470074409576136,6182.0,3091.0
sleep,subject_y32,time_ridge,real,0.008907225904598167,0.5092938793116729,0.010690014300564267,0.017793594306049768,6182.0,3091.0
sleep,random_y32,ridge,real,-0.049067379101567575,0.4995596450715665,-0.0010246872445328666,0.05235147170631036,6204.0,3069.0
sleep,random_y32,ridge,shifted_null,-0.003016619749928367,0.49891505045782747,-0.0009173984781911667,0.05322037580102094,6204.0,3069.0
sleep,random_y32,pls,real,-0.019068542721925003,0.49758040904604717,-0.0009777274125033332,0.05093950255240573,6204.0,3069.0
sleep,random_y32,pls,shifted_null,-0.0007920924141065666,0.5051839101628723,0.0049874982445915665,0.053763440860215,6204.0,3069.0
sleep,random_y32,cca_shared,real,-0.028050266215965697,0.48995211582869364,-0.009381437798888467,0.05332898881285974,6204.0,3069.0
sleep,random_y32,cca_shared,shifted_null,-0.0015520406001693335,0.49945752522891373,-0.0011886218080200334,0.0495275333985011,6204.0,3069.0
sleep,random_y32,time_ridge,real,-0.008743913003854633,0.5038652065300032,0.008554692982070934,0.05224285869447157,6204.0,3069.0
sleep,block_y32,ridge,real,-0.02926332123994747,0.4990032380787975,1.0288766817599949e-05,0.05736602183303866,5455.666666666667,3102.6666666666665
sleep,block_y32,ridge,shifted_null,0.0026747893045164332,0.5009268812122766,0.001012085107203281,0.0522244902273015,5455.666666666667,3102.6666666666665
sleep,block_y32,pls,real,-0.014930360560811033,0.4988890507381021,-0.0007151797637252002,0.052867678320929,5455.666666666667,3102.6666666666665
sleep,block_y32,pls,shifted_null,0.0012561558487505,0.5005904353258832,-0.00012945010503276634,0.04997941114632957,5455.666666666667,3102.6666666666665
sleep,block_y32,cca_shared,real,-0.021188730935439968,0.498043568796406,-0.0019470441058299333,0.05198899316149367,5455.666666666667,3102.6666666666665
sleep,block_y32,cca_shared,shifted_null,0.0027165251328066663,0.4997118265361708,0.0004707934739508332,0.053612139246645735,5455.666666666667,3102.6666666666665
sleep,block_y32,time_ridge,real,-0.0080634335069286,0.5006539418643186,-0.0010665986053071997,0.05146111140203207,5455.666666666667,3102.6666666666665
sleep,block_y16x64,ridge,real,-0.0279925437838149,0.4991465353760169,-0.0005454232794163668,0.05703887635442937,5455.666666666667,3102.6666666666665
sleep,block_y16x64,ridge,shifted_null,0.004004293112908866,0.5012820858049841,0.0010137071737393,0.053187048138757735,5455.666666666667,3102.6666666666665
sleep,block_y16x64,pls,real,-0.020530361947142667,0.49862975092234135,-0.0029949611767950534,0.0543600192505957,5455.666666666667,3102.6666666666665
sleep,block_y16x64,pls,shifted_null,0.004349651836188633,0.5009591475183065,0.0010242164431410667,0.054586816276369375,5455.666666666667,3102.6666666666665
sleep,block_y16x64,cca_shared,real,-0.028535211805774396,0.4986980031834701,-0.0011855313019764667,0.05447242119639673,5455.666666666667,3102.6666666666665
sleep,block_y16x64,cca_shared,shifted_null,0.0044836968008894335,0.5006498987424904,0.0011357010860205666,0.05509143667879137,5455.666666666667,3102.6666666666665
sleep,block_y16x64,time_ridge,real,-0.0071410824202757335,0.5016034637890698,-8.753176366086667e-05,0.05059739724898743,5455.666666666667,3102.6666666666665
affective,subject_y32,ridge,real,0.0023268921054674665,0.5101150828784854,0.017069550181834432,0.005690841765296634,13004.0,6502.0
affective,subject_y32,ridge,shifted_null,0.0010530711623081002,0.4987633519305997,-0.002586953507723167,0.004511512104964034,13004.0,6502.0
affective,subject_y32,pls,real,0.0023315626849721998,0.5125651270370406,0.0187869543259876,0.006716183274482733,13004.0,6502.0
affective,subject_y32,pls,shifted_null,0.0009561865327138,0.49852212117489075,-0.0035332819488400665,0.0049727193947839326,13004.0,6502.0
affective,subject_y32,cca_shared,real,0.0038086407851854044,0.5052923842585147,0.004863238376453833,0.006254266143769433,13004.0,6502.0
affective,subject_y32,cca_shared,shifted_null,0.0015067972009697999,0.5016338557120607,0.0016869656998828666,0.005178147349340499,13004.0,6502.0
affective,subject_y32,time_ridge,real,0.0010845881440483,0.5026840325488345,0.0032514852085088,0.005998250194874933,13004.0,6502.0
affective,random_y32,ridge,real,0.027887251614022963,0.5363947404741616,0.0555200420010949,0.0242085661080074,13062.0,6444.0
affective,random_y32,ridge,shifted_null,0.0011421122297482,0.4987573993682557,-0.0028033909699656336,0.016397682598799868,13062.0,6444.0
affective,random_y32,pls,real,0.029994109674589636,0.535208702815797,0.05408468614860517,0.021466997723980936,13062.0,6444.0
affective,random_y32,pls,shifted_null,0.0009230767953643668,0.4998081248009363,-0.0015121478727918,0.0178460583488516,13062.0,6444.0
affective,random_y32,cca_shared,real,0.044186943454405936,0.5507622465042707,0.04586383119094393,0.026174218911649033,13062.0,6444.0
affective,random_y32,cca_shared,shifted_null,0.0017731232342157333,0.500167045845067,0.0009384140514084975,0.0162942271880819,13062.0,6444.0
affective,random_y32,time_ridge,real,-0.03542418597498903,0.4694644816995588,-0.035441452770268334,0.012362921580798632,13062.0,6444.0
affective,block_y32,ridge,real,0.0013229186539926,0.5151472966049964,0.024958034921884933,0.0180625920751605,11551.666666666666,6497.0
affective,block_y32,ridge,shifted_null,0.0013692565386615272,0.4989226477175624,-0.0017791307486300669,0.01621325586524933,11551.666666666666,6497.0
affective,block_y32,pls,real,0.0031964680789542,0.5151164523561939,0.0232639765595537,0.0191394990184591,11551.666666666666,6497.0
affective,block_y32,pls,shifted_null,0.0007268237546517001,0.5004200089983034,0.0011207811908506,0.0166250447580398,11551.666666666666,6497.0
affective,block_y32,cca_shared,real,0.004867674995542332,0.5079688884721408,0.0074597475072832,0.017443048592924334,11551.666666666666,6497.0
affective,block_y32,cca_shared,shifted_null,3.6605112351666625e-05,0.5009146698200757,0.0006173393055259663,0.01611166917225823,11551.666666666666,6497.0
affective,block_y32,time_ridge,real,-0.026326453912285264,0.4780049773127564,-0.022158249595313168,0.012113588727965833,11551.666666666666,6497.0
affective,block_y16x64,ridge,real,0.005563023889408166,0.5134258713352534,0.025816852540123236,0.018725834132890067,11551.666666666666,6497.0
affective,block_y16x64,ridge,shifted_null,0.0004295044867224877,0.4993755800379371,-0.0023034386367751336,0.015030750169298267,11551.666666666666,6497.0
affective,block_y16x64,pls,real,0.007288972122552134,0.5121655431132429,0.025480193116815698,0.018568447840099898,11551.666666666666,6497.0
affective,block_y16x64,pls,shifted_null,4.5673874410566646e-05,0.4981408032222621,-0.003968725357671734,0.0160572729662133,11551.666666666666,6497.0
affective,block_y16x64,cca_shared,real,0.011722423630999332,0.5128934475943355,0.016724663685425033,0.01739030000500973,11551.666666666666,6497.0
affective,block_y16x64,cca_shared,shifted_null,-0.0009260122800090666,0.4982972220829922,-0.002396690274006967,0.0155452849244578,11551.666666666666,6497.0
affective,block_y16x64,time_ridge,real,-0.0247984769957838,0.4821502138307964,-0.0210627776620906,0.013191528042817667,11551.666666666666,6497.0
affective,block_y8x64,ridge,real,0.0049889598267327,0.5110946373997032,0.025175607663054433,0.018727781449445036,11551.666666666666,6497.0
affective,block_y8x64,ridge,shifted_null,8.110005243603341e-05,0.49864696646962425,-0.0030587720917403666,0.015544764776249201,11551.666666666666,6497.0
affective,block_y8x64,pls,real,0.001958410690955733,0.5098920572119837,0.0238226501691739,0.017805344509740865,11551.666666666666,6497.0
affective,block_y8x64,pls,shifted_null,-0.0005060370870826667,0.4975363758229303,-0.004961317665211034,0.016315348303130167,11551.666666666666,6497.0
