fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,5439,3098,within_run_block_1,64,16,0,nan,nan,nan,nan,-0.00013112911748280887,0.0,0.0,0.02107926112771274,48.5,0.5,0.0
1,time_ridge,real,5439,3098,within_run_block_1,15,16,0,-0.0014757760909560602,0.002953930670628324,0.0005430935075729929,-0.0048502994468435645,-0.000850172782566716,0.011297611362169141,0.052614590058102,0.054141205301668424,48.0,0.5013963708643638,0.0020650796279074526
1,ridge,real,5439,3098,within_run_block_1,64,16,0,-0.025426386680919677,-0.02693980745971203,-0.021270244273539456,-0.01692928560078144,-0.0028908839265575637,0.010974822466107165,0.05551969012265978,0.05451388490203884,47.0,0.4977305546717901,-0.00042593085515045705
1,pls,real,5439,3098,within_run_block_1,64,16,8,-0.0171178571836208,-0.0173154529184103,-0.01862760249383754,-0.014807567000389099,-0.006073444620524837,0.014525500322788897,0.05358295674628793,0.057466533511260305,48.0,0.5008048100178848,0.00022171736951270295
1,cca_shared,real,5439,3098,within_run_block_1,64,16,8,-0.02369221016897427,-0.02260603103786707,-0.02078657869299084,-0.020362908951938152,-0.584149197768203,0.009038089089735314,0.056488056810845705,0.05486872353194417,47.0,0.5042643270392073,0.006275038688140032
1,ridge,shifted_null,5439,3098,within_run_block_1,64,16,0,0.011257705045863986,0.00824299780651927,0.042293871001622296,0.05386608652770519,-0.001598749005414124,0.010329244673983214,0.05455132343447385,0.05475704286983349,47.0,0.5003701647304482,0.00019099175705254544
1,pls,shifted_null,5439,3098,within_run_block_1,64,16,8,0.011513041506987065,0.009760245680809021,0.03165020339538017,0.0419496726244688,-0.005017456136169995,0.011620400258231117,0.0551969012265978,0.05583353917879142,48.0,0.4988298130295514,-0.002938180874703947
1,cca_shared,shifted_null,5439,3098,within_run_block_1,64,16,8,0.011917941854335368,0.020895102061331272,0.0019061087455558864,-0.002824219409376383,-0.6093321411817032,0.011297611362169141,0.0539057456423499,0.0541176030941698,48.0,0.4953856632307926,-0.003412621362745829
2,train_mean,real,5493,3084,within_run_block_2,64,16,0,nan,nan,nan,nan,-0.0002741935584473776,0.0,0.0,0.021173911686968774,48.5,0.5,0.0
2,time_ridge,real,5493,3084,within_run_block_2,15,16,0,-0.00798869085701881,-0.012570235878229141,0.013769577694997957,0.016355440951883793,-0.00014651516578534363,0.00940337224383917,0.04831387808041505,0.053191637674808265,46.0,0.5095503726596292,0.012981138286774049
2,ridge,real,5493,3084,within_run_block_2,64,16,0,-0.027020336012355983,-0.024338814429938793,-0.01723927741924698,-0.008300860412418842,-0.006558378091460648,0.011024643320363165,0.05609597924773022,0.05613707933738384,47.0,0.5035074531925853,0.005774249106181916
2,pls,real,5493,3084,within_run_block_2,64,16,8,-0.02010924497335509,-0.014468590263277292,-0.018628876707971097,-0.0056579564698040485,-0.012346444434326198,0.010376134889753566,0.054474708171206226,0.05456335657971809,46.0,0.5013356481050522,1.807384181604088e-05
2,cca_shared,real,5493,3084,within_run_block_2,64,16,8,-0.02806506518390961,-0.026777970138937235,-0.014946071694291706,-0.01701139472424984,-1.0795285403975385,0.009727626459143969,0.05382619974059663,0.05395873902175853,47.0,0.4969359528109272,-0.0034741336706723405
2,ridge,shifted_null,5493,3084,within_run_block_2,64,16,0,-0.0004657633471651934,-0.0030983895994722843,0.013944273663615302,0.03642278164625168,-0.003829291431700854,0.007782101167315175,0.05382619974059663,0.0526012152710952,47.0,0.5017500612824952,0.001843245006844537
2,pls,shifted_null,5493,3084,within_run_block_2,64,16,8,-0.0023144890074036084,-0.0009426352626178414,0.01931479729732922,0.02241594437509775,-0.009879513262772255,0.0074578469520103765,0.05642023346303502,0.05298344140485195,46.0,0.5018431292238378,0.006671998614259135
2,cca_shared,shifted_null,5493,3084,within_run_block_2,64,16,8,-0.004839081870159134,-0.0058023103047162294,0.008164177011249914,0.010851894039660692,-1.0240064569352474,0.010051880674448769,0.05090791180285344,0.05371614427493814,47.0,0.5031477482173775,0.0018261895724051263
3,train_mean,real,5435,3126,within_run_block_3,64,16,0,nan,nan,nan,nan,-0.0002025433756014383,0.0,0.0,0.02089250340234768,48.5,0.5,0.0
3,time_ridge,real,5435,3126,within_run_block_3,15,16,0,-0.011958780312852468,-0.008470796747133136,-0.01779698492540255,-0.006336362333968282,-0.001077150407540417,0.010236724248240563,0.0508637236084453,0.052581537602049595,48.0,0.49386364784321646,-0.015308813205664079
3,ridge,real,5435,3126,within_run_block_3,64,16,0,-0.03153090865816921,-0.02700225915759802,-0.04333800448906249,-0.06279030442237854,-0.007019597501229047,0.011516314779270634,0.05950095969289827,0.05507300114044083,48.0,0.49620159826367527,-0.006984588089280693
3,pls,real,5435,3126,within_run_block_3,64,16,8,-0.02436398368445225,-0.02890431135892868,-0.033239134786549544,-0.05451035872101784,-0.015570372385903752,0.009277031349968011,0.05502239283429303,0.05300223627939908,49.0,0.49374879464408716,-0.009224674741713998
3,cca_shared,real,5435,3126,within_run_block_3,64,16,8,-0.033848360064439476,-0.03043294046074152,-0.03830945558245914,-0.04575031250715256,-1.2593757980425182,0.009596928982725527,0.053103007037747924,0.052606268517651496,49.0,0.49489372970027584,-0.006357498923397145
3,ridge,shifted_null,5435,3126,within_run_block_3,64,16,0,0.0012209376400278416,0.005163983907550573,0.028541511817544902,0.02934845630079508,-0.0033549321971753088,0.01055662188099808,0.05118362124120281,0.05421571891238253,48.0,0.5017260314020089,0.0010068847573209377
3,pls,shifted_null,5435,3126,within_run_block_3,64,16,8,0.003850403008982539,0.01103838486596942,0.017956391601278883,0.0165272643789649,-0.009304095272786528,0.008317338451695458,0.052143314139475365,0.05219808089715621,48.0,0.5022045003015303,-0.000661168410132003
3,cca_shared,shifted_null,5435,3126,within_run_block_3,64,16,8,0.006372230418492109,0.008519392227753997,-0.004930715259152729,-0.00806649075821042,-1.015083718280668,0.007357645553422905,0.060460652591170824,0.05416067378156231,48.0,0.5034162847793012,0.0049935350484024525
