channels,dataset,feature_dim,path,run,subject,target_dim,target_kind,windows
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-01_ses-nosession_rest_rest_run-1.npz,sub-01_ses-nosession_rest_rest_run-1,sub-01,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-02_ses-nosession_rest_rest_run-1.npz,sub-02_ses-nosession_rest_rest_run-1,sub-02,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-03_ses-nosession_rest_rest_run-1.npz,sub-03_ses-nosession_rest_rest_run-1,sub-03,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-04_ses-nosession_rest_rest_run-1.npz,sub-04_ses-nosession_rest_rest_run-1,sub-04,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-05_ses-nosession_rest_rest_run-1.npz,sub-05_ses-nosession_rest_rest_run-1,sub-05,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-06_ses-nosession_rest_rest_run-1.npz,sub-06_ses-nosession_rest_rest_run-1,sub-06,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-07_ses-nosession_rest_rest_run-1.npz,sub-07_ses-nosession_rest_rest_run-1,sub-07,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-08_ses-nosession_rest_rest_run-1.npz,sub-08_ses-nosession_rest_rest_run-1,sub-08,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-09_ses-nosession_rest_rest_run-1.npz,sub-09_ses-nosession_rest_rest_run-1,sub-09,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-10_ses-nosession_rest_rest_run-1.npz,sub-10_ses-nosession_rest_rest_run-1,sub-10,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-11_ses-nosession_rest_rest_run-1.npz,sub-11_ses-nosession_rest_rest_run-1,sub-11,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-12_ses-nosession_rest_rest_run-1.npz,sub-12_ses-nosession_rest_rest_run-1,sub-12,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-13_ses-nosession_rest_rest_run-1.npz,sub-13_ses-nosession_rest_rest_run-1,sub-13,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-14_ses-nosession_rest_rest_run-1.npz,sub-14_ses-nosession_rest_rest_run-1,sub-14,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-15_ses-nosession_rest_rest_run-1.npz,sub-15_ses-nosession_rest_rest_run-1,sub-15,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-16_ses-nosession_rest_rest_run-1.npz,sub-16_ses-nosession_rest_rest_run-1,sub-16,100,schaefer100,281
30,Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,600,data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-17_ses-nosession_rest_rest_run-1.npz,sub-17_ses-nosession_rest_rest_run-1,sub-17,100,schaefer100,281
