fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,6204,3069,within_run_random_1,128,32,0,nan,nan,nan,nan,-0.0003430094867324929,0.0,0.0,0.02127659574468085,47.0,0.5,0.0
1,time_ridge,real,6204,3069,within_run_random_1,15,32,0,-0.006103004820033675,-0.01038479944691062,0.007886109978934545,0.006737506482750177,-0.00021923168105209,0.013685239491691105,0.05408927989573151,0.056267073069050086,46.0,0.5027483814300084,0.011209208947566773
1,ridge,real,6204,3069,within_run_random_1,128,32,0,-0.052527936873957515,-0.055436549708247185,-0.05819135487779326,-0.06796512007713318,-0.006009356710017233,0.009123492994460736,0.05083088954056696,0.053938360664793024,47.0,0.5015884652981427,0.0009626686609657488
1,pls,real,6204,3069,within_run_random_1,128,32,16,-0.023495298852594715,-0.02314725238829851,-0.031157511650837574,-0.03825294226408005,-0.013432456681670812,0.008797653958944282,0.04626914304333659,0.052193552089933315,47.0,0.49756860328389085,0.00033892604792919607
1,cca_shared,real,6204,3069,within_run_random_1,128,32,16,-0.03535285727411974,-0.02703623380511999,-0.05343690449580896,-0.05406837537884712,-0.9497035318116294,0.010426849136526556,0.05539263603779733,0.05434974831959854,48.0,0.48795458087183186,-0.011421405346651342
1,ridge,shifted_null,6204,3069,within_run_random_1,128,32,0,-0.001599491537490394,-0.0018725768604781479,0.02520885760249156,0.025919871404767036,-0.002203467964185135,0.011404366243075921,0.050505050505050504,0.05389641286761784,47.0,0.49522220805530764,-0.005946681544022429
1,pls,shifted_null,6204,3069,within_run_random_1,128,32,16,-0.0004908839080144389,-0.0014881149254506454,0.020481019414070375,0.02356288954615593,-0.010710460072067773,0.011078527207559466,0.06093189964157706,0.056983383084623494,47.0,0.5056030147194243,0.004433496002840897
1,cca_shared,shifted_null,6204,3069,within_run_random_1,128,32,16,-0.001074606756446883,-0.0006477299612015486,0.0005870449967701821,-0.00267327600158751,-0.8912306128277467,0.005539263603779733,0.05148256761159987,0.05128480602996702,47.0,0.5008482440109369,0.0022262259654324715
2,train_mean,real,6204,3069,within_run_random_2,128,32,0,nan,nan,nan,nan,-0.0009058930025722667,0.0,0.0,0.02127659574468085,47.0,0.5,0.0
2,time_ridge,real,6204,3069,within_run_random_2,15,32,0,-0.009173581336654024,-0.018097195774316788,0.012828945667500759,0.01584257371723652,-0.0006993134320105732,0.006842619745845552,0.050505050505050504,0.050808873166870626,46.0,0.5059926048705852,0.010516385942119953
2,ridge,real,6204,3069,within_run_random_2,128,32,0,-0.044274689425947145,-0.04045705683529377,-0.05648862410175766,-0.06742258369922638,-0.006392952107482586,0.009775171065493646,0.05148256761159987,0.05309193469505008,47.0,0.49849653618938333,-0.002403348695917336
2,pls,real,6204,3069,within_run_random_2,128,32,16,-0.01469600329437526,-0.015596659854054451,-0.028210722567002935,-0.035720907151699066,-0.014079105813922466,0.009449332029977192,0.05474095796676442,0.054197803807488905,47.0,0.4957322169804638,-0.0030905926220875044
2,cca_shared,real,6204,3069,within_run_random_2,128,32,16,-0.02101041939749848,-0.027172024361789227,-0.03958942487359365,-0.04065851494669914,-0.9905504320157132,0.014336917562724014,0.05474095796676442,0.05725283899230208,47.0,0.496373269865556,-0.0032474237135068154
2,ridge,shifted_null,6204,3069,within_run_random_2,128,32,0,-0.008941434649273106,-0.008672636235132813,0.030353726669190843,0.03914808854460716,-0.003970418884474913,0.011730205278592375,0.053763440860215055,0.05516377524008931,47.0,0.4984947653250599,-0.0014485345479458684
2,pls,shifted_null,6204,3069,within_run_random_2,128,32,16,-0.005235730859567411,-0.004181557102128863,0.017042865036416565,0.028623221442103386,-0.015075812904097319,0.010752688172043012,0.04855001629195178,0.054334670187373986,47.0,0.499741453808775,-0.0014231061896697215
2,cca_shared,shifted_null,6204,3069,within_run_random_2,128,32,16,-0.007232269777887268,-0.006426174310036004,-0.01206264467524157,-0.009567838162183762,-0.9992180434511688,0.009123492994460736,0.048224177256435324,0.05221692699803709,47.0,0.4963201439358522,-0.006005102342108932
3,train_mean,real,6204,3069,within_run_random_3,128,32,0,nan,nan,nan,nan,-0.0006353759467960796,0.0,0.0,0.02127659574468085,47.0,0.5,0.0
3,time_ridge,real,6204,3069,within_run_random_3,15,32,0,-0.01095515285487636,-0.01120891747996211,0.004049832793478498,0.010119384154677391,-0.0010298814445723892,0.012056044314108831,0.05213424568263278,0.056385244571597146,47.0,0.5028546332894159,0.003938484056526298
3,ridge,real,6204,3069,within_run_random_3,128,32,0,-0.050399511004798114,-0.04613412357866764,-0.06360209803565418,-0.08595523238182068,-0.006607337435915683,0.010752688172043012,0.05474095796676442,0.05445582751332931,47.0,0.4985939337271736,-0.0016333816986470425
3,pls,real,6204,3069,within_run_random_3,128,32,16,-0.01901432601880515,-0.016484929248690605,-0.030524702498465218,-0.043286342173814774,-0.014151367844207119,0.010752688172043012,0.05180840664711633,0.05414953555484521,47.0,0.4994404068737869,-0.00018151566335169306
3,cca_shared,real,6204,3069,within_run_random_3,128,32,16,-0.027787521976279095,-0.03207294177263975,-0.048194499303316395,-0.054736632853746414,-1.0369191979445498,0.014336917562724014,0.04985337243401759,0.05469971141174333,49.0,0.48552849674869314,-0.013475484336507389
3,ridge,shifted_null,6204,3069,within_run_random_3,128,32,0,0.0014910669369783136,0.0016949315904639661,0.032633986105276326,0.028287164866924286,-0.0011471111688101665,0.009449332029977192,0.05539263603779733,0.054153577909946286,47.0,0.5030281779931148,0.004643020657394751
3,pls,shifted_null,6204,3069,within_run_random_3,128,32,16,0.003350337525262148,0.005141260335221887,0.028032559981760373,0.03551013022661209,-0.008883242629123878,0.007820136852394917,0.05180840664711633,0.05341840625093143,45.0,0.5102072619604175,0.011952104920603699
3,cca_shared,shifted_null,6204,3069,within_run_random_3,128,32,16,0.0036507547338260338,-0.0005097483517602086,-0.0015143981847587883,0.0033462923020124435,-0.997143373420111,0.009123492994460736,0.04887585532746823,0.052906210809485786,47.0,0.5012041877399521,0.0002130109526164342
