fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,0,nan,nan,nan,nan,-5.303967426595335e-06,0.0,0.0,0.007092198581560282,141.0,0.5,0.0
1,time_ridge,real,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,15,32,0,0.002804399424348958,-0.0010405502398498356,-0.00873764447291782,-0.005070425570011139,-0.0005666994530431069,0.0042057586541572305,0.016823034616628922,0.0219129774072226,141.0,0.49930732079308593,-0.008485298659928338
1,ridge,real,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,0,0.0008707668198439933,0.0013459284673444927,0.007889788621100076,0.011935927905142307,-0.0009781694594019896,0.004852798447104497,0.016175994823681657,0.022782492790463,139.0,0.5027510745482275,0.005943580857680664
1,pls,real,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,16,-0.00034034281361527974,0.0002935105003416538,0.004107743391476351,0.013924467377364635,-0.04268350106639218,0.003235198964736331,0.017470074409576188,0.021640620209139646,140.0,0.5011473402042798,0.004068184206901543
1,cca_shared,real,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,16,-0.0011222723296668846,0.0008405953121837229,0.003230315710467867,0.01162222120910883,-2.3376572001792524,0.0029116790682626984,0.019411193788417987,0.021896023813833546,139.0,0.5000288857050423,-0.0008655985198201345
1,ridge,shifted_null,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,0,0.003113200298685115,0.0021317183854989707,0.04326484510312193,0.051030684262514114,-0.0027895332685463625,0.003235198964736331,0.017146554513102555,0.021463212058229972,141.0,0.4988746129315524,-0.0028255371156944427
1,pls,shifted_null,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,16,-0.0005606845352303935,0.0006054684345144778,0.05679939973257674,0.05175451934337616,-0.04936119605644129,0.0035587188612099642,0.016175994823681657,0.02227467768070557,141.0,0.4975204510791699,-0.0024671260977859946
1,cca_shared,shifted_null,6182,3091,sub-03 sub-06 sub-11 sub-24 sub-28 sub-08 sub-12 sub-23 sub-29 sub-27 sub-18,128,32,16,-0.0006543320414493792,0.0008835912449285388,0.008764346006931767,-0.0031507511157542467,-1.9463994401158824,0.004529278550630864,0.017146554513102555,0.022973392753703015,143.0,0.49932638535841384,-0.00017831465127202318
2,train_mean,real,6182,3091,sub-25 sub-21 sub-16 sub-26 sub-33 sub-05 sub-01 sub-13 sub-07 sub-19 sub-17,128,32,0,nan,nan,nan,nan,-2.993818915442148e-06,0.0,0.0,0.007092198581560282,141.0,0.5,0.0
2,time_ridge,real,6182,3091,sub-25 sub-21 sub-16 sub-26 sub-33 sub-05 sub-01 sub-13 sub-07 sub-19 sub-17,15,32,0,0.012946169226779602,0.017958571203052998,0.024689309947665786,0.03033057227730751,0.00048626527999118263,0.003235198964736331,0.020381753477838885,0.02278966276834128,137.0,0.5149217775107455,0.020805045706468208
2,ridge,real,6182,3091,sub-25 sub-21 sub-16 sub-26 sub-33 sub-05 sub-01 sub-13 sub-07 sub-19 sub-17,128,32,0,-0.0042636222824512515,-0.0036733149318024516,0.017833540773622966,0.017986400052905083,-0.0039078548596589435,0.0019411193788417987,0.018117114202523456,0.021082045657308156,140.0,0.4981212737440495,-0.0009696695295500208
2,pls,real,6182,3091,sub-25 sub-21 sub-16 sub-26 sub-33 sub-05 sub-01 sub-13 sub-07 sub-19 sub-17,128,32,16,-0.0008394183141717804,-0.0011360993812559173,0.006378348549035398,0.015577603131532669,-0.05241532098344659,0.0035587188612099642,0.017793594306049824,0.021917778578462464,139.0,0.5030075796090032,0.004909070674474021
2,cca_shared,real,6182,3091,sub-25 sub-21 sub-16 sub-26 sub-33 sub-05 sub-01 sub-13 sub-07 sub-19 sub-17,128,32,16,-0.002273941919270328,-0.00044724381587002426,0.002742890923673464,0.015448848716914654,-5.252922001883987,0.0029116790682626984,0.018117114202523456,0.02249374160439538,141.0,0.5024668392106114,0.0020539677576770347
2,ridge,shifted_null,6182,3091,sub-25 sub-21 sub-16 sub-26 sub-33 sub-05 sub-01 sub-13 sub-07 sub-19 sub-17,128,32,0,7.724351416982245e-05,-0.0013050366833340377,0.00032024028482521513,0.008191647008061409,-0.004336661845850465,0.0042057586541572305,0.014881915237787124,0.021088382660050062,141.0,0.49970421038036694,0.00043069117433239143
