run,model,target,loss,select_metric,roi_corr_mean,shifted_null_roi_corr_mean,delta_roi_corr_mean,roi_corr_positive_frac,spatial_corr_mean,latent_corr_mean,pca_explained_variance,path
ridge_pca8_baseline,eeg_ridge_pca,pca8,closed_form_ridge,n/a,0.02914567406547399,-0.0009725381364141389,0.03011821220188813,0.9179999999999999,0.003865190597906544,0.012321514716238092,0.7469957800139359,results/natview_pilot_pca8_offset10p5_w8_lags4to12_subjectcv/summary.json
ridge_pca16_baseline,eeg_ridge_pca,pca16,closed_form_ridge,n/a,0.027735178560912854,-0.0008555328126105824,0.028590711373523436,0.892,0.0025506602916637515,0.005597335456613025,0.8294949994948965,results/natview_pilot_pca16_offset10p5_w8_lags4to12_subjectcv/summary.json
deep_mlp_pca8_mse,eeg_deep_mlp,pca8,mse,val_mse,0.005614429737207455,,,0.606,0.0007770322505743927,-0.0005529858884661933,0.7469957800139359,results/natview_deep_mlp_pca8_v1/summary.json
deep_query_pca8_mse,eeg_deep_query_attention,pca8,mse,val_mse,0.0026228085257458964,,,0.62,0.0008439246063018165,-0.001956026929009861,0.7469957800139359,results/natview_deep_query_pca8_v1/summary.json
deep_query_pca8_mse_corr,eeg_deep_query_attention,pca8,mse_corr,val_corr,0.006732450286076115,,,0.7,0.004223904453218204,0.0005539242594475499,0.7469957800139359,results/natview_deep_query_pca8_corr_v1/summary.json
deep_query_pca8_mse_corr_small,eeg_deep_query_attention,pca8,mse_corr,val_corr,0.0006919708576209974,,,0.492,0.003688313469840273,0.0022368411660749336,0.7469957800139359,results/natview_deep_query_pca8_corr_small_v1/summary.json
deep_mlp_pca8_mse_corr,eeg_deep_mlp,pca8,mse_corr,val_corr,0.013475208552285473,,,0.7739999999999999,0.002163417010541409,0.004727007524583146,0.7469957800139359,results/natview_deep_mlp_pca8_corr_v1/summary.json
deep_mlp_pca8_corr_only,eeg_deep_mlp,pca8,corr,val_corr,0.005023090908800515,,,0.6020000000000001,0.0045469001066382915,0.0064857708259943025,0.7469957800139359,results/natview_deep_mlp_pca8_corr_only_v1/summary.json
deep_query_pca8_corr_only,eeg_deep_query_attention,pca8,corr,val_corr,0.003955448263786665,,,0.55,-0.002789821885124272,-0.0005577191830599549,0.7469957800139359,results/natview_deep_query_pca8_corr_only_v1/summary.json
deep_mlp_pca16_mse_corr,eeg_deep_mlp,pca16,mse_corr,val_corr,0.01353260216367425,,,0.714,0.0010746911996338522,0.0032961782136328695,0.8294949994948965,results/natview_deep_mlp_pca16_corr_v1/summary.json
deep_mlp_pca16_mse_corr_null,eeg_deep_mlp,pca16,mse_corr,val_corr,0.013497888613956727,-0.0031603609709340654,0.016658249584890792,0.734,-0.0005451759769661326,0.0028046584140952644,0.8294949994948965,results/natview_deep_mlp_pca16_corr_null/summary.json
