fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_val_corr,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,,
1,eeg_deep_mlp,2077,18,sub-10 sub-17 sub-18 sub-20,0.03793626860828401,0.040091137897492926,1.0,-0.0011260868964379194,-0.0008672075392955678,-0.07327599744526926,-0.07327599744526928,0.004814636494944632,0.015406836783822821,0.023137210888952504,1.084875226020813,0.005581188946962357,13.0,31.0,16.0,0.8281015374136756,0.005921912522922831
1,shifted_null_mlp,2077,18,sub-10 sub-17 sub-18 sub-20,-0.016705284577828283,-0.018973370000105932,0.18,0.0010359007678033413,0.00524826438192938,-0.015153576312717404,-0.015153576312717403,0.003370245546461242,0.017332691381800675,0.02283307566561508,1.0084413290023804,0.0034357376862317324,1.0,19.0,16.0,0.8281015374136756,0.0001275005529008009
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,,
2,eeg_deep_mlp,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.010108920884744195,0.009866536085648622,0.71,-0.0022267487309346554,0.0004005561595701286,-0.05197670792619233,-0.05197670792619233,0.0028011204481792717,0.015873015873015872,0.021075920053260363,0.948650062084198,0.014707447029650211,13.0,31.0,16.0,0.8289329677852725,-0.0007375678134783131
2,shifted_null_mlp,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.0035609105891220134,-0.0006336311151239524,0.48,-0.006936832607282858,-0.012960745285500497,-0.02728912214266326,-0.027289122142663266,0.004668534080298786,0.018207282913165267,0.023306360717566213,1.0847755670547485,0.0018552459077909589,9.0,27.0,16.0,0.8289329677852725,-0.004702951767315878
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,,
3,eeg_deep_mlp,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.018150605547323843,0.016944278882153455,0.92,0.0013457982292719012,0.005006337439832746,-0.04007035532985136,-0.040070355329851357,0.003656307129798903,0.02010968921389397,0.02341141671744577,1.0699548721313477,0.014754078350961208,15.0,33.0,16.0,0.8304413470492835,0.005732195070126538
3,shifted_null_mlp,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-0.001782797997989868,-0.0014389299427434153,0.48,0.00012771619318039352,0.002153500065845335,-0.01900627230943558,-0.01900627230943558,0.0031992687385740404,0.02056672760511883,0.022472964295579767,0.7646598219871521,0.011552484706044197,1.0,19.0,16.0,0.8304413470492833,0.0013892374339953216
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,,
4,eeg_deep_mlp,2088,18,sub-06 sub-08 sub-14 sub-21,-0.008531217845734625,-0.007260541645953387,0.31,-0.00597430441127398,0.0015258848011278922,-0.018096722773475994,-0.018096722773475994,0.004789272030651341,0.020593869731800767,0.024693756533440536,1.15220308303833,0.00786558911204338,1.0,19.0,16.0,0.826818231739487,-0.0007682050815579506
4,shifted_null_mlp,2088,18,sub-06 sub-08 sub-14 sub-21,0.007664007524506309,0.007552331314767843,0.67,-0.002176760249486822,-0.0029841433815404913,-0.011497057951449785,-0.011497057951449789,0.0023946360153256703,0.019636015325670497,0.022569815440050454,0.947597861289978,0.005602520890533924,2.0,20.0,16.0,0.826818231739487,6.694111106181995e-05
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,,
5,eeg_deep_mlp,2079,18,sub-07 sub-13 sub-15 sub-19,0.009824865875166216,0.01221649881168936,0.73,0.00525546192454399,-0.0014013281849062907,-0.00807775407423719,-0.008077754074237192,0.006253006253006253,0.021164021164021163,0.02638098318896992,1.0234349966049194,0.009578607976436615,2.0,20.0,16.0,0.8331809134867634,0.003874957372463217
5,shifted_null_mlp,2079,18,sub-07 sub-13 sub-15 sub-19,-0.0014168192142364722,0.0002486279435568258,0.51,0.003192963509391072,0.0051384217335898805,-0.013934309216158746,-0.013934309216158748,0.003848003848003848,0.021164021164021163,0.023431577720797944,0.8411688804626465,0.010036743246018887,1.0,19.0,16.0,0.8331809134867634,0.001139507675411607
