fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_val_corr,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,,
1,eeg_deep_mlp,2077,18,sub-10 sub-17 sub-18 sub-20,-0.019897113722981394,-0.019128532036794394,0.09,-0.00022195058390498694,0.004433213487790334,-0.25163283734330083,-0.25163283734330083,0.005296100144439095,0.022147327876745306,0.025624617022232378,1.344367504119873,0.004459733609110117,1.0,25.0,8.0,0.7437097715900856,-0.009776649062283031
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,,
2,eeg_deep_mlp,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.00237027863702072,-0.0032563783632148695,0.46,-0.0008752582987530986,-0.001375709923564832,-0.30156854100378006,-0.3015685410037801,0.004201680672268907,0.018674136321195144,0.02466223882160698,1.3407429456710815,0.008517004549503326,20.0,44.0,8.0,0.7466419418320517,0.001050273088623712
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,,
3,eeg_deep_mlp,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.020679802820742155,0.020595208604343947,0.95,0.008666538634662593,0.010046733956919102,-0.25150638431145433,-0.2515063843114543,0.005027422303473492,0.02102376599634369,0.024893857427852627,1.3091835975646973,0.01801619865000248,18.0,42.0,8.0,0.7484515804244936,0.02129146757379433
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,,
4,eeg_deep_mlp,2088,18,sub-06 sub-08 sub-14 sub-21,0.006208605995729338,0.006684891447321196,0.62,0.007273847444491209,0.015422591924581258,-0.20632640643010283,-0.2063264064301028,0.003352490421455939,0.018199233716475097,0.023817845902249897,1.431401014328003,0.02588713727891445,3.0,27.0,8.0,0.7452509547976248,0.0041974745701936576
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,,
5,eeg_deep_mlp,2079,18,sub-07 sub-13 sub-15 sub-19,0.020494438087533196,0.021079297339038322,0.89,0.007891323336695741,0.007194476399307354,-0.24638419975944792,-0.24638419975944795,0.000962000962000962,0.017797017797017797,0.02158491964744526,1.3898013830184937,0.01626412756741047,12.0,36.0,8.0,0.7509246514254232,0.01566628795964285
