fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_val_corr,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,,
1,eeg_deep_mlp,2077,18,sub-10 sub-17 sub-18 sub-20,0.03070620799454837,0.029472392095465386,1.0,0.0013223303806087722,0.00589426706895672,-0.2435271316701595,-0.24352713167015946,0.004333172845450169,0.018777082330284064,0.023251593751507954,1.2060997486114502,-0.00449262885376811,18.0,36.0,8.0,0.7437097715900856,0.0066917406310373195
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,,
2,eeg_deep_mlp,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.004880951777341024,0.005964888468126035,0.59,0.001420947542284842,0.0034711298181994057,-0.03168225188020279,-0.0316822518802028,0.005135387488328665,0.01680672268907563,0.023183508060115248,0.8839655518531799,0.016462799161672592,8.0,26.0,8.0,0.7466419418320517,0.0036657400329075944
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,,
3,eeg_deep_mlp,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.006635180469748571,0.004482172183179684,0.73,0.0008109409903906748,0.005436423832647157,-0.003962934597785439,-0.003962934597785439,0.005484460694698354,0.024680073126142597,0.026052322562819207,1.0513737201690674,0.022565778344869614,4.0,22.0,8.0,0.7484515804244936,0.00193521467913269
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,,
4,eeg_deep_mlp,2088,18,sub-06 sub-08 sub-14 sub-21,0.006652944011947969,0.006048331784428089,0.7,0.0016635727526684715,0.0007563363401301626,-0.10862584401683986,-0.10862584401683986,0.006226053639846743,0.025383141762452106,0.02676032761160289,1.3205368518829346,0.02374584600329399,16.0,34.0,8.0,0.7452509547976248,-0.00300481150287217
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,,
5,eeg_deep_mlp,2079,18,sub-07 sub-13 sub-15 sub-19,0.01850075850784142,0.018424245490810835,0.85,0.005599293386754283,0.005051816117742371,-0.02676021310078929,-0.026760213100789288,0.001443001443001443,0.013468013468013467,0.020514995706519303,1.0254746675491333,0.01785893924534321,8.0,26.0,8.0,0.7509246514254232,0.014347153782710296
