fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,
1,eeg_deep_mlp,2077,18,sub-10 sub-17 sub-18 sub-20,0.00855028699458437,0.009588972650366992,0.71,-0.006328016500653559,-0.005407556583069832,-0.006933060861797351,-0.006933060861797352,0.004333172845450169,0.020702936928261917,0.024657609728724997,1.0643117427825928,2.0,14.0,8.0,0.7437097715900856,-0.011521741562195941
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,
2,eeg_deep_mlp,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.017148405136315867,-0.016146758098884086,0.17,-0.0041887059184968324,0.0024462366904135268,-0.009123227155672854,-0.009123227155672856,0.0028011204481792717,0.018674136321195144,0.022438774888376103,0.8441964387893677,2.0,14.0,8.0,0.7466419418320517,-0.016071743423599044
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,
3,eeg_deep_mlp,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.011102096896258802,0.008965977020270771,0.73,0.0039048267671857933,0.00027887431895767654,-0.0016591453467987539,-0.0016591453467987535,0.005484460694698354,0.024223034734917732,0.02581967443153683,1.0479230880737305,3.0,15.0,8.0,0.7484515804244936,0.009818301719385188
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,
4,eeg_deep_mlp,2088,18,sub-06 sub-08 sub-14 sub-21,0.001881410780976119,-4.9696078259816155e-05,0.5,0.001931104612741194,0.006445995853654025,-0.012700774938441102,-0.012700774938441104,0.006226053639846743,0.018199233716475097,0.025683253530255967,1.1575957536697388,4.0,16.0,8.0,0.7452509547976248,0.0030385935173350012
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,
5,eeg_deep_mlp,2079,18,sub-07 sub-13 sub-15 sub-19,0.023686759150533847,0.025102318930070165,0.92,0.008565952292095367,0.013411943891002235,-0.004934705908665971,-0.004934705908665971,0.003367003367003367,0.013468013468013467,0.022391969530952422,0.9999513030052185,4.0,16.0,8.0,0.7509246514254232,0.01197166030674383
