fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_val_corr,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,,
1,eeg_deep_query_attention,2077,18,sub-10 sub-17 sub-18 sub-20,0.0006223831452350403,0.0008227751686651735,0.54,-0.002919100742561226,-0.0116222098869695,-0.39666080478594884,-0.396660804785949,0.0038517091959557053,0.021665864227250843,0.023952040957034883,1.5282913446426392,0.005890950560569763,20.0,44.0,8.0,0.7437097715900856,-0.0008206017614256589
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,,
2,eeg_deep_query_attention,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.006738971685467925,0.005157601592975656,0.65,-0.003946566886403678,0.0015185452967964358,-0.32702877725335955,-0.3270287772533596,0.004201680672268907,0.016339869281045753,0.02235683482651119,1.106515884399414,0.012767350301146507,10.0,34.0,8.0,0.7466419418320517,-0.006471451073206002
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,,
3,eeg_deep_query_attention,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.024411460029697508,0.02428601040696116,1.0,-0.003999703883877708,-0.002001042489710012,-1.947291757532958,-1.9472917575329571,0.003656307129798903,0.019195612431444242,0.022778729373510227,4.522822856903076,0.01984415017068386,39.0,63.0,8.0,0.7484515804244936,0.010036094229226087
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,,
4,eeg_deep_query_attention,2088,18,sub-06 sub-08 sub-14 sub-21,-0.008674642988667996,-0.009287754817661874,0.13,-0.0025830447169147017,0.014433377059699225,-0.7371873283349821,-0.7371873283349822,0.0038314176245210726,0.020593869731800767,0.023716054641299084,1.9048773050308228,0.01774311438202858,5.0,29.0,8.0,0.7452509547976248,-0.0070199862471641734
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,,
5,eeg_deep_query_attention,2079,18,sub-07 sub-13 sub-15 sub-19,-0.0033209305527991495,-0.002739122756622793,0.43,-0.0005006931958640457,0.003582327240958977,-0.3239379132125565,-0.32393791321255644,0.003848003848003848,0.01875901875901876,0.023079808826386692,1.597963809967041,0.0025648768059909344,4.0,28.0,8.0,0.7509246514254232,0.001487348937269973
