fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_val_corr,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,,
1,eeg_deep_query_attention,2077,18,sub-10 sub-17 sub-18 sub-20,-0.0034540297489286664,-0.0030452532781316604,0.41,0.008656523891705807,0.013578508069908363,-0.14451795835181883,-0.14451795835181885,0.002888781896966779,0.02118440057775638,0.024124262883321146,1.1682124137878418,0.020564988255500793,49.0,67.0,8.0,0.7437097715900856,0.00477204310440609
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,,
2,eeg_deep_query_attention,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.0043006836687213765,-0.003926818105931965,0.35,-0.0033786565733346804,-0.0094688122913949,-0.001504458556064633,-0.0015044585560646335,0.003734827264239029,0.018207282913165267,0.022785353814608063,0.8329719305038452,0.009674270637333393,6.0,24.0,8.0,0.7466419418320517,-0.009591536365356593
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,,
3,eeg_deep_query_attention,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.011244344628452703,0.011030067083678697,0.78,0.008272758774722593,0.009847248940612802,-0.009428823386931318,-0.00942882338693132,0.005484460694698354,0.018738574040219377,0.024840655635399684,1.0616577863693237,0.00895441509783268,17.0,35.0,8.0,0.7484515804244936,0.012163257935993696
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,,
4,eeg_deep_query_attention,2088,18,sub-06 sub-08 sub-14 sub-21,0.005461429638176907,0.005374465404027107,0.65,0.005926945870183654,-0.002528643183506968,-0.0005394582442686946,-0.0005394582442686946,0.006226053639846743,0.021551724137931036,0.026391952771731696,1.147273302078247,0.015154922381043434,5.0,23.0,8.0,0.7452509547976248,-0.0019032136686838515
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,,
5,eeg_deep_query_attention,2079,18,sub-07 sub-13 sub-15 sub-19,-0.0054912065608745805,-0.005042849406491331,0.27,-0.0010360046140760076,0.0028973352000144816,-0.0028683177436525198,-0.0028683177436525198,0.003848003848003848,0.01827801827801828,0.0231601357707336,0.9962156414985657,0.004100796766579151,1.0,19.0,8.0,0.7509246514254232,0.005743654824015327
