fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,
1,eeg_deep_query_attention,2077,18,sub-10 sub-17 sub-18 sub-20,-0.011731521357137599,-0.011060921901478851,0.29,0.008809158039727392,0.016155736973426673,-0.00024554569555487846,-0.00024554569555487857,0.0038517091959557053,0.021665864227250843,0.025037290523017328,1.0519258975982666,4.0,18.0,8.0,0.7437097715900856,-0.0026997253781800646
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,
2,eeg_deep_query_attention,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.008107163328692607,0.007962520348506145,0.81,-0.0011831094235076507,0.0015622769392986432,-7.241158437695905e-05,-7.241158437695909e-05,0.004201680672268907,0.0196078431372549,0.0235754248134851,0.8322522044181824,4.0,18.0,8.0,0.7466419418320517,-0.004549264711033233
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,
3,eeg_deep_query_attention,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.004758040730718318,0.004890651712000509,0.74,-0.0009383041665018168,-0.0023557557907484565,-0.00013433917656396232,-0.00013433917656396227,0.005484460694698354,0.019195612431444242,0.02367382795489938,1.044798493385315,4.0,18.0,8.0,0.7484515804244936,0.0005025731977141411
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,
4,eeg_deep_query_attention,2088,18,sub-06 sub-08 sub-14 sub-21,0.00034082050175566136,8.671061272803368e-05,0.51,-0.0045941243331128635,-0.007228177816718412,-0.0003089609256804182,-0.0003089609256804182,0.004310344827586207,0.019636015325670497,0.024152344722246106,1.1472874879837036,4.0,18.0,8.0,0.7452509547976248,-0.008751022711808096
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,
5,eeg_deep_query_attention,2079,18,sub-07 sub-13 sub-15 sub-19,0.011639539424700494,0.011719617118765324,0.75,0.002126002914904021,-0.003999079493549448,6.625411823169336e-05,6.625411823169336e-05,0.00481000481000481,0.01875901875901876,0.023573338595752693,0.9929620027542114,5.0,19.0,8.0,0.7509246514254232,0.00571730495825795
