source_cache,out_cache,subject,session,run,eeg_path,status,n_channels,n_samples,old_n_samples,n_windows_in,n_windows_out,original_sfreq,final_sfreq,l_freq,h_freq,notch_freqs,reference,mean_uV,std_uV,max_abs_uV,dropped_channels,kept_channels,error
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-01_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-01_ses-01_rest.npz,sub-01,ses-01,sub-01_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-01/ses-01/eeg/sub-01_ses-01_task-rest_eeg.set,ok,59,120304,120304,282,282,250.0,200.0,0.1,75.0,60.0,Ave,-4.1275202700141733e-10,11.300979614257812,172.10243225097656,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F6 F8 FT7 FC5 FC3 FC1 FC2 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-02_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-02_ses-01_rest.npz,sub-02,ses-01,sub-02_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-02/ses-01/eeg/sub-02_ses-01_task-rest_eeg.set,ok,60,121588,121588,283,283,250.0,200.0,0.1,75.0,60.0,Ave,6.693111620492687e-10,6.1253228187561035,102.4612808227539,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-03_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-03_ses-01_rest.npz,sub-03,ses-01,sub-03_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-03/ses-01/eeg/sub-03_ses-01_task-rest_eeg.set,ok,56,119103,119103,280,280,250.0,200.0,0.1,75.0,60.0,Ave,1.40559608396984e-08,10.215190887451172,151.4518280029297,,FPZ AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-04_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-04_ses-01_rest.npz,sub-04,ses-01,sub-04_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-04/ses-01/eeg/sub-04_ses-01_task-rest_eeg.set,ok,58,127648,127648,283,283,250.0,200.0,0.1,75.0,60.0,Ave,-8.441856991225904e-09,8.724148750305176,140.623779296875,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F4 F6 F8 FT7 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-05_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-05_ses-01_rest.npz,sub-05,ses-01,sub-05_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-05/ses-01/eeg/sub-05_ses-01_task-rest_eeg.set,ok,58,109250,109250,256,256,250.0,200.0,0.1,75.0,60.0,Ave,-2.46587239516316e-09,14.895402908325195,239.08592224121094,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 C4 C6 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-06_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-06_ses-01_rest.npz,sub-06,ses-01,sub-06_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-06/ses-01/eeg/sub-06_ses-01_task-rest_eeg.set,ok,51,119099,119099,280,280,250.0,200.0,0.1,75.0,60.0,Ave,-6.431047916422017e-10,8.380561828613281,109.84198760986328,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 F2 F4 F6 F8 FT7 FC5 FC3 FC4 FC6 FT8 T7 C3 C2 C4 C6 TP9 TP7 CP5 CP3 CP1 CP2 CP4 CP6 TP8 TP10 P7 P5 P3 PZ P2 P4 P6 P8 PO7 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-07_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-07_ses-01_rest.npz,sub-07,ses-01,sub-07_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-07/ses-01/eeg/sub-07_ses-01_task-rest_eeg.set,ok,56,172084,172084,283,283,250.0,200.0,0.1,75.0,60.0,Ave,1.21605370217992e-09,7.199888706207275,104.71768951416016,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC2 FC4 FC6 FT8 T7 C5 C3 C2 C4 C6 TP9 TP7 CP5 CP3 CP1 CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-08_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-08_ses-01_rest.npz,sub-08,ses-01,sub-08_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-08/ses-01/eeg/sub-08_ses-01_task-rest_eeg.set,ok,60,112882,112882,265,265,250.0,200.0,0.1,75.0,60.0,Ave,-2.8837265908521204e-09,8.712092399597168,110.9731674194336,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-09_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-09_ses-01_rest.npz,sub-09,ses-01,sub-09_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-09/ses-01/eeg/sub-09_ses-01_task-rest_eeg.set,ok,45,100050,100050,234,234,250.0,200.0,0.1,75.0,60.0,Ave,4.880372217463957e-10,7.687010765075684,159.1792449951172,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FC5 FC3 FC1 FC2 FC4 FC6 FT8 C5 C2 C4 C6 CP5 CPZ CP2 CP4 CP6 P5 P3 P2 P4 P6 P8 PO7 PO3 POZ PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-10_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-10_ses-01_rest.npz,sub-10,ses-01,sub-10_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-10/ses-01/eeg/sub-10_ses-01_task-rest_eeg.set,ok,61,106610,106610,250,250,250.0,200.0,0.1,75.0,60.0,Ave,7.883727004553975e-10,9.253032684326172,142.93153381347656,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-11_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-11_ses-01_rest.npz,sub-11,ses-01,sub-11_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-11/ses-01/eeg/sub-11_ses-01_task-rest_eeg.set,ok,60,115822,115822,272,272,250.0,200.0,0.1,75.0,60.0,Ave,1.1242107245124089e-09,11.294368743896484,144.078369140625,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-12_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-12_ses-01_rest.npz,sub-12,ses-01,sub-12_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-12/ses-01/eeg/sub-12_ses-01_task-rest_eeg.set,ok,57,115503,115503,271,271,250.0,200.0,0.1,75.0,60.0,Ave,-2.966620060718128e-09,6.910261154174805,110.36952209472656,,FP1 FPZ FP2 AF7 AF3 AF8 F7 F5 F3 F1 FZ F4 F6 F8 FT7 FC5 FC3 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-13_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-13_ses-01_rest.npz,sub-13,ses-01,sub-13_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-13/ses-01/eeg/sub-13_ses-01_task-rest_eeg.set,ok,50,119470,119470,280,280,250.0,200.0,0.1,75.0,60.0,Ave,-3.923579239284436e-09,8.093000411987305,115.2869873046875,,FPZ F7 F3 F1 FZ F2 F8 FT7 FC5 FC3 FC1 FC2 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-14_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-14_ses-01_rest.npz,sub-14,ses-01,sub-14_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-14/ses-01/eeg/sub-14_ses-01_task-rest_eeg.set,ok,61,115798,115798,272,272,250.0,200.0,0.1,75.0,60.0,Ave,2.765025430839785e-10,11.890392303466797,200.17059326171875,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-15_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-15_ses-01_rest.npz,sub-15,ses-01,sub-15_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-15/ses-01/eeg/sub-15_ses-01_task-rest_eeg.set,ok,60,111188,111188,261,261,250.0,200.0,0.1,75.0,60.0,Ave,-1.8297884041285073e-11,9.344257354736328,178.688232421875,,FP1 FPZ FP2 AF7 AF3 AF4 AF8 F7 F5 F3 F1 FZ F2 F4 F6 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-16_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-16_ses-01_rest.npz,sub-16,ses-01,sub-16_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-16/ses-01/eeg/sub-16_ses-01_task-rest_eeg.set,ok,54,105358,105358,247,247,250.0,200.0,0.1,75.0,60.0,Ave,0.0,6.3565239906311035,136.69166564941406,,FP1 FPZ FP2 AF7 AF3 AF8 F7 F5 F3 FZ F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 CZ C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CP2 CP4 CP6 TP8 TP10 P7 P5 P3 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-17_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-17_ses-01_rest.npz,sub-17,ses-01,sub-17_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-17/ses-01/eeg/sub-17_ses-01_task-rest_eeg.set,ok,55,101310,101310,237,237,250.0,200.0,0.1,75.0,60.0,Ave,1.4020872241005122e-09,9.8892240524292,150.6617889404297,,FP1 FPZ FP2 AF7 AF3 AF8 F7 F5 F1 FZ F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
data/pooled_raw_schaefer100_neurostorm_official_natview/run_cache/natview/sub-18_ses-01_rest.npz,data/pooled_raw_schaefer100_neurostorm_official_natview_labram_eeg/run_cache/natview/sub-18_ses-01_rest.npz,sub-18,ses-01,sub-18_ses-01_rest,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-18/ses-01/eeg/sub-18_ses-01_task-rest_eeg.set,ok,56,119812,119812,281,281,250.0,200.0,0.1,75.0,60.0,Ave,5.239793932076964e-09,13.539745330810547,193.05633544921875,,AF3 AF4 AF8 F7 F3 F1 FZ F2 F4 F6 F8 FT7 FC5 FC3 FC1 FC2 FC4 FC6 FT8 T7 C5 C3 C1 CZ C2 C4 C6 T8 TP9 TP7 CP5 CP3 CP1 CPZ CP2 CP4 CP6 TP8 TP10 P7 P5 P3 P1 PZ P2 P4 P6 P8 PO7 PO3 POZ PO4 PO8 O1 OZ O2,
