fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2270,18,sub-03 sub-08 sub-14 sub-17,-8.48081210348886e-19,-3.3357598622267017e-19,0.47,-0.0013802097722857406,-0.003526617114458003,0.0,0.0,0.003524229074889868,0.01762114537444934,0.021945618155276434,,,,
1,eeg_ridge_pca,2270,18,sub-03 sub-08 sub-14 sub-17,-0.015616168963354946,-0.012372369973478032,0.21,-0.0012977995070245624,-0.001693510930780955,-0.008041812424735036,-0.008041812424735036,0.0030837004405286344,0.014537444933920705,0.020659855561131243,3981.071705534969,24,0.8655437104458639,-0.006127842632684735
1,shifted_null_pca,2270,18,sub-03 sub-08 sub-14 sub-17,0.000825647601961878,0.0014220088835834718,0.53,0.00030113732601636217,-0.0060337991175663025,-0.00024294229680884793,-0.00024294229680884782,0.0022026431718061676,0.020704845814977973,0.021063168836271545,100000.0,24,0.8655437104458634,-0.0005841793717381791
2,train_mean,2271,18,sub-06 sub-07 sub-16 sub-21,6.308560292396934e-19,1.1406959008331275e-18,0.53,0.0002237657150647216,0.004222173164154668,0.0,0.0,0.0035226772346983706,0.017613386173491855,0.02193749977296668,,,,
2,eeg_ridge_pca,2271,18,sub-06 sub-07 sub-16 sub-21,0.002621105244371885,0.0015259875888593243,0.52,-0.007159217338706612,-0.003265712273107042,-0.0338303648492089,-0.033830364849208906,0.002201673271686482,0.01453104359313078,0.019977519199678023,11659.144011798311,24,0.8725839275254978,-0.001209472929095531
2,shifted_null_pca,2271,18,sub-06 sub-07 sub-16 sub-21,0.0003938966184444541,0.0030728227422764194,0.58,-0.009366035052282166,-0.00795312007853088,-0.01003905852794255,-0.010039058527942553,0.002201673271686482,0.01805372082782915,0.020462842277817483,100000.0,24,0.8725839275254977,0.006269179870623622
3,train_mean,2270,18,sub-10 sub-19 sub-20 sub-22,7.660965110248787e-19,1.0259446618829733e-18,0.58,0.0013140702684710244,0.0007703465296487717,0.0,0.0,0.003524229074889868,0.01762114537444934,0.02194561267415572,,,,
3,eeg_ridge_pca,2270,18,sub-10 sub-19 sub-20 sub-22,-0.0025250841585140933,-0.0020026911531624827,0.46,0.006086355922757938,0.005803141956141478,-0.00019799584887814637,-0.00019799584887814634,0.003524229074889868,0.014537444933920705,0.02092913787869126,100000.0,24,0.8780223687666044,0.004675276228708708
3,shifted_null_pca,2270,18,sub-10 sub-19 sub-20 sub-22,0.026191807003112876,0.026195049010607607,0.97,0.009111997443522825,0.011598198732943432,0.0005908026601109828,0.0005908026601109829,0.004405286343612335,0.017180616740088105,0.022633271908541253,100000.0,24,0.8780223687666042,0.008371372019811614
4,train_mean,2272,17,sub-01 sub-05 sub-11 sub-13 sub-18,5.87741724492262e-19,5.688848044781417e-19,0.52,-0.0003359661170261219,0.0012223146925272642,0.0,0.0,0.0035211267605633804,0.017605633802816902,0.021929399412851512,,,,
4,eeg_ridge_pca,2272,17,sub-01 sub-05 sub-11 sub-13 sub-18,0.01791672024009163,0.016561441642100896,0.83,-0.0014306166942033324,-0.00983816473984029,0.00024191923628522627,0.00024191923628522627,0.002640845070422535,0.016725352112676055,0.0218092465509445,100000.0,24,0.8661764659644458,0.003993412939370971
4,shifted_null_pca,2272,17,sub-01 sub-05 sub-11 sub-13 sub-18,-0.02788530949584692,-0.027395422680737448,0.0,0.0034209238543898325,0.0035120752331442434,-0.0012972829876261337,-0.001297282987626134,0.0017605633802816902,0.019806338028169015,0.02181915083661264,100000.0,24,0.8661764659644459,-0.002667167306991104
5,train_mean,2269,17,sub-02 sub-04 sub-09 sub-12 sub-15,-6.936035203180089e-19,-8.536535003656466e-19,0.46,0.0009086109391017236,0.0010963093727663206,2.220446049250313e-18,2.2204460492503174e-18,0.0035257822829440283,0.01762891141472014,0.021953721758943456,,,,
5,eeg_ridge_pca,2269,17,sub-02 sub-04 sub-09 sub-12 sub-15,-0.0016901810338801355,-0.003046181315607831,0.4,0.0014332781697588188,-0.004075393308513783,-0.0002647036916157619,-0.00026470369161576187,0.002644336712208021,0.01851035698545615,0.02171334040116997,100000.0,24,0.8771372340733463,-0.002164838681670072
5,shifted_null_pca,2269,17,sub-02 sub-04 sub-09 sub-12 sub-15,-0.021823883734064086,-0.021287664447778125,0.07,0.0006521567317106958,0.0013636818956551898,-0.0004277630774746233,-0.0004277630774746233,0.0035257822829440283,0.01762891141472014,0.022057067288511947,100000.0,24,0.8771372340733463,-0.001935375772063553
