fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2135,18,sub-02 sub-03 sub-07 sub-09 sub-12 sub-15 sub-17,3.2265413732592365e-19,1.6000331826700156e-18,0.55,0.0008867173230746751,3.2409815105331946e-05,0.0,0.0,0.003747072599531616,0.01873536299765808,0.0230954034670959,,,,
1,eeg_ridge_pca,2135,18,sub-02 sub-03 sub-07 sub-09 sub-12 sub-15 sub-17,0.03699071801509299,0.04221111497235183,0.89,-0.0081089980366399,-0.01359220116765591,0.0009293749303448828,0.0009293749303448829,0.004215456674473068,0.022482435597189696,0.024243982307062713,100000.0,24,0.8713933865701606,0.005589509388815947
1,shifted_null_pca,2135,18,sub-02 sub-03 sub-07 sub-09 sub-12 sub-15 sub-17,-0.014240432952936297,-0.019180247670153146,0.3,0.0005459774585763722,0.0025470063562444043,-0.0011909514341615535,-0.0011909514341615537,0.003278688524590164,0.021545667447306793,0.023452074640164314,100000.0,24,0.8713933865701606,-0.002825700574345317
2,train_mean,2115,20,sub-04 sub-06 sub-08 sub-11 sub-14 sub-16,-2.4160398877178206e-19,-6.654249929517095e-19,0.47,0.00030651759195956266,0.001398502845243872,0.0,0.0,0.0037825059101654845,0.018912529550827423,0.0232705848464706,,,,
2,eeg_ridge_pca,2115,20,sub-04 sub-06 sub-08 sub-11 sub-14 sub-16,-0.0031533171981414265,-0.000529014609807775,0.49,-0.001048010056067356,-0.002540060474424697,-0.03890367869568287,-0.038903678695682876,0.0014184397163120568,0.017494089834515367,0.021565395545718718,100000.0,24,0.8711368762342196,-0.006045434042502069
2,shifted_null_pca,2115,20,sub-04 sub-06 sub-08 sub-11 sub-14 sub-16,0.0067126102496784905,0.0078162887849822,0.66,-0.0006050197980291907,-0.004095740630143946,-0.025589970477386363,-0.025589970477386363,0.0028368794326241137,0.026477541371158392,0.024485619165418308,100000.0,24,0.8711368762342195,-0.002129887989024449
3,train_mean,2136,21,sub-04 sub-10 sub-13 sub-15 sub-17 sub-19 sub-22,-1.1520480275745225e-19,-2.624905575572048e-19,0.47,-0.00024926272327670154,-0.0007310190168898791,0.0,0.0,0.003745318352059925,0.018726591760299626,0.02308694426677694,,,,
3,eeg_ridge_pca,2136,21,sub-04 sub-10 sub-13 sub-15 sub-17 sub-19 sub-22,0.02067538890671758,0.020979351452710765,0.93,0.0017553727453415123,0.0027785003039269805,0.0002881041146560992,0.00028810411465609914,0.0018726591760299626,0.02247191011235955,0.024006733212454175,100000.0,24,0.8723166540461347,0.006602570817851281
3,shifted_null_pca,2136,21,sub-04 sub-10 sub-13 sub-15 sub-17 sub-19 sub-22,-0.0003478127437659885,-0.0013058169076877136,0.46,-0.0009484446709996144,-0.0022713190054294884,-4.407791950216344e-05,-4.407791950216347e-05,0.0028089887640449437,0.018258426966292134,0.021370439244387793,100000.0,24,0.8723166540461349,-0.003331742358788263
4,train_mean,2135,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,6.39335662138579e-20,-3.971705009661644e-19,0.46,0.0009740958932238579,0.0041517520422360045,0.0,0.0,0.003747072599531616,0.01873536299765808,0.02309579450302373,,,,
4,eeg_ridge_pca,2135,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,0.019132922520584378,0.020572324725864198,0.93,-0.002930983398697028,-0.010388723788357264,0.0003350506463571834,0.0003350506463571834,0.00234192037470726,0.01592505854800937,0.021944562132736923,100000.0,24,0.8687429670327156,-0.0009168182914453927
4,shifted_null_pca,2135,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,-0.0029903908376150423,-0.002548826181974981,0.44,0.0022161745984467128,0.0023318361842727953,-0.00013404824943612724,-0.00013404824943612722,0.004215456674473068,0.01686182669789227,0.02306095216533582,100000.0,24,0.8687429670327156,-0.0026563574561819605
5,train_mean,2097,21,sub-05 sub-08 sub-10 sub-18 sub-19 sub-20 sub-21 sub-22,-2.3560961971967555e-19,-1.362522119474472e-19,0.49,0.00018641883263566575,0.0017960263422128221,0.0,0.0,0.003814973772055317,0.019074868860276584,0.023427605187189893,,,,
5,eeg_ridge_pca,2097,21,sub-05 sub-08 sub-10 sub-18 sub-19 sub-20 sub-21 sub-22,0.017875291886802504,0.0156972536182335,0.91,0.005484045481742775,0.0049191167731120694,0.000284416911272598,0.0002844169112725981,0.004291845493562232,0.020982355746304245,0.023510378311549365,100000.0,24,0.8736603539101215,0.006092519928469616
5,shifted_null_pca,2097,21,sub-05 sub-08 sub-10 sub-18 sub-19 sub-20 sub-21 sub-22,0.021001838758147904,0.022109550904925404,0.89,0.007113944162468545,0.014707876415653704,0.0002944721523180438,0.0002944721523180438,0.004768717215069146,0.01764425369575584,0.02479550416312892,100000.0,24,0.8736603539101213,0.00993803699372627
