fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2086,18,sub-10 sub-17 sub-18 sub-20,8.501492197656499e-19,1.0865714235884676e-18,0.52,0.0004927585455369868,0.0012046942213367754,0.0,0.0,0.003835091083413231,0.019175455417066157,0.023547935278555403,,,,
1,eeg_ridge_pca,2086,18,sub-10 sub-17 sub-18 sub-20,0.0378608677897327,0.04448815490153084,0.83,-0.008716653590803734,-0.005146313634184441,0.0008789326073756188,0.0008789326073756189,0.003835091083413231,0.019654841802492808,0.022920869249603914,100000.0,24,0.8705150032133724,0.005971843883070909
1,shifted_null_pca,2086,18,sub-10 sub-17 sub-18 sub-20,-0.03587425121714896,-0.036496675983502064,0.14,-0.014066239963041282,-0.011963484322314767,-0.0019943258353266368,-0.0019943258353266368,0.0019175455417066154,0.014381591562799617,0.020628353941676923,100000.0,24,0.8705150032133724,-0.008890383156065253
2,train_mean,2152,17,sub-02 sub-04 sub-05 sub-09 sub-11,4.772915156181212e-19,1.158518776103992e-19,0.51,0.0002975134109217983,-0.0013212050659146832,0.0,0.0,0.0037174721189591076,0.01858736059479554,0.022942430950211035,,,,
2,eeg_ridge_pca,2152,17,sub-02 sub-04 sub-05 sub-09 sub-11,-0.0036371102667017534,-0.002991401428304714,0.43,-0.001872878763405586,0.005635677106470217,-0.00048552764952081054,-0.00048552764952081065,0.0027881040892193307,0.022304832713754646,0.022517877423846474,100000.0,24,0.8700325600975577,0.0012975514611324383
2,shifted_null_pca,2152,17,sub-02 sub-04 sub-05 sub-09 sub-11,0.008111530474698685,0.007868869574713739,0.62,0.007287534057327742,0.005274167077506118,-2.9884073733498217e-05,-2.98840737334982e-05,0.005111524163568773,0.019516728624535316,0.02494237977251251,100000.0,24,0.8700325600975576,0.004032793417266426
3,train_mean,2196,17,sub-01 sub-03 sub-12 sub-16 sub-22,-9.009532103610269e-20,-3.1050403175731105e-19,0.47,0.0020536070814703806,0.0007772937466465635,0.0,0.0,0.0036429872495446266,0.018214936247723135,0.02256113690902633,,,,
3,eeg_ridge_pca,2196,17,sub-01 sub-03 sub-12 sub-16 sub-22,-0.0027964679288213757,-0.003605046385924793,0.36,-0.0025017768387798653,-0.0009158083454657199,-0.09947368455790744,-0.09947368455790744,0.002276867030965392,0.015482695810564663,0.02090190165723928,100000.0,24,0.873609019678989,-0.007118563776306742
3,shifted_null_pca,2196,17,sub-01 sub-03 sub-12 sub-16 sub-22,-0.0011575096171116683,-0.0021213856172270524,0.39,-0.0033770341184755793,-0.005588147422424765,-0.006981520810150044,-0.006981520810150043,0.0036429872495446266,0.012750455373406194,0.021619200732823633,100000.0,24,0.873609019678989,-0.004509550117813104
4,train_mean,2088,18,sub-06 sub-14 sub-15 sub-19,-1.4280964935739267e-19,-5.064991689637466e-19,0.48,0.001109937078506448,0.00100773148877377,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023514063622210445,,,,
4,eeg_ridge_pca,2088,18,sub-06 sub-14 sub-15 sub-19,0.007716175948857271,0.008222512452693667,0.79,-0.004511960116328829,-0.005340179680407818,7.937397134493151e-06,7.937397134493133e-06,0.0019157088122605363,0.015804597701149427,0.0203491643910748,100000.0,24,0.8764304200308524,-0.0004362736374881627
4,shifted_null_pca,2088,18,sub-06 sub-14 sub-15 sub-19,0.00655642594779693,0.008044097242013461,0.7,-0.0006587644947352484,-0.00576692709774476,3.527675956840781e-05,3.527675956840782e-05,0.004310344827586207,0.023946360153256706,0.025648722796204712,100000.0,24,0.8764304200308524,0.002835772158555822
5,train_mean,2096,18,sub-07 sub-08 sub-13 sub-21,-9.824367039983275e-19,-2.75097104113757e-19,0.47,0.0009941211058032845,-9.067954351463906e-05,0.0,0.0,0.003816793893129771,0.019083969465648856,0.0234456916777412,,,,
5,eeg_ridge_pca,2096,18,sub-07 sub-08 sub-13 sub-21,0.008435576639384339,0.010072412223784263,0.71,-0.00554527609071714,-0.013040054522371145,7.282203437857681e-05,7.28220343785769e-05,0.003816793893129771,0.02099236641221374,0.0240249215248982,100000.0,24,0.8681700429931107,-0.007136482625764541
5,shifted_null_pca,2096,18,sub-07 sub-08 sub-13 sub-21,0.006302768966748912,0.0023316134541197615,0.55,-0.008835334153023898,-0.006913393849628354,1.3208856256573532e-05,1.3208856256573484e-05,0.0028625954198473282,0.015744274809160304,0.02101365491598999,100000.0,24,0.8681700429931108,-0.0015169062248057438
