fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2089,20,sub-02 sub-03 sub-05 sub-07 sub-08 sub-10 sub-19 sub-21,3.2679723469050324e-19,-6.636787220026855e-19,0.46,-0.0005539667808179149,-0.0020903336432417027,0.0,0.0,0.003829583532790809,0.019147917663954045,0.02350244300959312,,,,
1,eeg_ridge_pca,2089,20,sub-02 sub-03 sub-05 sub-07 sub-08 sub-10 sub-19 sub-21,0.014632570956609086,0.014503194804970384,0.87,0.00841051441886555,0.005385915459379433,-0.07368953710547377,-0.07368953710547377,0.003350885591191958,0.019147917663954045,0.023617917363839058,158.48931924611142,24,0.8700261709415248,0.004450903619128275
1,shifted_null_pca,2089,20,sub-02 sub-03 sub-05 sub-07 sub-08 sub-10 sub-19 sub-21,0.0022760961046867896,0.0032678248514696824,0.53,-0.006122436183386207,-0.00864473854159093,-0.020479003146580518,-0.02047900314658051,0.00430828147438966,0.01771182383915749,0.022113682004781723,464.1588833612782,24,0.8700261709415251,-0.013128138085887914
2,train_mean,2125,20,sub-04 sub-06 sub-09 sub-12 sub-15 sub-16 sub-17,-7.464993107317332e-19,-1.419619382347099e-18,0.43,-0.00223109771833708,-0.0020378670756357993,0.0,0.0,0.0037647058823529413,0.018823529411764704,0.023186238225266973,,,,
2,eeg_ridge_pca,2125,20,sub-04 sub-06 sub-09 sub-12 sub-15 sub-16 sub-17,0.0140865386082253,0.014102346078645998,0.88,-0.005749082139958437,-0.01189294396032145,-1.1399361684574374,-1.1399361684574376,0.002352941176470588,0.013176470588235295,0.01954864087477758,1359.356390878527,24,0.8733645000774882,0.00140442758513428
2,shifted_null_pca,2125,20,sub-04 sub-06 sub-09 sub-12 sub-15 sub-16 sub-17,-0.007397208942213922,-0.007317187614924373,0.32,-0.005318766396159562,-0.0002535767401357487,-0.90071997962261,-0.9007199796226097,0.0032941176470588237,0.016941176470588234,0.02217996123983926,1359.356390878527,24,0.8733645000774882,-0.006353173214154785
3,train_mean,2106,20,sub-04 sub-08 sub-11 sub-14 sub-16 sub-18 sub-22,2.4427916429298764e-19,-2.281996880988613e-19,0.49,-3.5651726447090574e-05,0.001219503984677352,0.0,0.0,0.003798670465337132,0.01899335232668566,0.02335390203038497,,,,
3,eeg_ridge_pca,2106,20,sub-04 sub-08 sub-11 sub-14 sub-16 sub-18 sub-22,0.009281557330161802,0.009431477079817969,0.66,-0.0038753638377610217,-0.0053785810193542755,-0.059537180240644166,-0.05953718024064417,0.004748338081671415,0.0194681861348528,0.023506551867684553,158.48931924611142,24,0.8709563067742834,-0.005491150688042773
3,shifted_null_pca,2106,20,sub-04 sub-08 sub-11 sub-14 sub-16 sub-18 sub-22,0.02004215712274228,0.019845884807735206,0.86,0.0025904473903550886,-0.0015425219843447845,-0.06804814613111318,-0.06804814613111321,0.005698005698005698,0.0194681861348528,0.024557729984881888,158.48931924611142,24,0.8709563067742834,0.004507776146097872
4,train_mean,2127,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,-8.002603552990227e-19,2.322171299281225e-19,0.51,0.0003493317449732688,0.0010129873875996385,0.0,0.0,0.0037611659614480487,0.018805829807240243,0.02316854052203705,,,,
4,eeg_ridge_pca,2127,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,0.037182792032893326,0.03881961946019019,0.97,-0.0016091525986204754,-0.013847776262651936,-0.035584126269225254,-0.03558412626922525,0.006582040432534086,0.031029619181946404,0.02905287636740618,158.48931924611142,24,0.8683178817552635,0.004121831400571481
4,shifted_null_pca,2127,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,0.0011695703945241798,-0.0010857548356691597,0.49,0.004774379230424703,0.005942473888125271,-0.043247678386955285,-0.0432476783869553,0.0037611659614480487,0.016455101081335213,0.02302420463779178,158.48931924611142,24,0.8683178817552637,0.003549755073069053
5,train_mean,2127,21,sub-10 sub-13 sub-15 sub-17 sub-19 sub-20 sub-22,9.520179569037065e-19,9.36376502084444e-19,0.59,-0.0006928087608716591,-0.0001473627413018499,0.0,0.0,0.0037611659614480487,0.018805829807240243,0.023168869764904815,,,,
5,eeg_ridge_pca,2127,21,sub-10 sub-13 sub-15 sub-17 sub-19 sub-20 sub-22,0.02985397279396316,0.031300627978909604,0.9,0.003054367427803828,-1.759031146902156e-05,-0.043509322541032056,-0.04350932254103204,0.003291020216267043,0.022566995768688293,0.024237750221502912,158.48931924611142,24,0.8716247554051155,0.0024953283458551342
5,shifted_null_pca,2127,21,sub-10 sub-13 sub-15 sub-17 sub-19 sub-20 sub-22,-0.005605118110045306,-0.006715944921200364,0.38,0.0037143390352202656,0.009960897365557544,-0.05708748369512182,-0.05708748369512182,0.0028208744710860366,0.015044663845792195,0.021819911836851315,158.48931924611142,24,0.8716247554051153,0.0008948580351544345
