fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,
1,eeg_ridge_pca,2077,18,sub-10 sub-17 sub-18 sub-20,0.056398566963092985,0.059056490881656654,1.0,0.004474913050151641,-0.00021678379719867701,-0.04991774173707163,-0.04991774173707163,0.0038517091959557053,0.02118440057775638,0.024617549567655207,158.48931924611142,24,0.869983792177865,0.0014468873313996965
1,shifted_null_pca,2077,18,sub-10 sub-17 sub-18 sub-20,0.005640449120539006,0.004998159373179821,0.63,-0.0009549700179163129,-0.002708980772194942,-0.06735218086896318,-0.06735218086896319,0.0077034183919114105,0.02262879152623977,0.027417685580685226,158.48931924611142,24,0.8699837921778651,-0.002916935563313374
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,
2,eeg_ridge_pca,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.00702504256384613,0.009296173059209392,0.79,-0.0037376902332160672,0.00172542050701357,-0.801331260681727,-0.8013312606817269,0.0028011204481792717,0.01727357609710551,0.022336737342416684,1359.356390878527,24,0.8708021937158845,-0.0007797221352633192
2,shifted_null_pca,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.003606936869921366,-0.003563015233502459,0.39,-0.00616620437311793,-0.005036567189914636,-0.4746310797841142,-0.47463107978411423,0.0028011204481792717,0.01727357609710551,0.021703486700378558,3981.071705534969,24,0.8708021937158849,-0.008129975607427625
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,
3,eeg_ridge_pca,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.03561216529992819,0.03645378242792867,0.93,0.002435351542484982,0.003962671482996722,-0.0556168509102017,-0.055616850910201694,0.005484460694698354,0.02330895795246801,0.025614111953124314,158.48931924611142,24,0.8718763635216304,0.008277843304838326
3,shifted_null_pca,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-0.023771294881188343,-0.02451604488183402,0.04,-0.0010706525824488913,0.00778156285243759,-0.07393968659115262,-0.0739396865911526,0.004113345521023766,0.019195612431444242,0.023694538589996143,158.48931924611142,24,0.8718763635216302,-0.004279446337533884
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,
4,eeg_ridge_pca,2088,18,sub-06 sub-08 sub-14 sub-21,0.01741714456803334,0.016620498639183467,0.88,-0.0008295205966401854,-0.004920669404632328,-0.06527776139409432,-0.06527776139409433,0.0028735632183908046,0.019157088122605363,0.023364111569001287,158.48931924611142,24,0.8690618080064704,-0.00020205145804196066
4,shifted_null_pca,2088,18,sub-06 sub-08 sub-14 sub-21,0.02695933626437327,0.02829483994656845,0.92,0.0106143492649566,0.010636552974166599,-0.03879732924151007,-0.03879732924151007,0.004789272030651341,0.020114942528735632,0.02636389408681385,158.48931924611142,24,0.8690618080064703,0.010688629755954018
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,
5,eeg_ridge_pca,2079,18,sub-07 sub-13 sub-15 sub-19,0.018847131192204183,0.01943090248902335,0.88,0.008132198728301798,0.0017888845463316125,-0.06447900344891211,-0.06447900344891211,0.003848003848003848,0.025493025493025494,0.02639232109736186,158.48931924611142,24,0.8740958405123244,0.0074118894732755165
5,shifted_null_pca,2079,18,sub-07 sub-13 sub-15 sub-19,-0.01097778396077755,-0.01308907324247685,0.27,0.0018950857677137516,0.004155385965989675,-0.1210138403279335,-0.12101384032793353,0.004329004329004329,0.020202020202020204,0.02395825231561911,158.48931924611142,24,0.8740958405123244,-0.004058111051914657
