fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2138,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-5.97491949224397e-19,1.0844783174169644e-18,0.53,-0.01045861838364731,-0.003478029794099097,-0.00029546461503679347,-0.0002994060818613859,0.018709073900841908,0.09354536950420954,0.08534994361734813,,,,
1,eeg_ridge_pca,2138,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.00502716406084785,-0.004936877279772021,0.36,-0.019751089175313867,-0.014070852771146662,-0.06893273927010955,-0.0679725834238024,0.014499532273152479,0.08699719363891488,0.07964356975997966,100000.0,24,0.8711886340015185,-0.01399100575551195
1,shifted_null_pca,2138,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,0.0018301389478975086,0.002691950184815789,0.6,-0.013594645672780474,-0.014715786675351537,-0.04352693180544902,-0.04358619416891351,0.015902712815715623,0.10056127221702525,0.0836307378259623,100000.0,24,0.8711886340015184,0.0028950128757253657
2,train_mean,2130,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-4.744310956697303e-19,9.058765887028488e-19,0.5,-0.009418728762051439,-0.011294487308922092,-0.00027550619292056046,-0.0002762342259205111,0.018779342723004695,0.09389671361502347,0.08559687521043319,,,,
2,eeg_ridge_pca,2130,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.008466214350471925,-0.008294950758870386,0.27,-0.02047333402413376,-0.02650594855678367,-0.000710271979731808,-0.000711314898176596,0.019248826291079813,0.09201877934272301,0.0854601113925918,100000.0,24,0.8713821137888891,-0.01826142593774695
2,shifted_null_pca,2130,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.02074544875925707,-0.019342905368922775,0.07,-0.019149787549067133,-0.014542727968777147,-0.0007457799074415361,-0.0007468326179958444,0.020187793427230045,0.09718309859154929,0.08733816510345531,100000.0,24,0.8713821137888889,-0.019753264552081984
3,train_mean,2127,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,2.2046818631488464e-18,2.911699797749784e-18,0.55,-0.014485155776283268,-0.009020430793564642,-0.0001640834568042382,-0.00016333268292728146,0.018805829807240243,0.09402914903620123,0.08568683970771908,,,,
3,eeg_ridge_pca,2127,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,0.003389466878272512,0.005710762827178852,0.67,-0.012397818690463473,-0.014064957618700823,-0.00027350645072825807,-0.0002724840512833093,0.020216267042783263,0.09590973201692525,0.0875285619626186,100000.0,24,0.8725077792408065,-0.011298590325993335
3,shifted_null_pca,2127,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.005863169124113551,-0.004992524953909482,0.44,-0.010872300334625546,-0.007082061897361307,-0.00032024688783725884,-0.00031798631084849714,0.019746121297602257,0.09637987776210626,0.08736205669757184,100000.0,24,0.8725077792408065,-0.006149701730382527
4,train_mean,2117,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,1.5317596052972503e-18,4.698493437554585e-18,0.57,-0.00968520215113791,-0.007329768105889915,-0.0005736562498156972,-0.0005676347532445215,0.01889466225791214,0.0944733112895607,0.08600707796835774,,,,
4,eeg_ridge_pca,2117,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,0.03615852783832748,0.04422802255275389,0.88,-0.0181737731435339,-0.017675803565408568,7.573852160057348e-05,6.736906091643166e-05,0.02172886159659896,0.0812470477090222,0.08512407115453663,100000.0,24,0.8687474853063268,-0.008386549324881353
4,shifted_null_pca,2117,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.06051005774341382,-0.06693811201691799,0.01,-0.013882405210488979,-0.021173268638377044,-0.0024269303422926945,-0.0024358227683910177,0.025980160604629193,0.09966934341048654,0.09279515924093086,100000.0,24,0.8687474853063268,-0.018573077801476958
5,train_mean,2106,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,3.3871378116028837e-18,2.9938308979290337e-18,0.57,-0.008675530113541307,-0.0075541980040197115,-5.830669789060883e-05,-5.845014679286046e-05,0.01899335232668566,0.0949667616334283,0.08635872747111605,,,,
5,eeg_ridge_pca,2106,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,0.017947829682206647,0.017042486915344997,0.89,-0.016604119335292166,-0.02343168090108636,0.00021392560986085996,0.0002123492133721319,0.011870845204178538,0.09639126305792972,0.08183334978264732,100000.0,24,0.8695447033599524,-0.00038735114125020297
5,shifted_null_pca,2106,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.03449109507124581,-0.034247732793592625,0.03,-0.019327338930951787,-0.019242150831804937,-0.001540525343269239,-0.001541416858036188,0.01566951566951567,0.08594491927825261,0.08255822215637175,100000.0,24,0.869544703359952,-0.011514887147519961
