fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2271,20,sub-02 sub-03 sub-06 sub-07 sub-13 sub-14 sub-17 sub-21,-4.789579323995822e-19,-3.476406554920004e-19,0.48,-0.0006598764122008047,-0.0009634442477525212,0.0,0.0,0.0035226772346983706,0.017613386173491855,0.02193749977296668,,,,
1,eeg_ridge_pca,2271,20,sub-02 sub-03 sub-06 sub-07 sub-13 sub-14 sub-17 sub-21,0.0008362219809840185,0.003921217820094708,0.58,-5.1730328627310024e-05,-0.0093322207456727,-5.383122818478081e-05,-5.383122818478085e-05,0.002201673271686482,0.015411712901805373,0.02060569833983561,100000.0,24,0.8711935782985428,-0.006885088512454239
1,shifted_null_pca,2271,20,sub-02 sub-03 sub-06 sub-07 sub-13 sub-14 sub-17 sub-21,-0.0021170519486154106,-0.0021518621286556764,0.45,-0.00138792044938234,-0.0012661297456762145,-8.51251571521705e-05,-8.512515715217048e-05,0.0030823425803610744,0.016292382210479964,0.021106546096970474,100000.0,24,0.8711935782985433,0.004353051983368885
2,train_mean,2271,21,sub-01 sub-05 sub-08 sub-11 sub-16 sub-17 sub-20 sub-22,-1.2254814188097045e-18,-1.115683964137118e-18,0.43,0.0009398671950552399,0.00039688696347127655,0.0,0.0,0.0035226772346983706,0.017613386173491855,0.021937505213226804,,,,
2,eeg_ridge_pca,2271,21,sub-01 sub-05 sub-08 sub-11 sub-16 sub-17 sub-20 sub-22,-0.008130692468058537,-0.011567347721552969,0.24,0.003119164633111704,0.006831365018553349,-0.014641736146651105,-0.014641736146651107,0.0048436811977102595,0.02289740202553941,0.02395674052905174,100000.0,24,0.8676524768934887,-0.006207785304960737
2,shifted_null_pca,2271,21,sub-01 sub-05 sub-08 sub-11 sub-16 sub-17 sub-20 sub-22,0.013500401798595933,0.020773366268066917,0.75,-0.005861081829455178,-0.007730595090248202,-0.006671131988336849,-0.006671131988336848,0.0035226772346983706,0.015852047556142668,0.021325266777406905,100000.0,24,0.8676524768934889,0.0011092298547387936
3,train_mean,2271,21,sub-06 sub-08 sub-11 sub-12 sub-16 sub-17 sub-18 sub-21,-5.272366401552379e-19,-5.876782509507627e-19,0.44,-0.0007383925905757948,-0.0011145484496239949,0.0,0.0,0.0035226772346983706,0.017613386173491855,0.021937505213226807,,,,
3,eeg_ridge_pca,2271,21,sub-06 sub-08 sub-11 sub-12 sub-16 sub-17 sub-18 sub-21,-0.01218580030753636,-0.009241331888390377,0.29,-0.00308691900307145,0.00048062625506658727,-0.0006540962535852945,-0.0006540962535852944,0.0030823425803610744,0.015852047556142668,0.021650627148005766,100000.0,24,0.8667936070718383,-0.00472627168079755
3,shifted_null_pca,2271,21,sub-06 sub-08 sub-11 sub-12 sub-16 sub-17 sub-18 sub-21,0.010941880916383841,0.010883023290665175,0.67,0.0057477351080107925,-0.0013580012262625187,5.358390725154427e-05,5.3583907251544356e-05,0.002642007926023778,0.017613386173491855,0.020875134193326067,100000.0,24,0.8667936070718385,0.0004663484889741907
4,train_mean,2270,21,sub-05 sub-10 sub-12 sub-15 sub-19 sub-20 sub-22,1.9217865034106904e-19,4.028697468718787e-19,0.55,0.0019931636679722795,0.005400901382836525,0.0,0.0,0.003524229074889868,0.01762114537444934,0.021945612674155717,,,,
4,eeg_ridge_pca,2270,21,sub-05 sub-10 sub-12 sub-15 sub-19 sub-20 sub-22,0.012459640735466215,0.013738048013652946,0.76,0.002398164588093778,-0.007504470529719584,0.00015471450658688268,0.00015471450658688263,0.0022026431718061676,0.018061674008810574,0.02140053671258327,100000.0,24,0.8764673490706957,-0.0006343271863223782
4,shifted_null_pca,2270,21,sub-05 sub-10 sub-12 sub-15 sub-19 sub-20 sub-22,0.0029566296377226274,0.005136687149984174,0.53,0.004179355640742482,0.005724438692254178,-7.491260257034504e-05,-7.491260257034505e-05,0.0022026431718061676,0.01762114537444934,0.021909812062425586,100000.0,24,0.8764673490706956,-0.00045107032878090184
5,train_mean,2269,20,sub-04 sub-07 sub-09 sub-13 sub-14 sub-15 sub-19,1.905989463003492e-19,5.907711661976448e-19,0.53,0.0004387209088035415,0.0016279761999062126,0.0,0.0,0.0035257822829440283,0.01762891141472014,0.021953721758943456,,,,
5,eeg_ridge_pca,2269,20,sub-04 sub-07 sub-09 sub-13 sub-14 sub-15 sub-19,-0.00671635614813528,-0.0027150664912056624,0.43,-0.004342063246655881,-0.006275425092041628,-0.0002488635799549621,-0.0002488635799549621,0.003966505068312032,0.014543851917144116,0.021696538448219515,100000.0,24,0.8758958085587595,-0.004911942694295224
5,shifted_null_pca,2269,20,sub-04 sub-07 sub-09 sub-13 sub-14 sub-15 sub-19,-0.005953673147792892,-0.009485483630920149,0.33,0.007612279699503904,0.0027571881152442333,-0.00017801433960680347,-0.0001780143396068035,0.003085059497576025,0.019391802556192154,0.022818180845452295,100000.0,24,0.8758958085587598,0.005159814821170374
