fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2280,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,8.942877014758014e-18,9.717034316856284e-18,0.64,-0.014671074042370343,-0.012639331563764272,-0.0008655543459912973,-0.0008584097062636037,0.017543859649122806,0.08771929824561403,0.08121075814793603,,,,
1,eeg_ridge_pca,2280,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.003366289880578496,-0.006463903819064287,0.37,-0.016004301304669986,-0.01804941705813207,-0.013704257949586643,-0.013689516586883577,0.018421052631578946,0.08596491228070176,0.08065556037699263,100000.0,24,0.8721270741682119,-0.008636325830798935
1,shifted_null_pca,2280,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,0.010581905943140386,0.014258494105371585,0.75,-0.012137697602492972,-0.008366450411826244,-0.00760154795251415,-0.007732513967060285,0.015350877192982455,0.0837719298245614,0.0782241508318724,100000.0,24,0.8721270741682119,-0.00405078670651177
2,train_mean,2279,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,1.2107039526892237e-19,-2.3688868406740837e-20,0.5,-0.011671835489937858,-0.014037630511281013,-0.00032383759971500893,-0.00032399848275395095,0.017551557700745943,0.0877577885037297,0.08123869447900176,,,,
2,eeg_ridge_pca,2279,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.009389132994924186,-0.00801543099803797,0.25,-0.015000580856840478,-0.014379129392192604,-0.0006156288957536982,-0.0006172442623238381,0.018867924528301886,0.0895129442738043,0.08339218582219637,100000.0,24,0.8718919744539475,-0.013788242921323213
2,shifted_null_pca,2279,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.010301799184149312,-0.008604475804258774,0.31,-0.0172200106245366,-0.019181956031081575,-0.000526816425579898,-0.0005261740770203365,0.020623080298376482,0.0868802106186924,0.08290519717473659,100000.0,24,0.8718919744539476,-0.015893884177038114
3,train_mean,2278,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,1.3634403958635778e-18,1.2962042916739188e-18,0.54,-0.009069097188594779,-0.00974538693400211,-0.000100680854984323,-9.983240478071345e-05,0.01755926251097454,0.08779631255487269,0.08126665533713603,,,,
3,eeg_ridge_pca,2278,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,0.005682421762195796,0.006524946785466416,0.64,-0.017896352566421483,-0.008709631491573562,-8.388285900021053e-05,-8.0004425371352e-05,0.012291483757682178,0.08428446005267778,0.0767991434268111,100000.0,24,0.8711576026872545,-0.013192501105598123
3,shifted_null_pca,2278,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-0.012462867819634706,-0.01486238118263593,0.21,-0.006639454834044531,-0.0001025489574393056,-0.0004629090517643597,-0.0004616316388742474,0.019754170324846356,0.08691834942932397,0.08391220616804115,100000.0,24,0.8711576026872541,-0.004162273370257537
4,train_mean,2274,22,sub-01 sub-02 sub-03 sub-04 sub-05 sub-06 sub-07 sub-08 sub-09 sub-10 sub-11 sub-12 sub-13 sub-14 sub-15 sub-16 sub-17 sub-18 sub-19 sub-20 sub-21 sub-22,-2.6545585101382893e-18,-3.583352942756281e-18,0.47,-0.017939689173102225,-0.025764415058403968,-0.0002008798168463355,-0.00019487004465585373,0.01759014951627089,0.08795074758135445,0.08137874468751073,,,,
