fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,
1,time_only_ridge_pca,2077,18,sub-10 sub-17 sub-18 sub-20,0.02549165309986873,0.02467910673608735,0.87,-0.006396018761080724,-0.01160774646555717,-0.0005434843150823287,-0.0005434843150823293,0.002888781896966779,0.012518054886856042,0.02165768645067861,0.01,8,0.7437097715900856,-0.0021757444453349177
1,bold_ar_oracle_ridge_pca,2077,18,sub-10 sub-17 sub-18 sub-20,0.8409180551846696,0.8428496897095116,1.0,0.6134233018919792,0.6306645511254481,0.7080161282843069,0.7080161282843068,0.43716899374097257,0.7746750120365913,0.5897013022279807,6.30957344480193,8,0.7437097715900856,0.9630733757862141
1,eeg_ridge_pca,2077,18,sub-10 sub-17 sub-18 sub-20,0.06024462106152126,0.06237724166168215,1.0,0.008434700259571649,0.000782249345525887,-0.03853572289409677,-0.03853572289409676,0.0038517091959557053,0.016851227732306212,0.023529905453546614,158.48931924611142,8,0.7437097715900856,0.017685089528702264
1,shifted_null_pca,2077,18,sub-10 sub-17 sub-18 sub-20,0.006836001375023343,0.007108720093857019,0.69,0.0024177319520175523,-0.0031117850823763034,-0.058138288041603835,-0.05813828804160384,0.005296100144439095,0.02262879152623977,0.02562340970905966,158.48931924611142,8,0.7437097715900856,0.0019274340733505192
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,
2,time_only_ridge_pca,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.026707135329165924,0.02667506777450781,0.91,-0.018856897338730996,-0.01882905382555177,0.0003914234833013586,0.0003914234833013586,0.002334267040149393,0.011204481792717087,0.018678400747481904,34145.488738336004,8,0.7466419418320517,-0.014870606897206935
2,bold_ar_oracle_ridge_pca,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.8277354851342644,0.8338486889604528,1.0,0.6353942158550001,0.6531577012828524,0.6856796120321716,0.6856796120321716,0.44164332399626516,0.7698412698412699,0.587321634892216,6.30957344480193,8,0.7466419418320517,0.9613866831775028
2,eeg_ridge_pca,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.008114258176876497,0.009226859029172493,0.81,-0.0034293961977603766,-0.00630495413255695,-0.7011784593750492,-0.7011784593750492,0.0056022408963585435,0.0196078431372549,0.02424484504667809,1359.356390878527,8,0.7466419418320517,0.0030850823858575953
2,shifted_null_pca,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.00306166808063455,-0.003729294330223426,0.36,-0.00770789936850582,-0.007813328394961756,-0.44164216377702287,-0.4416421637770229,0.0028011204481792717,0.018674136321195144,0.02207914173618576,3981.071705534969,8,0.746641941832052,-0.014315973251886945
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,
3,time_only_ridge_pca,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.004780367953309116,0.004522473897501746,0.61,-0.0008866446810306726,-0.007456676830757157,-0.0041102021505090855,-0.0041102021505090855,0.003656307129798903,0.01782449725776965,0.021993880104519397,0.01,8,0.7484515804244936,0.018343521533725725
3,bold_ar_oracle_ridge_pca,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.8230073288751184,0.8317383914178718,1.0,0.6214843025930877,0.6349213237506831,0.6779560554594685,0.6779560554594682,0.376599634369287,0.726691042047532,0.5343548539256113,6.30957344480193,8,0.7484515804244936,0.9641673600420548
