fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2135,18,sub-02 sub-03 sub-07 sub-09 sub-12 sub-15 sub-17,3.2265413732592365e-19,1.6000331826700156e-18,0.55,0.0008867173230746751,3.2409815105331946e-05,0.0,0.0,0.003747072599531616,0.01873536299765808,0.0230954034670959,,,,
1,eeg_ridge_roi,2135,18,sub-02 sub-03 sub-07 sub-09 sub-12 sub-15 sub-17,0.03593365164141063,0.042525475690339286,0.87,-0.006239114107063439,-0.01452527229628307,0.0009007318311839396,0.0009007318311839396,0.001405152224824356,0.020608899297423888,0.02203334938217295,100000.0,0,nan,nan
1,shifted_null_roi,2135,18,sub-02 sub-03 sub-07 sub-09 sub-12 sub-15 sub-17,-0.013415481272073017,-0.016470719231946984,0.35,0.0001257921277745503,0.00029871293697665357,-0.0012404044568698558,-0.0012404044568698556,0.003747072599531616,0.01920374707259953,0.023745354077479828,100000.0,0,nan,nan
2,train_mean,2115,20,sub-04 sub-06 sub-08 sub-11 sub-14 sub-16,-2.4160398877178206e-19,-6.654249929517095e-19,0.47,0.00030651759195956266,0.001398502845243872,0.0,0.0,0.0037825059101654845,0.018912529550827423,0.0232705848464706,,,,
2,eeg_ridge_roi,2115,20,sub-04 sub-06 sub-08 sub-11 sub-14 sub-16,-0.0030165990288453966,-0.0007652782170453072,0.47,0.00032950774444275775,0.002332304989597062,-0.04058822680598016,-0.04058822680598016,0.002364066193853428,0.01938534278959811,0.02197872220954862,100000.0,0,nan,nan
2,shifted_null_roi,2115,20,sub-04 sub-06 sub-08 sub-11 sub-14 sub-16,0.007343651478641083,0.007275172005816769,0.7,-0.0016248031292246533,-0.00043886092847516276,-0.029338579480188098,-0.029338579480188094,0.002364066193853428,0.025059101654846337,0.023873688798837445,100000.0,0,nan,nan
3,train_mean,2136,21,sub-04 sub-10 sub-13 sub-15 sub-17 sub-19 sub-22,-1.1520480275745225e-19,-2.624905575572048e-19,0.47,-0.00024926272327670154,-0.0007310190168898791,0.0,0.0,0.003745318352059925,0.018726591760299626,0.02308694426677694,,,,
3,eeg_ridge_roi,2136,21,sub-04 sub-10 sub-13 sub-15 sub-17 sub-19 sub-22,0.02011056494915126,0.021047943554641218,0.91,0.001809036980577887,0.0008273743020180975,0.0002793372807387695,0.00027933728073876947,0.0046816479400749065,0.02294007490636704,0.025289794447195514,100000.0,0,nan,nan
3,shifted_null_roi,2136,21,sub-04 sub-10 sub-13 sub-15 sub-17 sub-19 sub-22,-9.202633276739723e-05,-0.0007466834544095943,0.48,-0.0001742470822931381,0.00024940927283402634,-4.593385045455811e-05,-4.593385045455809e-05,0.0018726591760299626,0.019194756554307114,0.021104095291059565,100000.0,0,nan,nan
4,train_mean,2135,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,6.39335662138579e-20,-3.971705009661644e-19,0.46,0.0009740958932238579,0.0041517520422360045,0.0,0.0,0.003747072599531616,0.01873536299765808,0.02309579450302373,,,,
4,eeg_ridge_roi,2135,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,0.0185632868437798,0.018063188069031455,0.9,-0.0032048784865245416,-0.008169747906655455,0.00031426203565622314,0.00031426203565622303,0.003278688524590164,0.01686182669789227,0.021939410759662208,100000.0,0,nan,nan
4,shifted_null_roi,2135,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,-0.0030570825819395426,-0.0016300865543546607,0.46,0.0013662408027657468,0.002783882201744533,-0.00015455612568989862,-0.00015455612568989862,0.004215456674473068,0.01686182669789227,0.023000091947607305,100000.0,0,nan,nan
5,train_mean,2097,21,sub-05 sub-08 sub-10 sub-18 sub-19 sub-20 sub-21 sub-22,-2.3560961971967555e-19,-1.362522119474472e-19,0.49,0.00018641883263566575,0.0017960263422128221,0.0,0.0,0.003814973772055317,0.019074868860276584,0.023427605187189893,,,,
5,eeg_ridge_roi,2097,21,sub-05 sub-08 sub-10 sub-18 sub-19 sub-20 sub-21 sub-22,0.01751412373967596,0.016575036150310595,0.92,0.005804509758371247,0.0065253267455467655,0.000276085872763302,0.00027608587276330203,0.002861230329041488,0.017167381974248927,0.02260724297639522,100000.0,0,nan,nan
5,shifted_null_roi,2097,21,sub-05 sub-08 sub-10 sub-18 sub-19 sub-20 sub-21 sub-22,0.02013954179387532,0.019771677574606142,0.9,0.005858300605097432,0.01094835243381009,0.0002805912029775759,0.00028059120297757595,0.003814973772055317,0.016690510252742013,0.023514248178555616,100000.0,0,nan,nan
