fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2086,18,sub-10 sub-17 sub-18 sub-20,8.501492197656499e-19,1.0865714235884676e-18,0.52,0.0004927585455369868,0.0012046942213367754,0.0,0.0,0.003835091083413231,0.019175455417066157,0.023547935278555403,,,,
1,eeg_ridge_roi,2086,18,sub-10 sub-17 sub-18 sub-20,0.03596099687176264,0.03964369435649251,0.8,-0.007283052666686058,-0.00236547247441818,0.0008537387449691225,0.0008537387449691225,0.003835091083413231,0.019175455417066157,0.022967397881657397,100000.0,0,nan,nan
1,shifted_null_roi,2086,18,sub-10 sub-17 sub-18 sub-20,-0.033554976608953006,-0.03846346993291036,0.19,-0.011076721162049604,-0.011841527279536267,-0.0020558370627106306,-0.00205583706271063,0.0023969319271332696,0.016299137104506232,0.021849379070196802,100000.0,0,nan,nan
2,train_mean,2152,17,sub-02 sub-04 sub-05 sub-09 sub-11,4.772915156181212e-19,1.158518776103992e-19,0.51,0.0002975134109217983,-0.0013212050659146832,0.0,0.0,0.0037174721189591076,0.01858736059479554,0.022942430950211035,,,,
2,eeg_ridge_roi,2152,17,sub-02 sub-04 sub-05 sub-09 sub-11,-0.003489337324368412,-0.00203641938373256,0.43,-0.0007300021860815526,0.008752104210303674,-0.0004935987986729972,-0.0004935987986729972,0.0027881040892193307,0.01858736059479554,0.022886135021007437,100000.0,0,nan,nan
2,shifted_null_roi,2152,17,sub-02 sub-04 sub-05 sub-09 sub-11,0.007972587757168116,0.006047405949688471,0.66,0.006141828646962556,0.005412479971004351,-5.2845162691155245e-05,-5.2845162691155266e-05,0.004646840148698885,0.01812267657992565,0.023901129232854215,100000.0,0,nan,nan
3,train_mean,2196,17,sub-01 sub-03 sub-12 sub-16 sub-22,-9.009532103610269e-20,-3.1050403175731105e-19,0.47,0.0020536070814703806,0.0007772937466465635,0.0,0.0,0.0036429872495446266,0.018214936247723135,0.02256113690902633,,,,
3,eeg_ridge_roi,2196,17,sub-01 sub-03 sub-12 sub-16 sub-22,-0.0025048283642338147,-0.004041010622696819,0.35,-0.0030041937989892394,-0.0029021169907208835,-0.10152457899604653,-0.10152457899604658,0.0036429872495446266,0.015482695810564663,0.0212135292765792,100000.0,0,nan,nan
3,shifted_null_roi,2196,17,sub-01 sub-03 sub-12 sub-16 sub-22,6.381066135331074e-05,-0.002073745121133945,0.43,-0.002429060744270167,-0.0014166439086950907,-0.00881092370884342,-0.008810923708843418,0.0031876138433515485,0.014571948998178506,0.021630138795462654,100000.0,0,nan,nan
4,train_mean,2088,18,sub-06 sub-14 sub-15 sub-19,-1.4280964935739267e-19,-5.064991689637466e-19,0.48,0.001109937078506448,0.00100773148877377,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023514063622210445,,,,
4,eeg_ridge_roi,2088,18,sub-06 sub-14 sub-15 sub-19,0.007894231445844788,0.008433664791749729,0.76,-0.003686016413314649,-0.007652491383444742,-3.1375399824895567e-06,-3.1375399824895563e-06,0.0023946360153256703,0.013409961685823755,0.020806123990552258,100000.0,0,nan,nan
4,shifted_null_roi,2088,18,sub-06 sub-14 sub-15 sub-19,0.006886480613413534,0.009158419074321043,0.68,0.0013820539465331937,-0.0009619673779610411,3.9393773845520785e-05,3.939377384552078e-05,0.006226053639846743,0.021551724137931036,0.026268605431800377,100000.0,0,nan,nan
5,train_mean,2096,18,sub-07 sub-08 sub-13 sub-21,-9.824367039983275e-19,-2.75097104113757e-19,0.47,0.0009941211058032845,-9.067954351463906e-05,0.0,0.0,0.003816793893129771,0.019083969465648856,0.0234456916777412,,,,
5,eeg_ridge_roi,2096,18,sub-07 sub-08 sub-13 sub-21,0.008027070843212393,0.01060524763576616,0.7,-0.0049329166249400015,-0.011189656221959969,6.110504753562784e-05,6.110504753562796e-05,0.0028625954198473282,0.019083969465648856,0.022919460083807228,100000.0,0,nan,nan
5,shifted_null_roi,2096,18,sub-07 sub-08 sub-13 sub-21,0.006817546347845137,0.006054323719889699,0.59,-0.0065206610922120024,-0.0033167907820415236,1.5301507340297338e-05,1.5301507340297287e-05,0.002385496183206107,0.01383587786259542,0.020751521038975446,100000.0,0,nan,nan
