fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2089,20,sub-02 sub-03 sub-05 sub-07 sub-08 sub-10 sub-19 sub-21,3.2679723469050324e-19,-6.636787220026855e-19,0.46,-0.0005539667808179149,-0.0020903336432417027,0.0,0.0,0.003829583532790809,0.019147917663954045,0.02350244300959312,,,,
1,eeg_ridge_roi,2089,20,sub-02 sub-03 sub-05 sub-07 sub-08 sub-10 sub-19 sub-21,0.014415574785387212,0.014183808989508202,0.84,0.00852288885854322,0.007378468822939255,-0.08174987699584647,-0.08174987699584646,0.00430828147438966,0.018190521780756343,0.02475012905219564,158.48931924611142,0,nan,nan
1,shifted_null_roi,2089,20,sub-02 sub-03 sub-05 sub-07 sub-08 sub-10 sub-19 sub-21,0.0025338141286581533,0.003848585244890219,0.56,-0.005167692574571537,-0.007615415803988882,-0.02329223451647091,-0.02329223451647091,0.003350885591191958,0.0205840114887506,0.022571645408342864,464.1588833612782,0,nan,nan
2,train_mean,2125,20,sub-04 sub-06 sub-09 sub-12 sub-15 sub-16 sub-17,-7.464993107317332e-19,-1.419619382347099e-18,0.43,-0.00223109771833708,-0.0020378670756357993,0.0,0.0,0.0037647058823529413,0.018823529411764704,0.023186238225266973,,,,
2,eeg_ridge_roi,2125,20,sub-04 sub-06 sub-09 sub-12 sub-15 sub-16 sub-17,0.014193274621502857,0.012453231715319467,0.88,-0.0032697531921484476,-0.005379595475157049,-1.2379886829669033,-1.2379886829669033,0.002352941176470588,0.013176470588235295,0.02002729705003139,1359.356390878527,0,nan,nan
2,shifted_null_roi,2125,20,sub-04 sub-06 sub-09 sub-12 sub-15 sub-16 sub-17,-0.006460121216696687,-0.006274926984561021,0.31,-0.004261195875342541,-0.003815603556999805,-1.015207739053764,-1.0152077390537637,0.0042352941176470585,0.018823529411764704,0.023226957857333287,1359.356390878527,0,nan,nan
3,train_mean,2106,20,sub-04 sub-08 sub-11 sub-14 sub-16 sub-18 sub-22,2.4427916429298764e-19,-2.281996880988613e-19,0.49,-3.5651726447090574e-05,0.001219503984677352,0.0,0.0,0.003798670465337132,0.01899335232668566,0.02335390203038497,,,,
3,eeg_ridge_roi,2106,20,sub-04 sub-08 sub-11 sub-14 sub-16 sub-18 sub-22,0.009474689353034913,0.010392878152405733,0.71,-0.002997718603360535,-0.004082837068223821,-0.06606831945826479,-0.0660683194582648,0.005698005698005698,0.01899335232668566,0.02452771892672446,158.48931924611142,0,nan,nan
3,shifted_null_roi,2106,20,sub-04 sub-08 sub-11 sub-14 sub-16 sub-18 sub-22,0.01886961830916216,0.0201762623737405,0.82,0.0020047834246267287,-0.0009521895016779208,-0.07512154854075033,-0.07512154854075036,0.003798670465337132,0.01899335232668566,0.023127744001797533,158.48931924611142,0,nan,nan
4,train_mean,2127,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,-8.002603552990227e-19,2.322171299281225e-19,0.51,0.0003493317449732688,0.0010129873875996385,0.0,0.0,0.0037611659614480487,0.018805829807240243,0.02316854052203705,,,,
4,eeg_ridge_roi,2127,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,0.03484401422442043,0.0369099768681766,0.99,-0.0016655026343959046,-0.012389193696072134,-0.04285547784148927,-0.04285547784148928,0.009402914903620122,0.028678890456041373,0.029754462198512494,158.48931924611142,0,nan,nan
4,shifted_null_roi,2127,21,sub-01 sub-05 sub-06 sub-07 sub-14 sub-17 sub-20 sub-21,0.0009251161003299618,-0.0012218388449628521,0.49,0.004665703944048979,0.004916919292508938,-0.050093429391912074,-0.050093429391912074,0.0028208744710860366,0.015984955336154207,0.02257233753646503,158.48931924611142,0,nan,nan
5,train_mean,2127,21,sub-10 sub-13 sub-15 sub-17 sub-19 sub-20 sub-22,9.520179569037065e-19,9.36376502084444e-19,0.59,-0.0006928087608716591,-0.0001473627413018499,0.0,0.0,0.0037611659614480487,0.018805829807240243,0.023168869764904815,,,,
5,eeg_ridge_roi,2127,21,sub-10 sub-13 sub-15 sub-17 sub-19 sub-20 sub-22,0.028620540651466495,0.032580055212248986,0.88,0.0034838717986186056,0.0023155517756104473,-0.05056853626677142,-0.05056853626677142,0.005641748942172073,0.021626704278326282,0.02641354110621226,158.48931924611142,0,nan,nan
5,shifted_null_roi,2127,21,sub-10 sub-13 sub-15 sub-17 sub-19 sub-20 sub-22,-0.004906322803068166,-0.005806064244777351,0.39,0.0038684225046913983,0.006874070429415119,-0.06382531829288761,-0.0638253182928876,0.004231311706629055,0.01692524682651622,0.023018851453292306,158.48931924611142,0,nan,nan
