fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,
1,eeg_ridge_roi,2077,18,sub-10 sub-17 sub-18 sub-20,0.05399611259965221,0.055421280417509725,1.0,0.004641668812208787,0.001746336620947467,-0.059582896878726775,-0.05958289687872677,0.005296100144439095,0.02407318247472316,0.02610149474031241,158.48931924611142,0,nan,nan
1,shifted_null_roi,2077,18,sub-10 sub-17 sub-18 sub-20,0.0057011031493501355,0.003717087480352211,0.59,0.0007045554021506839,-0.000404499088347482,-0.0757233636439193,-0.0757233636439193,0.003370245546461242,0.023591718825228696,0.024961233121926857,158.48931924611142,0,nan,nan
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,
2,eeg_ridge_roi,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.006585915561204065,0.00881691455730885,0.73,-0.0029461053819650556,0.001347385901736338,-0.9246022490688708,-0.9246022490688707,0.002334267040149393,0.014939309056956116,0.021402198984504003,1359.356390878527,0,nan,nan
2,shifted_null_roi,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,-0.002678808106632156,-0.0044279678540312725,0.39,-0.0039459289541639705,-0.002209702150633211,-0.5246117323778405,-0.5246117323778406,0.003734827264239029,0.01727357609710551,0.022404975474813637,3981.071705534969,0,nan,nan
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,
3,eeg_ridge_roi,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.033328368364545474,0.03546897696348969,0.95,0.003041403144361477,0.0006228830259067248,-0.06405138374279215,-0.06405138374279215,0.005484460694698354,0.024680073126142597,0.02548753983798112,158.48931924611142,0,nan,nan
3,shifted_null_roi,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-0.022679221581400545,-0.02163589658679782,0.07,-0.0010782888995871272,0.004747626584291685,-0.08194303420784806,-0.08194303420784807,0.004113345521023766,0.02010968921389397,0.023869014643269664,158.48931924611142,0,nan,nan
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,
4,eeg_ridge_roi,2088,18,sub-06 sub-08 sub-14 sub-21,0.016737022602692865,0.015097773698236984,0.86,-0.0004959754447256308,-0.006771181601715583,-0.07215224977161555,-0.07215224977161556,0.004310344827586207,0.020593869731800767,0.02370416429515267,158.48931924611142,0,nan,nan
4,shifted_null_roi,2088,18,sub-06 sub-08 sub-14 sub-21,0.025657427878707326,0.02683567562822603,0.92,0.009431738920327412,0.010994116507069412,-0.04507216820248188,-0.04507216820248188,0.004310344827586207,0.022030651340996167,0.025880823531512994,158.48931924611142,0,nan,nan
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,
5,eeg_ridge_roi,2079,18,sub-07 sub-13 sub-15 sub-19,0.018081773150558752,0.017932709925452636,0.9,0.007812773977180155,0.00452211883415909,-0.07353722004004307,-0.07353722004004307,0.00481000481000481,0.024531024531024532,0.02662870619287807,158.48931924611142,0,nan,nan
5,shifted_null_roi,2079,18,sub-07 sub-13 sub-15 sub-19,-0.011473897272016347,-0.013250598177306644,0.23,-0.0004984506890641326,0.0036610391889660976,-0.1302114087223635,-0.13021140872236356,0.003367003367003367,0.01827801827801828,0.022885385785761755,158.48931924611142,0,nan,nan
