fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
1,real_eeg_ridge,Z_masked100,11625,5376,32,16,0.009791167751238561,0.007369422120973468,0.0404364098844564,0.040207622572779655,0.005082523705119635,0.004650297619047619,0.024553571428571428,0.026991968183727965,121.0,0.5199368288982259,0.03625870127399252,affective
1,shifted_null_ridge,Z_masked100,11625,5376,32,16,-0.0010009905427068588,-0.002463439537677914,-0.0025803983746254203,-0.0045502150896936655,-0.004109479330687504,0.003162202380952381,0.01878720238095238,0.023047258822281144,130.0,0.498264253618114,-0.0031475310387607544,affective
1,time_only_ridge,Z_masked100,11625,5376,32,16,0.006316558254781057,0.007414104184135795,0.0074479942718074284,0.021754913963377476,-7.844831514769446e-05,0.0033482142857142855,0.017671130952380952,0.023484150532018414,126.0,0.5077614379084968,0.007776129722342527,affective
1,train_mean,Z_masked100,11625,5376,32,16,-5.507954481398514e-09,-6.638724459051559e-09,0.011011278255601891,0.033768363296985626,-5.2988271049825286e-05,0.00390625,0.01953125,0.023923222511005003,128.5,0.5,1.3737261008374744e-18,affective
2,real_eeg_ridge,Z_masked100,11655,5376,32,16,0.008960011953604408,0.01034477585926652,0.031405386050066465,0.025407792069017887,0.001998822244838716,0.00427827380952381,0.019903273809523808,0.02496881736499093,123.0,0.515282154528478,0.027471679127518973,affective
2,shifted_null_ridge,Z_masked100,11655,5376,32,16,-0.006790603710214782,-0.003163923043757677,-0.0107705443689708,-0.015723404474556446,-0.005598437268407697,0.004650297619047619,0.01878720238095238,0.023844335030335388,132.0,0.4901457457983193,-0.012638351406042985,affective
2,time_only_ridge,Z_masked100,11655,5376,32,16,0.006040125612344127,0.004484951263293624,0.004992819097643132,0.0028987592086195946,2.033183038152586e-06,0.003720238095238095,0.02027529761904762,0.024831161224804475,127.0,0.5059144491129786,0.004639691393283019,affective
2,train_mean,Z_masked100,11655,5376,32,16,-1.9402222312441395e-10,-3.51847706525632e-09,-0.003677088847052936,-0.0001869154457381228,-8.261500411821388e-05,0.00390625,0.01953125,0.023923222511005003,128.5,0.5,1.2803911370305005e-18,affective
3,real_eeg_ridge,Z_masked100,11520,5376,32,16,0.01509088538477954,0.012662786524742842,0.03524642530283762,0.025365020148456097,0.005340724214989101,0.005766369047619048,0.023065476190476192,0.02725367597910757,123.0,0.5171685340802988,0.034843449838339355,affective
3,shifted_null_ridge,Z_masked100,11520,5376,32,16,-0.00034767771467159037,-0.005871906178072095,0.005803752993315248,-0.0020697145955637097,-0.0015922310770681847,0.0033482142857142855,0.020089285714285716,0.024104621544318843,129.0,0.5017302754435107,0.0022830437680971434,affective
3,time_only_ridge,Z_masked100,11520,5376,32,16,0.005611353987205803,0.005358784692361951,0.01210646345061372,0.012217814102768898,-0.00020938566616135468,0.003162202380952381,0.01878720238095238,0.02362395218633411,123.0,0.5103364262371616,0.01177336513726632,affective
3,train_mean,Z_masked100,11520,5376,32,16,-5.565485442874755e-09,-6.4059477722366864e-09,0.009528554352714633,0.01707235909998417,-4.897136313508632e-05,0.00390625,0.01953125,0.023923222511005,128.5,0.5,4.64658073922359e-19,affective
1,real_eeg_ridge,Z_masked100,3535,1356,32,16,-0.00676102396096212,-0.0018441081629134715,-0.04526453031250001,-0.05137215368449688,-0.017540901906977213,0.012536873156342183,0.0700589970501475,0.06686260488314533,34.0,0.4675407045429169,-0.04868124465426003,natview
1,shifted_null_ridge,Z_masked100,3535,1356,32,16,0.0017729210812831298,0.0015859836712479591,0.00886784167565367,0.02365911938250065,-0.011334532595364655,0.01327433628318584,0.07374631268436578,0.0726972601036246,31.0,0.5090889629053347,0.02181100219731784,natview
1,time_only_ridge,Z_masked100,3535,1356,32,16,-0.001984851001907373,0.0010548841091804206,0.007830822356331563,0.002292246150318533,-0.0012453536965180145,0.011799410029498525,0.06784660766961652,0.07017885297922077,31.0,0.5038396593982878,0.010798293566970362,natview
1,train_mean,Z_masked100,3535,1356,32,16,3.5447794329475832e-09,-2.5635692457726122e-09,-0.019679259453232185,-0.04856729693710804,-0.00013080576097701524,0.016224188790560472,0.08112094395280237,0.07614194702485022,31.5,0.5,2.0698405111086904e-19,natview
2,real_eeg_ridge,Z_masked100,3690,1231,32,16,-0.013282193620398175,-0.006368850124999881,0.006645115101286289,0.021792931482195854,-0.008040244414050601,0.01380991064175467,0.08692120227457352,0.07945803031786154,28.0,0.5022604935219752,0.002428504942818678,natview
