dataset,fold,n_test_seq,n_train_seq,target_space,target_variance_retained
affective_band,1,5376,11625,pca32,0.8494926691055298
affective_band,2,5376,11655,pca32,0.846934974193573
affective_band,3,5376,11520,pca32,0.846779465675354
affective_rawtf,1,5376,11625,pca32,0.8494926691055298
affective_rawtf,2,5376,11655,pca32,0.846934974193573
affective_rawtf,3,5376,11520,pca32,0.846779465675354
experience_band,1,1906,4902,pca32,0.8762075901031494
experience_band,2,1824,4939,pca32,0.8767125606536865
experience_band,3,1852,4896,pca32,0.8762297630310059
experience_rawtf,1,1906,4902,pca32,0.8762075901031494
experience_rawtf,2,1824,4939,pca32,0.8767125606536865
experience_rawtf,3,1852,4896,pca32,0.8762297630310059
xp2_band,1,1062,3737,pca32,0.8573006987571716
xp2_band,2,997,3847,pca32,0.8604305386543274
xp2_band,3,1049,3780,pca32,0.8579033613204956
xp2_rawtf,1,1062,3737,pca32,0.7883014678955078
xp2_rawtf,2,997,3847,pca32,0.7927678823471069
xp2_rawtf,3,1049,3780,pca32,0.7887860536575317
affective_labram,1,5376,11625,pca32,0.8494926691055298
affective_labram,2,5376,11655,pca32,0.846934974193573
affective_labram,3,5376,11520,pca32,0.846779465675354
natview_labram_neurostorm,1,1356,3535,pca32,0.514693558216095
natview_labram_neurostorm,2,1231,3690,pca32,0.5168417692184448
natview_labram_neurostorm,3,1394,3527,pca32,0.5154752731323242
