dataset,fold,n_test_seq,n_train_seq,target_space,target_variance_retained
affective_rawtf_lagm4,1,5376,11625,pca32,0.8495804071426392
affective_rawtf_lagm4,2,5376,11655,pca32,0.847009003162384
affective_rawtf_lagm4,3,5376,11520,pca32,0.8468698859214783
affective_patch_lagm4,1,5376,11625,pca32,0.8495804071426392
affective_patch_lagm4,2,5376,11655,pca32,0.847009003162384
affective_patch_lagm4,3,5376,11520,pca32,0.8468698859214783
experience_rawtf_lagp4,1,1894,4850,pca32,0.876474142074585
experience_rawtf_lagp4,2,1800,4899,pca32,0.8780101537704468
experience_rawtf_lagp4,3,1834,4850,pca32,0.876340389251709
experience_patch_bestlag,1,1894,4850,pca32,0.876474142074585
experience_patch_bestlag,2,1800,4899,pca32,0.8780101537704468
experience_patch_bestlag,3,1834,4850,pca32,0.876340389251709
xp2_rawtf_lagp2,1,1058,3707,pca32,0.7881796360015869
xp2_rawtf_lagp2,2,983,3827,pca32,0.7927454113960266
xp2_rawtf_lagp2,3,1043,3752,pca32,0.7883868217468262
xp2_patch_bestlag,1,1058,3707,pca32,0.7881796360015869
xp2_patch_bestlag,2,983,3827,pca32,0.7927454113960266
xp2_patch_bestlag,3,1043,3752,pca32,0.7883868217468262
natview_labram_schaefer100,1,1356,3535,pca32,0.9021137952804565
natview_labram_schaefer100,2,1231,3690,pca32,0.9025189876556396
natview_labram_schaefer100,3,1394,3527,pca32,0.9034801721572876
natview_labram_neurostorm,1,1356,3535,pca32,0.514693558216095
natview_labram_neurostorm,2,1231,3690,pca32,0.5168417692184448
natview_labram_neurostorm,3,1394,3527,pca32,0.5154752731323242
affective_labram,1,5376,11625,pca32,0.8494926691055298
affective_labram,2,5376,11655,pca32,0.846934974193573
affective_labram,3,5376,11520,pca32,0.846779465675354
