dataset,fold,n_test_seq,n_train_seq,target_space,target_variance_retained
affective_raw_lagm4,1,5376,11625,pca32,0.8495804071426392
affective_raw_lagm4,2,5376,11655,pca32,0.847009003162384
affective_raw_lagm4,3,5376,11520,pca32,0.8468698859214783
affective_tf_lagm4,1,5376,11625,pca32,0.8495804071426392
affective_tf_lagm4,2,5376,11655,pca32,0.847009003162384
affective_tf_lagm4,3,5376,11520,pca32,0.8468698859214783
affective_rawtf_lagm4,1,5376,11625,pca32,0.8495804071426392
affective_rawtf_lagm4,2,5376,11655,pca32,0.847009003162384
affective_rawtf_lagm4,3,5376,11520,pca32,0.8468698859214783
affective_rawtf_p16_lagm4,1,5376,11625,pca32,0.8495804071426392
affective_rawtf_p16_lagm4,2,5376,11655,pca32,0.847009003162384
affective_rawtf_p16_lagm4,3,5376,11520,pca32,0.8468698859214783
xp2_raw_lagp2,1,1058,3707,pca32,0.7881796360015869
xp2_raw_lagp2,2,983,3827,pca32,0.7927454113960266
xp2_raw_lagp2,3,1043,3752,pca32,0.7883868217468262
xp2_tf_lagp2,1,1058,3707,pca32,0.7881796360015869
xp2_tf_lagp2,2,983,3827,pca32,0.7927454113960266
xp2_tf_lagp2,3,1043,3752,pca32,0.7883868217468262
xp2_rawtf_lagp2,1,1058,3707,pca32,0.7881796360015869
xp2_rawtf_lagp2,2,983,3827,pca32,0.7927454113960266
xp2_rawtf_lagp2,3,1043,3752,pca32,0.7883868217468262
xp2_rawtf_p16_lagp2,1,1058,3707,pca32,0.7881796360015869
xp2_rawtf_p16_lagp2,2,983,3827,pca32,0.7927454113960266
xp2_rawtf_p16_lagp2,3,1043,3752,pca32,0.7883868217468262
