fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
1,real_eeg_ridge,Z_masked100,11625,5376,32,16,0.046248743106843904,0.046480560675263405,0.0812658687860822,0.07787706330418587,-0.03653528700153541,0.007626488095238095,0.034970238095238096,0.034340557523060485,109.0,0.5570764764239029,0.0787328395255169,affective_raw_lagm4
1,shifted_null_ridge,Z_masked100,11625,5376,32,16,0.0018669116107048467,0.009523635264486074,0.005107486620517473,0.011543798726052046,-0.07144199418158559,0.003162202380952381,0.01953125,0.023818020838708653,126.0,0.5049121732026143,0.0007484225841096396,affective_raw_lagm4
1,time_only_ridge,Z_masked100,11625,5376,32,16,0.006231887681678927,0.0071321160066872835,0.005327889831914403,0.014074060134589672,-7.003264077320992e-05,0.0033482142857142855,0.018973214285714284,0.02399005770303317,125.0,0.5077628968253968,0.007504352954705193,affective_raw_lagm4
1,train_mean,Z_masked100,11625,5376,32,16,-3.3253374593852913e-09,-3.6019587312807744e-09,-0.0031255024152761464,-0.005090968916192651,-4.5285872597888854e-05,0.00390625,0.01953125,0.023923222511005003,128.5,0.5,3.510749891857824e-19,affective_raw_lagm4
1,time_residual_eeg_ridge,Z_masked100_time_resid,11625,5376,32,16,0.046295189968077466,0.0461922325193882,0.08068204255751323,0.08099653199315071,-0.03664578249188177,0.00744047619047619,0.03422619047619048,0.03439971495607782,109.0,0.5579044117647058,0.07906193496164866,affective_raw_lagm4
1,time_residual_shifted_null,Z_masked100_time_resid,11625,5376,32,16,-0.0028902911089971894,0.0007981919625308365,0.002228981375581151,0.002001955348532647,-0.06117362781657687,0.0035342261904761905,0.018229166666666668,0.023363857431053486,128.5,0.5017105800653594,0.001000327629318277,affective_raw_lagm4
1,time_residual_mean,Z_masked100_time_resid,11625,5376,32,16,-1.3463330228447035e-09,-1.1465722260517452e-09,0.002539595836150879,0.009986068587750196,-7.659424611761168e-05,0.00390625,0.01953125,0.023923222511005,128.5,0.5,-9.809448227249802e-20,affective_raw_lagm4
2,real_eeg_ridge,Z_masked100,11655,5376,32,16,0.04806048097816529,0.04732376150786877,0.06786802807773792,0.07783355936408043,-0.0482778187103714,0.006882440476190476,0.03162202380952381,0.03232220834294411,111.0,0.5488394316059758,0.06793206894592296,affective_raw_lagm4
2,shifted_null_ridge,Z_masked100,11655,5376,32,16,0.0037778364048790536,0.005227572517469525,0.0027900448683313003,0.009851665701717138,-0.06676224931571517,0.0035342261904761905,0.01878720238095238,0.02353396217874288,126.0,0.5055927579365079,0.005163821990522298,affective_raw_lagm4
2,time_only_ridge,Z_masked100,11655,5376,32,16,0.005991609397369757,0.0036363129038363695,0.0009148068447919806,-0.0033925018506124616,-1.0703594700567365e-05,0.0033482142857142855,0.020089285714285716,0.02414775351066244,129.0,0.5038077731092437,0.0018092665167340671,affective_raw_lagm4
