context_steps,target_pca_dim,dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,residual_status,residual_reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,residual_row_corr,n_samples,n_runs,n_subjects,target_dim
16,16,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5141143578643579,0.5060776414943081,0.4992509419592753,0.5,0.0080367163700497,0.0148634159050826,0.032528172790015,0.0357376535619486,0.0163352331437636,fail,rank<0.52,0.5155548540965208,0.4989453062369729,0.0166095478595478,0.0323508091170774,0.0331493513429021,9273,33,33,100
16,16,natview_neurostorm,Z_neurostorm,fail,rank<0.52,0.5198566147795608,0.4916205259633481,0.5137801011430332,0.5,0.0282360888162126,0.0060765136365276,0.0242061617486038,0.0300385165685042,0.0108959490486692,fail,rank<0.52,0.5183757635802368,0.5022060079699738,0.016169755610263,0.0225120550305887,0.0271612402521146,5811,22,22,2304
16,16,xp2,Z_masked76,pass,,0.5515904044827664,0.5125112727710687,0.5247718642818033,0.5,0.0390791317116977,0.026818540200963,0.072228867618835,0.0745679230096308,0.0766043458158189,pass,,0.5428412556491948,0.5135502063402922,0.0292910493089025,0.0632656914348619,0.0760601655011281,5474,17,17,76
16,16,affective,Z_masked100,pass,,0.5249603660908808,0.4958084101696234,0.5075985255213196,0.5,0.0291519559212573,0.0173618405695612,0.0432050155427166,0.0458137534919059,0.0274431707163482,pass,,0.5228906493152816,0.5003725101151572,0.0225181392001244,0.0404274931647503,0.0419256616361894,19506,21,21,100
16,16,experience,Z_masked100,time_dominated,time_beats_real,0.5592272759666548,0.4921549284798654,0.59019052055737,0.5,0.0670723474867893,-0.0309632445907152,0.1180368305275699,0.0972674607473179,0.0567504538745803,pass,,0.5394195488056317,0.4988953091966581,0.0405242396089735,0.0852387680482796,0.0709424782344311,7909,24,24,100
16,16,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5050232245716324,0.4944166409283436,0.506674339472862,0.5,0.0106065836432887,-0.0016511149012296,0.0042897383921404,0.0155328533824171,0.0069730907362099,confounded,rank<0.52|diag<0.02|shifted_close,0.5054323186430337,0.498374200076155,0.0070581185668787,0.0052127776394368,0.015804239119862,6883,19,19,100
16,16,natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4944564901793682,0.5019301149797403,0.5050202344473069,0.5,-0.007473624800372,-0.0105637442679386,-0.0011006462386214,-0.0010293162094971,-0.0010718633038777,confounded,rank<0.52|diag<0.02|shifted_close,0.4961062125675222,0.5127017301691691,-0.0165955176016469,-0.0008918916538428,-0.0007579015955458,5811,22,22,100
16,16,gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.485696705083066,0.4961823094337187,0.4985972018300595,0.5,-0.0104856043506527,-0.0129004967469935,-0.0158054973603254,-0.0599922549102091,-0.042363923768183,confounded,rank<0.52|diag<0.02|shifted_close,0.4886821595361056,0.5106427685739122,-0.0219606090378065,-0.0043032109803351,-0.0385268779428204,3113,28,28,100
16,32,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5154621612954946,0.5060375581208914,0.5006237974987974,0.4999974947891614,0.0094246031746032,0.0148383637966972,0.0310453430622794,0.0337180401344438,0.0122764101082187,fail,rank<0.52,0.5165669592752926,0.4982889409972743,0.0182780182780182,0.031166786334653,0.0318989244542099,9273,33,33,100
16,32,natview_neurostorm,Z_neurostorm,fail,rank<0.52,0.5198224571019047,0.4893503174754676,0.5135398012006592,0.5,0.030472139626437,0.0062826559012454,0.0212081566903388,0.025624098674745,0.0074958775021514,fail,rank<0.52,0.5188439253988522,0.5036036418164714,0.0152402835823807,0.0200576176720377,0.0235922544447785,5811,22,22,2304
