eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,residual_latent_corr_mean,pca_explained_variance,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,best_epoch,best_val_mse,epochs_ran
Affective_music_listening_OpenNeuro_ds002725,1,time_dataset_ridge,13007,6499,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15,0.1058874586597085,nan,0.7951211929321289,0.10314246486814227,0.07612628862261772,0.640625,-0.004899605890836797,-0.02749672532081604,-0.03262428194284439,-0.032624274492263794,0.0,nan,0.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_raw_transformer,51851,6499,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15,0.040006625873502344,nan,0.7951211929321289,0.0014330342205539637,0.022924582473933697,0.640625,-0.0070380830997202925,-0.02749188430607319,-0.0032258257269859314,-0.003225823864340782,1.0,1.011489097681768,4.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_shifted_null,51851,6499,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15,-0.01089535467326641,nan,0.7951211929321289,0.015907369052456488,0.03256045654416084,0.625,0.010525908634195339,0.05026646703481674,-0.0031670918688178062,-0.0031670937314629555,1.0,1.0128155772983378,4.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_residual_raw_transformer,51851,6499,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15,0.1268537580035627,0.06006414629518986,0.7951211929321289,0.10924925950530451,0.07258294522762299,0.671875,0.01339721487908472,-0.0037382454611361027,-0.036291807889938354,-0.03629179298877716,1.0,0.9155837947199733,4.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_residual_shifted_null,51851,6499,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15,0.10332197928801179,-0.02137296466389671,0.7951211929321289,0.10201071715709986,0.08430321514606476,0.640625,0.0065288356497701285,5.4200376325752586e-05,-0.056622739881277084,-0.056622736155986786,1.0,0.9186159403656342,4.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,time_dataset_ridge,3542,1932,sub-xp201 sub-xp202 sub-xp203 sub-xp210 sub-xp211 sub-xp219,0.19141455413773656,nan,0.8592327833175659,0.4527691170187609,0.45097576081752777,0.796875,0.43684192386761456,0.5318421125411987,0.2980395555496216,0.29803958535194397,0.0,nan,0.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_raw_transformer,56418,1932,sub-xp201 sub-xp202 sub-xp203 sub-xp210 sub-xp211 sub-xp219,-0.011465367395430803,nan,0.8592327833175659,0.035584709694376215,0.03814065642654896,0.78125,-0.03291290708548105,-0.0300750769674778,-0.0022081900388002396,-0.002208191202953458,1.0,0.9370317534259203,4.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_shifted_null,56418,1932,sub-xp201 sub-xp202 sub-xp203 sub-xp210 sub-xp211 sub-xp219,0.0074882046901620924,nan,0.8592327833175659,0.013276363946260972,0.014786234591156244,0.6875,-0.014670995562893354,-0.04555530101060867,-0.03131040930747986,-0.03131041303277016,2.0,0.9378517798922554,5.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_residual_raw_transformer,56418,1932,sub-xp201 sub-xp202 sub-xp203 sub-xp210 sub-xp211 sub-xp219,0.19401968270540237,0.017045848537236452,0.8592327833175659,0.4550441746596334,0.4516444504261017,0.828125,0.43224165756783084,0.5204750895500183,0.29793721437454224,0.2979372441768646,1.0,0.8616171089636099,4.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_residual_shifted_null,56418,1932,sub-xp201 sub-xp202 sub-xp203 sub-xp210 sub-xp211 sub-xp219,0.19252480333670974,0.0053138581570237875,0.8592327833175659,0.45319589182508935,0.44943833351135254,0.796875,0.4332842433293192,0.5325863063335419,0.2939086854457855,0.2939087152481079,3.0,0.8571828202882533,6.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,time_dataset_ridge,5394,2515,sub-001 sub-002 sub-004 sub-007 sub-013 sub-015 sub-016 sub-021,0.20378346100915223,nan,0.7839117050170898,0.1412933310821245,0.16559404134750366,0.796875,0.15111776784570516,0.18116548657417297,0.013775025494396687,0.013775021769106388,0.0,nan,0.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_raw_transformer,55835,2515,sub-001 sub-002 sub-004 sub-007 sub-013 sub-015 sub-016 sub-021,0.048702663654694334,nan,0.7839117050170898,0.02031916943815304,0.018874162808060646,0.6875,0.014029105294821691,0.013002615422010422,-0.0038564102724194527,-0.003856409341096878,1.0,1.0262863004978764,4.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_shifted_null,55835,2515,sub-001 sub-002 sub-004 sub-007 sub-013 sub-015 sub-016 sub-021,-0.014658895852335263,nan,0.7839117050170898,-0.0037492231176656787,-0.00524968805257231,0.390625,0.007026520711698749,-0.02337380312383175,-0.019923429936170578,-0.01992342807352543,2.0,1.021313548533827,5.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_residual_raw_transformer,55835,2515,sub-001 sub-002 sub-004 sub-007 sub-013 sub-015 sub-016 sub-021,0.2036688190419227,0.000822129804873839,0.7839117050170898,0.1408442389429183,0.1640424057841301,0.78125,0.12512078657496647,0.1494462788105011,0.0019022868946194649,0.0019022818887606263,1.0,0.9316985361982905,4.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_residual_shifted_null,55835,2515,sub-001 sub-002 sub-004 sub-007 sub-013 sub-015 sub-016 sub-021,0.20306394330691546,-0.015179460169747472,0.7839117050170898,0.14064220202362776,0.1644129380583763,0.796875,0.15672696974137684,0.17574632167816162,0.009493951685726643,0.009493947960436344,1.0,0.928102086803703,4.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,time_dataset_ridge,6182,3091,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-14 sub-17 sub-18 sub-25 sub-32,0.18114414531737566,nan,0.6652355194091797,0.2347302229318302,0.1835482269525528,0.921875,0.1244216624143443,0.11432278156280518,0.08289286494255066,0.08289285004138947,0.0,nan,0.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,pooled_raw_transformer,55259,3091,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-14 sub-17 sub-18 sub-25 sub-32,0.08162933943094686,nan,0.6652355194091797,0.1032847775350092,0.10726731643080711,0.6875,0.008837003559811906,0.000501492468174547,0.014277352951467037,0.014277349226176739,1.0,1.0288918341490798,4.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,pooled_shifted_null,55259,3091,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-14 sub-17 sub-18 sub-25 sub-32,0.009489204036071897,nan,0.6652355194091797,0.026581443527902593,0.04391350597143173,0.671875,0.0029788621638940174,-0.01330759096890688,-0.0028364425525069237,-0.0028364425525069237,1.0,1.0310191928479513,4.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,pooled_residual_raw_transformer,55259,3091,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-14 sub-17 sub-18 sub-25 sub-32,0.1767268383409828,-0.022285898681730032,0.6652355194091797,0.23429753932396125,0.18079514056444168,0.921875,0.11640725542343718,0.10900324583053589,0.07890114188194275,0.07890111953020096,1.0,0.9324137722323109,4.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,pooled_residual_shifted_null,55259,3091,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-14 sub-17 sub-18 sub-25 sub-32,0.1792755643837154,0.015050941263325512,0.6652355194091797,0.23559674473654013,0.1860980987548828,0.921875,0.11638945889239588,0.10747380554676056,0.07865506410598755,0.07865505665540695,2.0,0.9301484685196669,5.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,time_dataset_ridge,4691,2557,sub-02 sub-04 sub-08 sub-11 sub-18 sub-20 sub-22,0.2123435706307646,nan,0.7883056998252869,0.33672385957470397,0.2904569059610367,0.921875,0.35730984256214515,0.43410271406173706,0.15132775902748108,0.15132780373096466,0.0,nan,0.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,pooled_raw_transformer,55793,2557,sub-02 sub-04 sub-08 sub-11 sub-18 sub-20 sub-22,0.08501072297804058,nan,0.7883056998252869,0.18114768618215749,0.1771281734108925,0.890625,0.07199717391048664,0.06999396532773972,0.030414052307605743,0.03041405975818634,1.0,1.0293670236549048,4.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,pooled_shifted_null,55793,2557,sub-02 sub-04 sub-08 sub-11 sub-18 sub-20 sub-22,0.04509603715268895,nan,0.7883056998252869,0.03945059649049654,0.030153678730130196,0.609375,0.030853315363367665,0.0035732327960431576,-0.007287830114364624,-0.007287830580025911,2.0,1.0163829096456083,5.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,pooled_residual_raw_transformer,55793,2557,sub-02 sub-04 sub-08 sub-11 sub-18 sub-20 sub-22,0.2165303381625563,0.041950385784730315,0.7883056998252869,0.3380732382647693,0.29369688034057617,0.90625,0.3543267713701331,0.4275358021259308,0.1480187028646469,0.1480187326669693,1.0,0.9303440895364562,4.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,pooled_residual_shifted_null,55793,2557,sub-02 sub-04 sub-08 sub-11 sub-18 sub-20 sub-22,0.21514456567820162,0.005706752184778452,0.7883056998252869,0.34369395487647125,0.29648078978061676,0.9375,0.3485824435958636,0.4241863489151001,0.14212390780448914,0.14212395250797272,3.0,0.9297542851436149,6.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,time_dataset_ridge,1980,1133,sub-001 sub-002 sub-004 sub-005 sub-008 sub-014 sub-016 sub-018 sub-022 sub-025,0.20474362140521407,nan,0.6374292373657227,0.11665865076429327,0.08241922035813332,0.734375,0.16289255165100214,0.1730317771434784,0.017888143658638,0.01788814552128315,0.0,nan,0.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,pooled_raw_transformer,57217,1133,sub-001 sub-002 sub-004 sub-005 sub-008 sub-014 sub-016 sub-018 sub-022 sub-025,0.04766307235695422,nan,0.6374292373657227,0.043272978384266025,0.04723490960896015,0.890625,0.011733879906101528,0.025924600660800934,-0.0016958042979240417,-0.0016958046471700072,1.0,1.046519044535926,4.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,pooled_shifted_null,57217,1133,sub-001 sub-002 sub-004 sub-005 sub-008 sub-014 sub-016 sub-018 sub-022 sub-025,0.014016625500516966,nan,0.6374292373657227,0.003144767795674852,-0.0005425966228358448,0.484375,-0.00448001257332152,0.0038827855605632067,-0.0035074185580015182,-0.003507418092340231,2.0,1.0434474511028522,5.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,pooled_residual_raw_transformer,57217,1133,sub-001 sub-002 sub-004 sub-005 sub-008 sub-014 sub-016 sub-018 sub-022 sub-025,0.2055170510429889,0.018098803353495896,0.6374292373657227,0.1182988493327457,0.07895734161138535,0.75,0.14842907117436405,0.16592614352703094,0.011140255257487297,0.011140258982777596,1.0,0.9487034352929289,4.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,pooled_residual_shifted_null,57217,1133,sub-001 sub-002 sub-004 sub-005 sub-008 sub-014 sub-016 sub-018 sub-022 sub-025,0.20567501126788557,0.009936276270309463,0.6374292373657227,0.11740203330373333,0.08097579702734947,0.75,0.144302104273364,0.15444761514663696,0.011832784861326218,0.011832788586616516,2.0,0.9426888036639663,5.0
natview,1,time_dataset_ridge,3634,2193,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15 sub-17,0.00030728260753676295,nan,0.7485293745994568,-0.009834346732823178,-0.0089508225210011,0.37,-0.003103081904709716,-0.0016987057169899344,-2.495527223800309e-05,-2.4955264962045476e-05,0.0,nan,0.0
natview,1,pooled_raw_transformer,56157,2193,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15 sub-17,0.002018411469180137,nan,0.7485293745994568,-0.011377166638849303,-0.013226271141320467,0.16,-0.0018369923418736433,-0.001727239927276969,-0.015910563990473747,-0.015910562127828598,1.0,1.0579851941109386,4.0
natview,1,pooled_shifted_null,56157,2193,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15 sub-17,0.0014196274132700637,nan,0.7485293745994568,0.00863880142220296,0.009641433600336313,0.67,-0.0015927745786972103,-0.00311949267052114,-0.006831077393144369,-0.006831076927483082,3.0,1.0423478915303015,6.0
natview,1,pooled_residual_raw_transformer,56157,2193,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15 sub-17,0.00426023337058723,0.0032910235167946666,0.7485293745994568,0.004964417529990896,0.004906210349872708,0.73,-0.003750659047575867,-0.007168877404183149,-0.006046751514077187,-0.006046751514077187,1.0,0.9490961474107724,4.0
natview,1,pooled_residual_shifted_null,56157,2193,sub-01 sub-02 sub-04 sub-07 sub-11 sub-13 sub-15 sub-17,-0.0035222226288169622,-0.0053073229573783465,0.7485293745994568,-0.006649773373210337,-0.009346549864858389,0.28,0.0031009043563538256,0.005624542944133282,-0.004070774186402559,-0.004070774186402559,2.0,0.9432488430265649,5.0
