fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,calib_frac,n_calib_seq
1,real_eeg_ridge,calib0,12736,2863,32,16,0.0018225538183287426,0.000573285054997541,0.012227605472641604,0.0165975634008646,-0.531073296904081,0.0013971358714634998,0.012224938875305624,0.015472441633654433,198.0,0.5114638765041468,0.011395839451108896,affective,0.0,0
1,shifted_null_ridge,calib0,12736,2863,32,16,-0.00439970320132943,-0.004635361838154495,-0.00016612205191585548,0.007867696695029736,-0.5046064652212368,0.0013971358714634998,0.010129235068110374,0.014276911722406992,202.0,0.496388164067583,-0.004040741786272609,affective,0.0,0
1,time_only_ridge,calib0,12736,2863,32,16,-0.0005367684225348057,2.875101927202195e-05,0.007838996344673272,0.0037279431708157063,-1.3027592965730861e-05,0.0027942717429269995,0.012923506811037374,0.01683301941385611,208.0,0.5001754980720895,0.0028683553999907276,affective,0.0,0
1,train_mean,calib0,12736,2863,32,16,-2.881780410792906e-09,-6.5056693365761475e-09,-0.0044827775640285976,-0.011050635017454624,-6.415598545972401e-06,0.0024449877750611247,0.012224938875305624,0.016117733048088983,205.0,0.5,4.414251702262411e-19,affective,0.0,0
1,time_residual_eeg_ridge,calib0_time_resid,12736,2863,32,16,0.0018384063350822544,0.0004433067515492439,0.01068274008796215,0.013487620279192924,-0.5297822417225944,0.0013971358714634998,0.011526370939573873,0.01540077000835111,198.0,0.5114493230054858,0.011483430498136887,affective,0.0,0
1,time_residual_shifted_null,calib0_time_resid,12736,2863,32,16,-0.0004695993266068399,-0.0013881686027161777,0.009041842016676863,0.008147310465574265,-0.64064103683719,0.0034928396786587496,0.011177086971707998,0.017291481033164996,200.0,0.5082235828316657,0.009611937833026229,affective,0.0,0
1,time_residual_mean,calib0_time_resid,12736,2863,32,16,2.3540710908376283e-09,1.4044258811463095e-09,0.003315375835496497,0.0016014798311516643,-5.957299387349124e-06,0.0024449877750611247,0.012224938875305624,0.016117733048088983,205.0,0.5,4.956352788505163e-19,affective,0.0,0
2,real_eeg_ridge,calib0,12742,2861,32,16,0.007204676542642119,0.015156949404627085,0.028612095747600267,0.03908941522240639,-0.2436661394728159,0.0013981125480601187,0.016777350576721427,0.017276074924778416,195.0,0.5184042912926239,0.022759861018247434,affective,0.0,0
2,shifted_null_ridge,calib0,12742,2861,32,16,-0.006527468649437651,-0.011761920992285013,-0.01620424879567527,-0.023590469732880592,-0.1920407565161626,0.0013981125480601187,0.01048584411045089,0.014554679202222155,208.0,0.49634460685647064,-0.00378734397829959,affective,0.0,0
2,time_only_ridge,calib0,12742,2861,32,16,-9.112674035804957e-06,-0.0009407666220795363,-0.016790894980010275,-0.02809595689177513,-5.970592613735448e-05,0.0010485844110450892,0.01048584411045089,0.014414526796329954,204.0,0.4965354707250689,-0.0025085522502269536,affective,0.0,0
