dataset_name,calib_frac,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,n_train_mean,n_test_mean,n_calib_seq_mean
affective,0.0,fail,rank<0.52,0.5161549902737197,0.4988702834243843,0.4995725464786913,0.01728470684933542,0.01658244379502838,0.02028717228978023,0.5165736193461563,0.5028071437618276,0.013766475584328752,0.021053387574106467,12738.0,2862.3333333333335,0.0
affective,0.05,fail,rank<0.52,0.5176333123700801,0.5012948826386884,0.5014582219937731,0.016338429731391768,0.016175090376307044,0.024265140632126467,0.5181985803081105,0.5011945769293412,0.017004003378769283,0.02473480302236905,13053.0,2862.3333333333335,315.0
affective,0.1,fail,rank<0.52,0.5191707107418626,0.5035153649051979,0.5010223304321394,0.015655345836664725,0.01814838030972321,0.024947330412716805,0.5197998487421979,0.5085505497454896,0.011249298996708235,0.02562107209501413,13374.333333333334,2862.3333333333335,636.3333333333334
affective,0.2,pass,,0.5224295605078547,0.49472162658397845,0.49975602969227834,0.02770793392387627,0.02267353081557638,0.030884376596362575,0.5234284305158975,0.4998083505593313,0.023620079956566176,0.031998809526709346,14011.333333333334,2862.3333333333335,1273.3333333333333
affective,0.4,pass,,0.536757719472538,0.508804537117319,0.49981523000068906,0.02795318235521904,0.03694248947184897,0.04844974436285234,0.5374289097119817,0.49255708175603646,0.04487182795594519,0.04937588675543823,15285.0,2862.3333333333335,2547.0
experience,0.0,confounded,rank<0.52|diag<0.02|shifted_close,0.5164169991041329,0.501153553829494,0.5854547005933757,0.015263445274638854,-0.06903770148924282,0.022394348056516526,0.5110829407627917,0.5033542674283166,0.0077286733344751335,0.014407818003893085,4968.666666666667,1115.0,0.0
experience,0.05,fail,rank<0.52,0.5271810980990326,0.5030050647286495,0.5846740926735942,0.0241760333703831,-0.057492994574561584,0.03599232316386553,0.5184993515882564,0.494617005514471,0.02388234607378542,0.025913026103743075,5089.0,1115.0,120.33333333333333
experience,0.1,fail,rank<0.52,0.5248238779776108,0.4892614019518196,0.5855090718891031,0.035562476025791157,-0.0606851939114923,0.036165988459590674,0.5179396959333102,0.49471499629504917,0.02322469963826107,0.02675376083864607,5213.0,1115.0,244.33333333333334
experience,0.2,pass,,0.5358219208789895,0.5054085938617254,0.5859310300169637,0.03041332701726407,-0.05010910913797417,0.049525033979648025,0.5274506480422391,0.49382339012863957,0.033627257913599495,0.03647532748413717,5462.0,1115.0,493.3333333333333
experience,0.4,pass,,0.5447971213109833,0.5017964917834741,0.5880042636332733,0.04300062952750927,-0.04320714232228995,0.06172651939885674,0.5348655695631543,0.5092478312320594,0.02561773833109493,0.04574164284414021,5959.0,1115.0,990.3333333333334
xp2,0.0,confounded,rank<0.52|diag<0.02|shifted_close,0.502676125545114,0.49849886370616053,0.5209716847859468,0.00417726183895345,-0.018295559240832815,0.0032775502822880807,0.5045457895706652,0.4957453473373872,0.008800442233278027,0.00425752728542918,3422.6666666666665,765.0,0.0
xp2,0.05,fail,rank<0.52|diag<0.02,0.5055656900681776,0.5010374055647687,0.5185111479638843,0.004528284503408919,-0.012945457895706669,0.006057971602886926,0.5051077943615258,0.48936736072722803,0.015740433634297724,0.007256344345709614,3507.6666666666665,765.0,85.0
xp2,0.1,confounded,rank<0.52|diag<0.02|shifted_close,0.5057379767827529,0.5080259197837971,0.5193016399484062,-0.0022879430010441792,-0.013563663165653272,0.006023710087767299,0.5046489773355445,0.5004453043424851,0.004203672993059349,0.007093163698711216,3592.6666666666665,765.0,170.0
xp2,0.2,confounded,rank<0.52|diag<0.02|shifted_close,0.5146557336772926,0.501789816350347,0.5213746084392851,0.01286591732694553,-0.0067188747619925104,0.014797915456366668,0.5125305570910877,0.5045273631840795,0.00800319390700821,0.012740569949516145,3762.6666666666665,765.0,340.0
xp2,0.4,fail,rank<0.52,0.5241551501750507,0.4942663227074504,0.5268067072047172,0.029888827467600243,-0.0026515570296665736,0.027350793221855237,0.5193446348504392,0.5075787728026534,0.011765862047785847,0.022888921139463312,4102.666666666667,765.0,680.0
