calib_frac,dataset_name,fold,n_calib,n_calib_seq,n_seq,n_test,n_test_seq,n_train_seq,status,subject,target_space,target_variance_retained,test_start_seq_pos
0.0,affective,1,0,,910,409,,,ok,sub-05,,,501
0.0,affective,1,0,,910,409,,,ok,sub-08,,,501
0.0,affective,1,0,,910,409,,,ok,sub-11,,,501
0.0,affective,1,0,,910,409,,,ok,sub-13,,,501
0.0,affective,1,0,,910,409,,,ok,sub-17,,,501
0.0,affective,1,0,,911,409,,,ok,sub-18,,,502
0.0,affective,1,0,,910,409,,,ok,sub-19,,,501
0.0,affective,1,,0,,,2863,12736,,,pca32,0.8648324608802795,
0.0,affective,2,0,,906,407,,,ok,sub-01,,,499
0.0,affective,2,0,,910,409,,,ok,sub-02,,,501
0.0,affective,2,0,,909,409,,,ok,sub-03,,,500
0.0,affective,2,0,,910,409,,,ok,sub-06,,,501
0.0,affective,2,0,,910,409,,,ok,sub-07,,,501
0.0,affective,2,0,,910,409,,,ok,sub-12,,,501
0.0,affective,2,0,,910,409,,,ok,sub-16,,,501
0.0,affective,2,,0,,,2861,12742,,,pca32,0.8403690457344055,
0.0,affective,3,0,,910,409,,,ok,sub-04,,,501
0.0,affective,3,0,,910,409,,,ok,sub-09,,,501
0.0,affective,3,0,,910,409,,,ok,sub-10,,,501
0.0,affective,3,0,,910,409,,,ok,sub-14,,,501
0.0,affective,3,0,,910,409,,,ok,sub-15,,,501
0.0,affective,3,0,,911,409,,,ok,sub-20,,,502
0.0,affective,3,0,,910,409,,,ok,sub-21,,,501
0.0,affective,3,,0,,,2863,12736,,,pca32,0.8513944745063782,
0.05,affective,1,45,,910,409,,,ok,sub-05,,,501
0.05,affective,1,45,,910,409,,,ok,sub-08,,,501
0.05,affective,1,45,,910,409,,,ok,sub-11,,,501
0.05,affective,1,45,,910,409,,,ok,sub-13,,,501
0.05,affective,1,45,,910,409,,,ok,sub-17,,,501
0.05,affective,1,45,,911,409,,,ok,sub-18,,,502
0.05,affective,1,45,,910,409,,,ok,sub-19,,,501
0.05,affective,1,,315,,,2863,13051,,,pca32,0.8631650805473328,
0.05,affective,2,45,,906,407,,,ok,sub-01,,,499
0.05,affective,2,45,,910,409,,,ok,sub-02,,,501
0.05,affective,2,45,,909,409,,,ok,sub-03,,,500
0.05,affective,2,45,,910,409,,,ok,sub-06,,,501
0.05,affective,2,45,,910,409,,,ok,sub-07,,,501
0.05,affective,2,45,,910,409,,,ok,sub-12,,,501
0.05,affective,2,45,,910,409,,,ok,sub-16,,,501
0.05,affective,2,,315,,,2861,13057,,,pca32,0.8401585221290588,
0.05,affective,3,45,,910,409,,,ok,sub-04,,,501
0.05,affective,3,45,,910,409,,,ok,sub-09,,,501
0.05,affective,3,45,,910,409,,,ok,sub-10,,,501
0.05,affective,3,45,,910,409,,,ok,sub-14,,,501
0.05,affective,3,45,,910,409,,,ok,sub-15,,,501
0.05,affective,3,45,,911,409,,,ok,sub-20,,,502
0.05,affective,3,45,,910,409,,,ok,sub-21,,,501
0.05,affective,3,,315,,,2863,13051,,,pca32,0.850487470626831,
0.1,affective,1,91,,910,409,,,ok,sub-05,,,501
0.1,affective,1,91,,910,409,,,ok,sub-08,,,501
0.1,affective,1,91,,910,409,,,ok,sub-11,,,501
0.1,affective,1,91,,910,409,,,ok,sub-13,,,501
0.1,affective,1,91,,910,409,,,ok,sub-17,,,501
0.1,affective,1,91,,911,409,,,ok,sub-18,,,502
0.1,affective,1,91,,910,409,,,ok,sub-19,,,501
0.1,affective,1,,637,,,2863,13373,,,pca32,0.8619002103805542,
0.1,affective,2,90,,906,407,,,ok,sub-01,,,499
0.1,affective,2,91,,910,409,,,ok,sub-02,,,501
0.1,affective,2,90,,909,409,,,ok,sub-03,,,500
0.1,affective,2,91,,910,409,,,ok,sub-06,,,501
0.1,affective,2,91,,910,409,,,ok,sub-07,,,501
0.1,affective,2,91,,910,409,,,ok,sub-12,,,501
0.1,affective,2,91,,910,409,,,ok,sub-16,,,501
0.1,affective,2,,635,,,2861,13377,,,pca32,0.8402413725852966,
0.1,affective,3,91,,910,409,,,ok,sub-04,,,501
0.1,affective,3,91,,910,409,,,ok,sub-09,,,501
0.1,affective,3,91,,910,409,,,ok,sub-10,,,501
0.1,affective,3,91,,910,409,,,ok,sub-14,,,501
0.1,affective,3,91,,910,409,,,ok,sub-15,,,501
0.1,affective,3,91,,911,409,,,ok,sub-20,,,502
0.1,affective,3,91,,910,409,,,ok,sub-21,,,501
0.1,affective,3,,637,,,2863,13373,,,pca32,0.8495291471481323,
0.2,affective,1,182,,910,409,,,ok,sub-05,,,501
0.2,affective,1,182,,910,409,,,ok,sub-08,,,501
0.2,affective,1,182,,910,409,,,ok,sub-11,,,501
0.2,affective,1,182,,910,409,,,ok,sub-13,,,501
0.2,affective,1,182,,910,409,,,ok,sub-17,,,501
0.2,affective,1,182,,911,409,,,ok,sub-18,,,502
0.2,affective,1,182,,910,409,,,ok,sub-19,,,501
0.2,affective,1,,1274,,,2863,14010,,,pca32,0.8592003583908081,
0.2,affective,2,181,,906,407,,,ok,sub-01,,,499
0.2,affective,2,182,,910,409,,,ok,sub-02,,,501
0.2,affective,2,181,,909,409,,,ok,sub-03,,,500
0.2,affective,2,182,,910,409,,,ok,sub-06,,,501
0.2,affective,2,182,,910,409,,,ok,sub-07,,,501
0.2,affective,2,182,,910,409,,,ok,sub-12,,,501
0.2,affective,2,182,,910,409,,,ok,sub-16,,,501
0.2,affective,2,,1272,,,2861,14014,,,pca32,0.8405401706695557,
0.2,affective,3,182,,910,409,,,ok,sub-04,,,501
0.2,affective,3,182,,910,409,,,ok,sub-09,,,501
0.2,affective,3,182,,910,409,,,ok,sub-10,,,501
0.2,affective,3,182,,910,409,,,ok,sub-14,,,501
0.2,affective,3,182,,910,409,,,ok,sub-15,,,501
0.2,affective,3,182,,911,409,,,ok,sub-20,,,502
0.2,affective,3,182,,910,409,,,ok,sub-21,,,501
0.2,affective,3,,1274,,,2863,14010,,,pca32,0.8487422466278076,
0.4,affective,1,364,,910,409,,,ok,sub-05,,,501
0.4,affective,1,364,,910,409,,,ok,sub-08,,,501
0.4,affective,1,364,,910,409,,,ok,sub-11,,,501
0.4,affective,1,364,,910,409,,,ok,sub-13,,,501
0.4,affective,1,364,,910,409,,,ok,sub-17,,,501
0.4,affective,1,364,,911,409,,,ok,sub-18,,,502
0.4,affective,1,364,,910,409,,,ok,sub-19,,,501
0.4,affective,1,,2548,,,2863,15284,,,pca32,0.854928195476532,
0.4,affective,2,362,,906,407,,,ok,sub-01,,,499
0.4,affective,2,364,,910,409,,,ok,sub-02,,,501
0.4,affective,2,363,,909,409,,,ok,sub-03,,,500
0.4,affective,2,364,,910,409,,,ok,sub-06,,,501
0.4,affective,2,364,,910,409,,,ok,sub-07,,,501
0.4,affective,2,364,,910,409,,,ok,sub-12,,,501
0.4,affective,2,364,,910,409,,,ok,sub-16,,,501
0.4,affective,2,,2545,,,2861,15287,,,pca32,0.8421317338943481,
0.4,affective,3,364,,910,409,,,ok,sub-04,,,501
0.4,affective,3,364,,910,409,,,ok,sub-09,,,501
0.4,affective,3,364,,910,409,,,ok,sub-10,,,501
0.4,affective,3,364,,910,409,,,ok,sub-14,,,501
0.4,affective,3,364,,910,409,,,ok,sub-15,,,501
0.4,affective,3,364,,911,409,,,ok,sub-20,,,502
0.4,affective,3,364,,910,409,,,ok,sub-21,,,501
0.4,affective,3,,2548,,,2863,15284,,,pca32,0.8474841117858887,
0.0,experience,1,0,,296,133,,,ok,sub-008,,,163
0.0,experience,1,0,,382,171,,,ok,sub-011,,,211
0.0,experience,1,0,,354,159,,,ok,sub-012,,,195
0.0,experience,1,0,,270,121,,,ok,sub-013,,,149
0.0,experience,1,0,,298,134,,,ok,sub-017,,,164
0.0,experience,1,0,,349,157,,,ok,sub-019,,,192
0.0,experience,1,0,,269,121,,,ok,sub-021,,,148
0.0,experience,1,0,,265,119,,,ok,sub-023,,,146
0.0,experience,1,,0,,,1115,4970,,,pca32,0.8884003758430481,
0.0,experience,2,0,,269,121,,,ok,sub-001,,,148
0.0,experience,2,0,,336,151,,,ok,sub-003,,,185
0.0,experience,2,0,,301,135,,,ok,sub-005,,,166
0.0,experience,2,0,,318,143,,,ok,sub-006,,,175
0.0,experience,2,0,,326,146,,,ok,sub-007,,,180
0.0,experience,2,0,,290,130,,,ok,sub-016,,,160
0.0,experience,2,0,,343,154,,,ok,sub-018,,,189
0.0,experience,2,0,,264,118,,,ok,sub-025,,,146
0.0,experience,2,,0,,,1098,5006,,,pca32,0.8742330074310303,
0.0,experience,3,0,,293,131,,,ok,sub-002,,,162
0.0,experience,3,0,,289,130,,,ok,sub-004,,,159
0.0,experience,3,0,,349,157,,,ok,sub-009,,,192
0.0,experience,3,0,,287,129,,,ok,sub-010,,,158
0.0,experience,3,0,,281,126,,,ok,sub-014,,,155
0.0,experience,3,0,,357,160,,,ok,sub-015,,,197
0.0,experience,3,0,,315,141,,,ok,sub-020,,,174
0.0,experience,3,0,,352,158,,,ok,sub-024,,,194
