calib_frac,dataset_name,fold,n_calib,n_calib_seq,n_seq,n_test,n_test_seq,n_train_seq,status,subject,target_space,target_variance_retained,test_start_seq_pos
0.25,affective,1,227,,910,409,,,ok,sub-05,,,501
0.25,affective,1,227,,910,409,,,ok,sub-08,,,501
0.25,affective,1,227,,910,409,,,ok,sub-11,,,501
0.25,affective,1,227,,910,409,,,ok,sub-13,,,501
0.25,affective,1,227,,910,409,,,ok,sub-17,,,501
0.25,affective,1,227,,911,409,,,ok,sub-18,,,502
0.25,affective,1,227,,910,409,,,ok,sub-19,,,501
0.25,affective,1,,1589,,,2863,14325,,,pca32,0.8580413460731506,
0.25,affective,2,226,,906,407,,,ok,sub-01,,,499
0.25,affective,2,227,,910,409,,,ok,sub-02,,,501
0.25,affective,2,227,,909,409,,,ok,sub-03,,,500
0.25,affective,2,227,,910,409,,,ok,sub-06,,,501
0.25,affective,2,227,,910,409,,,ok,sub-07,,,501
0.25,affective,2,227,,910,409,,,ok,sub-12,,,501
0.25,affective,2,227,,910,409,,,ok,sub-16,,,501
0.25,affective,2,,1588,,,2861,14330,,,pca32,0.8406394720077515,
0.25,affective,3,227,,910,409,,,ok,sub-04,,,501
0.25,affective,3,227,,910,409,,,ok,sub-09,,,501
0.25,affective,3,227,,910,409,,,ok,sub-10,,,501
0.25,affective,3,227,,910,409,,,ok,sub-14,,,501
0.25,affective,3,227,,910,409,,,ok,sub-15,,,501
0.25,affective,3,227,,911,409,,,ok,sub-20,,,502
0.25,affective,3,227,,910,409,,,ok,sub-21,,,501
0.25,affective,3,,1589,,,2863,14325,,,pca32,0.8488364219665527,
0.3,affective,1,273,,910,409,,,ok,sub-05,,,501
0.3,affective,1,273,,910,409,,,ok,sub-08,,,501
0.3,affective,1,273,,910,409,,,ok,sub-11,,,501
0.3,affective,1,273,,910,409,,,ok,sub-13,,,501
0.3,affective,1,273,,910,409,,,ok,sub-17,,,501
0.3,affective,1,273,,911,409,,,ok,sub-18,,,502
0.3,affective,1,273,,910,409,,,ok,sub-19,,,501
0.3,affective,1,,1911,,,2863,14647,,,pca32,0.8569009304046631,
0.3,affective,2,271,,906,407,,,ok,sub-01,,,499
0.3,affective,2,273,,910,409,,,ok,sub-02,,,501
0.3,affective,2,272,,909,409,,,ok,sub-03,,,500
0.3,affective,2,273,,910,409,,,ok,sub-06,,,501
0.3,affective,2,273,,910,409,,,ok,sub-07,,,501
0.3,affective,2,273,,910,409,,,ok,sub-12,,,501
0.3,affective,2,273,,910,409,,,ok,sub-16,,,501
0.3,affective,2,,1908,,,2861,14650,,,pca32,0.8407639265060425,
0.3,affective,3,273,,910,409,,,ok,sub-04,,,501
0.3,affective,3,273,,910,409,,,ok,sub-09,,,501
0.3,affective,3,273,,910,409,,,ok,sub-10,,,501
0.3,affective,3,273,,910,409,,,ok,sub-14,,,501
0.3,affective,3,273,,910,409,,,ok,sub-15,,,501
0.3,affective,3,273,,911,409,,,ok,sub-20,,,502
0.3,affective,3,273,,910,409,,,ok,sub-21,,,501
0.3,affective,3,,1911,,,2863,14647,,,pca32,0.8481118679046631,
0.35,affective,1,318,,910,409,,,ok,sub-05,,,501
0.35,affective,1,318,,910,409,,,ok,sub-08,,,501
0.35,affective,1,318,,910,409,,,ok,sub-11,,,501
0.35,affective,1,318,,910,409,,,ok,sub-13,,,501
0.35,affective,1,318,,910,409,,,ok,sub-17,,,501
0.35,affective,1,318,,911,409,,,ok,sub-18,,,502
0.35,affective,1,318,,910,409,,,ok,sub-19,,,501
0.35,affective,1,,2226,,,2863,14962,,,pca32,0.8559780120849609,
0.35,affective,2,317,,906,407,,,ok,sub-01,,,499
0.35,affective,2,318,,910,409,,,ok,sub-02,,,501
0.35,affective,2,318,,909,409,,,ok,sub-03,,,500
0.35,affective,2,318,,910,409,,,ok,sub-06,,,501
0.35,affective,2,318,,910,409,,,ok,sub-07,,,501
0.35,affective,2,318,,910,409,,,ok,sub-12,,,501
0.35,affective,2,318,,910,409,,,ok,sub-16,,,501
0.35,affective,2,,2225,,,2861,14967,,,pca32,0.8417302370071411,
0.35,affective,3,318,,910,409,,,ok,sub-04,,,501
0.35,affective,3,318,,910,409,,,ok,sub-09,,,501
0.35,affective,3,318,,910,409,,,ok,sub-10,,,501
0.35,affective,3,318,,910,409,,,ok,sub-14,,,501
0.35,affective,3,318,,910,409,,,ok,sub-15,,,501
0.35,affective,3,318,,911,409,,,ok,sub-20,,,502
0.35,affective,3,318,,910,409,,,ok,sub-21,,,501
0.35,affective,3,,2226,,,2863,14962,,,pca32,0.8475816249847412,
0.25,experience,1,74,,296,133,,,ok,sub-008,,,163
0.25,experience,1,95,,382,171,,,ok,sub-011,,,211
0.25,experience,1,88,,354,159,,,ok,sub-012,,,195
0.25,experience,1,67,,270,121,,,ok,sub-013,,,149
0.25,experience,1,74,,298,134,,,ok,sub-017,,,164
0.25,experience,1,87,,349,157,,,ok,sub-019,,,192
0.25,experience,1,67,,269,121,,,ok,sub-021,,,148
0.25,experience,1,66,,265,119,,,ok,sub-023,,,146
0.25,experience,1,,618,,,1115,5588,,,pca32,0.8832171559333801,
0.25,experience,2,67,,269,121,,,ok,sub-001,,,148
0.25,experience,2,84,,336,151,,,ok,sub-003,,,185
0.25,experience,2,75,,301,135,,,ok,sub-005,,,166
0.25,experience,2,79,,318,143,,,ok,sub-006,,,175
0.25,experience,2,81,,326,146,,,ok,sub-007,,,180
0.25,experience,2,72,,290,130,,,ok,sub-016,,,160
0.25,experience,2,85,,343,154,,,ok,sub-018,,,189
0.25,experience,2,66,,264,118,,,ok,sub-025,,,146
