dataset_name,calib_frac,status,reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,real_rank_pct,time_rank_pct,n_train_mean,n_test_mean,n_calib_seq_mean,source
affective,0.0,fail,rank<0.52,0.5165736193461563,0.5028071437618276,0.0137664755843287,0.0210533875741064,0.5161549902737197,0.4995725464786913,12738.0,2862.333333333333,0.0,subject_adaptation_canary_v1_tf_bestlag
affective,0.05,fail,rank<0.52,0.5181985803081105,0.5011945769293412,0.0170040033787692,0.024734803022369,0.5176333123700801,0.5014582219937731,13053.0,2862.333333333333,315.0,subject_adaptation_canary_v1_tf_bestlag
affective,0.1,fail,rank<0.52,0.5197998487421979,0.5085505497454896,0.0112492989967082,0.0256210720950141,0.5191707107418626,0.5010223304321394,13374.333333333334,2862.333333333333,636.3333333333334,subject_adaptation_canary_v1_tf_bestlag
affective,0.2,pass,,0.5234284305158975,0.4998083505593313,0.0236200799565661,0.0319988095267093,0.5224295605078547,0.4997560296922783,14011.333333333334,2862.333333333333,1273.3333333333333,subject_adaptation_canary_v1_tf_bestlag
affective,0.25,pass,,0.525304255777269,0.5012137836057582,0.0240904721715108,0.0357003037967665,0.524739640116044,0.5022331077121274,14326.666666666666,2862.333333333333,1588.6666666666667,subject_adaptation_canary_v2_tf_threshold
affective,0.3,pass,,0.5315989402051708,0.49463787593641,0.0369610642687608,0.0428208877760445,0.5311504108814648,0.5005767337762351,14648.0,2862.333333333333,1910.0,subject_adaptation_canary_v2_tf_threshold
affective,0.35,pass,,0.5360341268886207,0.4962999250612496,0.0397342018273711,0.0477542634783594,0.5352793354413686,0.4998161471276934,14963.666666666666,2862.333333333333,2225.6666666666665,subject_adaptation_canary_v2_tf_threshold
affective,0.4,pass,,0.5374289097119817,0.4925570817560364,0.0448718279559451,0.0493758867554382,0.536757719472538,0.499815230000689,15285.0,2862.333333333333,2547.0,subject_adaptation_canary_v1_tf_bestlag
experience,0.0,confounded,rank<0.52|diag<0.02|shifted_close,0.5110829407627917,0.5033542674283166,0.0077286733344751,0.014407818003893,0.5164169991041329,0.5854547005933757,4968.666666666667,1115.0,0.0,subject_adaptation_canary_v1_tf_bestlag
experience,0.05,fail,rank<0.52,0.5184993515882564,0.494617005514471,0.0238823460737854,0.025913026103743,0.5271810980990326,0.5846740926735942,5089.0,1115.0,120.33333333333331,subject_adaptation_canary_v1_tf_bestlag
experience,0.1,fail,rank<0.52,0.5179396959333102,0.4947149962950491,0.023224699638261,0.026753760838646,0.5248238779776108,0.5855090718891031,5213.0,1115.0,244.33333333333331,subject_adaptation_canary_v1_tf_bestlag
experience,0.2,pass,,0.5274506480422391,0.4938233901286395,0.0336272579135994,0.0364753274841371,0.5358219208789895,0.5859310300169637,5462.0,1115.0,493.3333333333333,subject_adaptation_canary_v1_tf_bestlag
experience,0.25,pass,,0.5286283475975351,0.4896341275263305,0.0389942200712045,0.0402882242468036,0.5391983656198658,0.5868575622989084,5587.0,1115.0,618.3333333333334,subject_adaptation_canary_v2_tf_threshold
experience,0.3,pass,,0.5285388074841917,0.4988582604473817,0.02968054703681,0.0397978618438153,0.5383990248717819,0.5874165828154096,5710.0,1115.0,741.3333333333334,subject_adaptation_canary_v2_tf_threshold
experience,0.35,pass,,0.5280390608475325,0.4881232310783954,0.0399158297691371,0.0398929467367075,0.5387163712391629,0.5876673557392761,5835.0,1115.0,866.3333333333334,subject_adaptation_canary_v2_tf_threshold
experience,0.4,pass,,0.5348655695631543,0.5092478312320594,0.0256177383310949,0.0457416428441402,0.5447971213109833,0.5880042636332733,5959.0,1115.0,990.3333333333334,subject_adaptation_canary_v1_tf_bestlag
xp2,0.0,confounded,rank<0.52|diag<0.02|shifted_close,0.5045457895706652,0.4957453473373872,0.008800442233278,0.0042575272854291,0.502676125545114,0.5209716847859468,3422.6666666666665,765.0,0.0,subject_adaptation_canary_v1_tf_bestlag
xp2,0.05,fail,rank<0.52|diag<0.02,0.5051077943615258,0.489367360727228,0.0157404336342977,0.0072563443457096,0.5055656900681776,0.5185111479638843,3507.6666666666665,765.0,85.0,subject_adaptation_canary_v1_tf_bestlag
xp2,0.1,confounded,rank<0.52|diag<0.02|shifted_close,0.5046489773355445,0.5004453043424851,0.0042036729930593,0.0070931636987112,0.5057379767827529,0.5193016399484062,3592.6666666666665,765.0,170.0,subject_adaptation_canary_v1_tf_bestlag
xp2,0.2,confounded,rank<0.52|diag<0.02|shifted_close,0.5125305570910877,0.5045273631840795,0.0080031939070082,0.0127405699495161,0.5146557336772926,0.5213746084392851,3762.6666666666665,765.0,340.0,subject_adaptation_canary_v1_tf_bestlag
xp2,0.25,fail,rank<0.52|diag<0.02,0.5122179227320189,0.4925649530127142,0.0196529697193046,0.0137262378977734,0.5152343222160801,0.5234500337817086,3847.6666666666665,765.0,425.0,subject_adaptation_canary_v2_tf_threshold
xp2,0.3,fail,rank<0.52|diag<0.02,0.516525704809287,0.4995098581168233,0.0170158466924636,0.0165420853559975,0.5177022295927769,0.5262023217247097,3932.6666666666665,765.0,510.0,subject_adaptation_canary_v2_tf_threshold
xp2,0.35,confounded,rank<0.52|diag<0.02|shifted_close,0.5150414593698175,0.5059025858362508,0.0091388735335666,0.0176521624367094,0.5213696947361955,0.5255131748664087,4017.6666666666665,765.0,595.0,subject_adaptation_canary_v2_tf_threshold
xp2,0.4,fail,rank<0.52,0.5193446348504392,0.5075787728026534,0.0117658620477858,0.0228889211394633,0.5241551501750507,0.5268067072047172,4102.666666666667,765.0,680.0,subject_adaptation_canary_v1_tf_bestlag
