fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,lag_-8_ridge_last_a100,real,9583,5353,32,32,0.027329516640747897,0.027009833604097366,0.03535343410937258,0.04293213412165642,-0.09248070725194424,0.005043900616476742,0.024845880814496544,0.027906535115360023,119.0,0.5259033181549839,0.03611434847114367
2,lag_-8_ridge_last_a100,real,9662,5336,32,32,0.024548039225919638,0.02422922383993864,0.02792204252532231,0.026456357911229134,-0.081288662150516,0.004497751124437781,0.020989505247376312,0.026328327107194065,120.0,0.5244530580787796,0.031042195540832318
3,lag_-8_ridge_last_a100,real,9384,5335,32,32,0.02370792617330153,0.020512837916612625,0.037341708907334965,0.03977084159851074,-0.08467224715063315,0.0031865042174320526,0.025679475164011246,0.026810596448705808,119.0,0.5283871525796665,0.03638959447797545
1,lag_-6_ridge_last_a100,real,9617,5361,32,32,0.04859455645782873,0.05067429877817631,0.056889604238415575,0.0636814683675766,-0.08554106408261886,0.005222906174221227,0.026860660324566313,0.029721198104956718,113.0,0.5437711000203386,0.05687953900243247
2,lag_-6_ridge_last_a100,real,9692,5348,32,32,0.04591147835876086,0.04850591905415058,0.04959370976748905,0.05857945419847965,-0.06973857133898953,0.005422587883320867,0.028234854151084517,0.030343434814441576,112.0,0.5443395369896036,0.05138113106149357
3,lag_-6_ridge_last_a100,real,9412,5349,32,32,0.04320005263434723,0.04520493559539318,0.06197931348663122,0.06924594938755035,-0.07778440662551467,0.006356328285660871,0.02953823144512993,0.03188251285236954,111.0,0.5494489934380926,0.058604077164631466
1,lag_-4_ridge_last_a100,real,9651,5369,32,32,0.053365738480351865,0.04666930437088013,0.06328768297195228,0.0652943029999733,-0.07256966783608787,0.005773887129819333,0.028310672378468987,0.03102212207460343,113.0,0.5469000779540575,0.06341555683734657
2,lag_-4_ridge_last_a100,real,9722,5360,32,32,0.05971035727998242,0.05821525305509567,0.07636344572938333,0.09354773163795471,-0.051287896925647614,0.0070895522388059705,0.03507462686567164,0.03464095144957464,105.0,0.561435827253393,0.07655198476360504
3,lag_-4_ridge_last_a100,real,9440,5363,32,32,0.048830228071892634,0.04389907978475094,0.06704899927881251,0.07187439501285553,-0.07884084230905963,0.006153272422151781,0.033936229722170426,0.0327344105994461,111.0,0.5502358111734845,0.06444854880177536
1,lag_-2_ridge_last_a100,real,9684,5376,32,32,0.03443844884742475,0.02761675976216793,0.05454502319012514,0.0567717719823122,-0.06560564489619236,0.00744047619047619,0.029203869047619048,0.031092028145810954,115.0,0.5394202993697479,0.05407244892862238
