fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,time_residual,11625,5376,64,16,nan,nan,nan,nan,-6.24299576050813e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
1,time_ridge,time_residual,11625,5376,64,16,0.00025877338646296266,-0.00013039481927989982,-0.03821837765883849,-0.018086329102516174,-5.854004196259588e-05,0.0026041666666666665,0.015625,0.021737534506031848,132.0,0.4827417425303454,-0.029599145747818918
1,ridge_last,time_residual,11625,5376,64,16,0.014133195694739698,0.013296285644173622,0.03567821601853352,0.03390374220907688,0.0038846228063585952,0.004650297619047619,0.026041666666666668,0.02740487419582032,120.0,0.5228298611111111,0.036108371234992144
1,ridge_context_mean,time_residual,11625,5376,64,16,0.005212795635088696,0.003621008829213679,0.006332299077997948,0.007418910739943385,-0.0004856655333196347,0.004464285714285714,0.021391369047619048,0.025645797032897197,127.0,0.5061923727824462,0.00750742787830767
1,longctx_lowrank_transformer,time_residual,11625,5376,64,16,0.01082056563700462,0.004664956592023373,0.015662603466602882,0.01454362878575921,-0.002802397259356715,0.004836309523809524,0.024739583333333332,0.028296468952826257,118.0,0.529734185340803,0.0157047002306975
1,longctx_lowrank_transformer,time_residual_shifted_null,11625,5376,64,16,-0.0023704284280938737,-0.005239721154794097,-0.0007228899482762634,-0.0015710678417235613,-0.004547120078634892,0.002418154761904762,0.017671130952380952,0.02173457649419942,130.0,0.4946982959850606,-0.001186347367879743
2,train_mean,time_residual,11655,5376,64,16,nan,nan,nan,nan,-8.41441907002416e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
2,time_ridge,time_residual,11655,5376,64,16,-0.00011383258993191703,0.0005222543113632128,-0.03602037126168376,-0.02887345664203167,-7.545637895289836e-05,0.002418154761904762,0.017485119047619048,0.02207854440740345,134.0,0.4829467203548085,-0.030399164134962492
2,ridge_last,time_residual,11655,5376,64,16,0.018524996427004226,0.018434093333780766,0.0346155228648467,0.03263946250081062,0.0033315024124473958,0.0033482142857142855,0.025297619047619048,0.02623984961453398,121.0,0.5222528594771242,0.03466242698714613
2,ridge_context_mean,time_residual,11655,5376,64,16,0.009732790382258827,0.008462823927402496,0.011155341302138513,0.00840795086696744,0.0003736974129944226,0.00390625,0.025111607142857144,0.025674099375376135,126.0,0.5065899276377218,0.01052124509652279
2,longctx_lowrank_transformer,time_residual,11655,5376,64,16,0.012203286726162332,0.00903286598622799,0.017182432294130683,0.01453385641798377,-0.0023290018415123015,0.004836309523809524,0.0234375,0.02738968073083696,119.0,0.5294168709150326,0.016389471523683724
2,longctx_lowrank_transformer,time_residual_shifted_null,11655,5376,64,16,0.00016109784928630688,-4.7495137550868094e-05,0.00017405321625168263,-0.0012324397102929652,-0.004064498557428298,0.00427827380952381,0.01953125,0.024409430842871123,129.5,0.49982565943043883,-0.00010857766134241178
3,train_mean,time_residual,11520,5376,64,16,nan,nan,nan,nan,-5.113143156121325e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
3,time_ridge,time_residual,11520,5376,64,16,-0.0015836915857221356,-0.00220737507333979,-0.03583611867896203,-0.02366773597896099,-8.977728099690552e-05,0.002976190476190476,0.017485119047619048,0.022059453340828664,133.5,0.48162348272642386,-0.029195314481203542
3,ridge_last,time_residual,11520,5376,64,16,0.016336086220974266,0.014508404769003391,0.042276738979618735,0.034695712849497795,0.006699049906655374,0.005022321428571429,0.02492559523809524,0.02782514559653599,120.0,0.5258687850140056,0.04104816741261302
3,ridge_context_mean,time_residual,11520,5376,64,16,0.006154240376417874,0.006893557030707598,0.017391065884383005,0.013099466916173697,0.0004902671914575052,0.0026041666666666665,0.020089285714285716,0.023889940022055807,126.0,0.5085477941176471,0.016279620990918158
3,longctx_lowrank_transformer,time_residual,11520,5376,64,16,0.010388471109763486,0.009110950864851475,0.013783233234078247,0.01413121446967125,-0.00267512515309698,0.004836309523809524,0.025111607142857144,0.027594928844030295,118.0,0.5249781162464986,0.01372301757148055
3,longctx_lowrank_transformer,time_residual_shifted_null,11520,5376,64,16,0.001846965249569621,0.00334599195048213,0.0026935715881773853,0.0012217912008054554,-0.0036324720263505306,0.00390625,0.021205357142857144,0.024661073728213495,127.0,0.5053804855275443,0.002318762448656981
