experiment,method,target_mode,retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2
pca64 batch-contrast,longctx_lowrank_transformer,time_residual,0.528330806241263,0.028057970554192267,0.017348077133778502,0.0140353876984894,-0.0028419074563518
pca64 batch-contrast,longctx_lowrank_transformer,time_residual_shifted_null,0.5015027446526753,0.0007171185674594332,0.0013490337625044334,-0.0004335410331606001,-0.004337356147536234
pca64 batch-contrast,ridge_context_mean,time_residual,0.5196609389864667,0.05289590948065073,0.028088518679821633,0.015453143119733101,-0.003680626316908467
pca64 batch-contrast,ridge_last,time_residual,0.5180334736067701,0.030453283827868532,0.030100502261680633,0.014895336508288835,0.0020433456914743667
pca64 batch-contrast,time_ridge,time_residual,0.48115665973388255,0.0151665568187255,-0.03648309012489633,-0.004983860205356867,-0.0002955342991967
identity batch-contrast,longctx_lowrank_transformer,time_residual,0.5309551356205539,0.026860615802973765,0.012868950197825767,0.019645601308244866,-0.0040164603345158
identity batch-contrast,longctx_lowrank_transformer,time_residual_shifted_null,0.5005792367898384,0.0005533921231217666,0.0012085325517018,0.0003741988328905001,-0.005734925937074133
identity batch-contrast,ridge_context_mean,time_residual,0.5197410782435744,0.051432215037518436,0.022522222685235068,0.028286312525063532,-0.003659953428775733
identity batch-contrast,ridge_last,time_residual,0.5183310187761861,0.029800335714024063,0.014198902511160535,0.057470691485019994,0.0017757096808473
identity batch-contrast,time_ridge,time_residual,0.48092303034053213,0.013637259080603365,-0.03395319804930964,-0.005674054124519833,-0.000284816036343
identity dataset-contrast,longctx_lowrank_transformer,time_residual,0.5305178606354223,0.02610022295470363,0.012399568330881634,0.019443801821974634,-0.004090842949846901
identity dataset-contrast,longctx_lowrank_transformer,time_residual_shifted_null,0.5003471346876802,0.00043926235263393334,0.0012648400607728,0.00027939683204753326,-0.005749496264295634
identity dataset-contrast,ridge_context_mean,time_residual,0.5197410782435744,0.051432215037518436,0.022522222685235068,0.028286312525063532,-0.003659953428775733
identity dataset-contrast,ridge_last,time_residual,0.5183310187761861,0.029800335714024063,0.014198902511160535,0.057470691485019994,0.0017757096808473
identity dataset-contrast,time_ridge,time_residual,0.48092303034053213,0.013637259080603365,-0.03395319804930964,-0.005674054124519833,-0.000284816036343
experience only,longctx_lowrank_transformer,time_residual,0.5542717561896163,0.036830366225727565,0.03397302826726157,0.024774745149746435,-0.0030933708796606336
experience only,longctx_lowrank_transformer,time_residual_shifted_null,0.4888390609170197,-0.0063556588535019,-0.006557783749307066,-0.004314482524885433,-0.009836190586198201
experience only,ridge_context_mean,time_residual,0.5543554764221977,0.08895816513072807,0.0798238920623183,0.046320414559734936,-0.007737714233311667
experience only,ridge_last,time_residual,0.5364575845469104,0.05419846229552466,0.05230725332352573,0.02120266980690143,-0.009167019979076433
experience only,time_ridge,time_residual,0.4777904076247051,-0.01252611815481173,-0.028414517748783303,-0.0499846688541462,-0.00035582228203926667
affective only,longctx_lowrank_transformer,time_residual,0.5280430575007781,0.0152723964419539,0.015542756331603865,0.011137441157643433,-0.002602174751321967
affective only,longctx_lowrank_transformer,time_residual_shifted_null,0.4999681469810146,0.00034127913981160006,0.0007149116187175667,-0.00012078844307930003,-0.004081363554137833
affective only,ridge_context_mean,time_residual,0.507110031512605,0.0114360979885828,0.011626235421506467,0.0070332754645884,0.00012609969037743332
affective only,ridge_last,time_residual,0.5236505018674137,0.03727298854491707,0.03752349262099963,0.016331426114239333,0.004638391708487033
affective only,time_ridge,time_residual,0.48243731520385924,-0.029731208121328265,-0.03669162253316136,-0.00047958359639703333,-7.459123397079992e-05
